E100	Curcumine, Turmérique	(Turmérique)
E160a	β-carotène, Caroténoïdes extrait de légumes, β-carotène extrait de Blakeslea trispora, β-carotène extrait d'algue	(β-carotène extrait d'algue)
E160a à E160f	Caroténoïdes	(Caroténoïdes)
E160b	Rocou, annatto, mélange de bixine et norbixine, Bixine, Norbixine	(Norbixine (Rocou))
E160c	Extrait de paprika, capsanthéine et capsorubine	(Extrait de paprika (capsanthéine et capsorubine))
E160d	Lycopène, Lycopène extrait de Blakeslea trispora	(Lycopène extrait de Blakeslea trispora)
E160e	Apocaroténal 8'	(Apocaroténal 8' (C30))
E160f	Ester éthylique de l'acide -apocaroténique-8'	(Ester éthylique de l'acide -apocaroténique-8' (C30))
E161a	Flavoxanthine	(Flavoxanthine)
E161a à E161j	Xanthophylles	(Xanthophylles)
E161b	Lutéine, Lutéines de Tagetes erecta, Extrais de tagetes	(Extrais de tagetes)
E161c	Cryptoxanthine	(Cryptoxanthine)
E161d	Rubixanthine	(Rubixanthine)
E161e	Violaxanthine	(Violaxanthine)
E161f	Rhodoxanthine	(Rhodoxanthine)
E161g	Canthaxanthine	(Canthaxanthine)
E161h	Zéaxanthine, Zéaxanthine riche en extrait de Tagetes erecta	(Zéaxanthine riche en extrait de Tagetes erecta)
E161i	Citranaxanthine	(Citranaxanthine)
E161j	Astaxanthine	(Astaxanthine)
E162	Rouge de betterave, bétanine	(Rouge de betterave, bétanine)
E163a	Cyanidine	(Cyanidine)
E163a à E163f	Anthocyanes	(Anthocyanes)
E163b	Delphinidine	(Delphinidine)
E163c	Malvidine	(Malvidine)
E163d	Pélargonidine	(Pélargonidine)
E163e	Péonidine	(Péonidine)
E163f	Pétunidine	(Pétunidine)
E164	Jaune de gardénia	(Jaune de gardénia)
E165	Bleu de gardénia	(Bleu de gardénia)
E166	Bois de santal	(Bois de santal)
E170	Carbonate de calcium, Carbonate acide de calcium	(Carbonate acide de calcium)
E171	Oxyde de titane, dioxyde de titane, bioxyde de titane	(Oxyde de titane, dioxyde de titane, bioxyde de titane)
E172	Oxyde et hydroxyde de fer, Oxyde de fer	(Oxyde de fer, jaune)
E173	Aluminium	(Aluminium)
E174	Argent	(Argent)
E175	Or	(Or)
E180	Lithol-rubine BK	(Lithol-rubine BK)
E181	Tannin, acide tannique	(Tannin, acide tannique)
E182	Orseille	(Orseille)
E200	Acide sorbique	(Acide sorbique (Sa))
E201	Sorbate de sodium	(Sorbate de sodium (Sa))
E202	Sorbate de potassium	(Sorbate de potassium (Sa))
E203	Sorbate de calcium	(Sorbate de calcium (Sa))
E209	Hydroxybenzoate d'hépthyle	(Hydroxybenzoate d'hépthyle, para-, conservateur)
E210	Acide benzoïque	(Acide benzoïque (Ba))
E211	Benzoate de sodium	(Benzoate de sodium (Ba))
E212	Benzoate de potassium	(Benzoate de potassium (Ba))
E213	Benzoate de calcium	(Benzoate de calcium (Ba))
E214	4-hydroxybenzoate d'éthyle, éthylparabène	(4-hydroxybenzoate d'éthyle ou éthylparabène (PHB))
E215	Dérivé sodique du 4-hydroxybenzoate d'éthyle	(Dérivé sodique du 4-hydroxybenzoate d'éthyle (PHB))
E216	4-hydroxybenzoate de propyle, propylparabène	(4-hydroxybenzoate de propyle ou propylparabène (PHB))
E217	Dérivé sodique du 4-hydroxybenzoate de propyle	(Dérivé sodique du 4-hydroxybenzoate de propyle (PHB))
E218	4-hydroxybenzoate de méthyle, méthylparabène	(4-hydroxybenzoate de méthyle ou méthylparabène(PHB))
E219	Dérivé sodique du 4-hydroxybenzoate de méthyle	(Dérivé sodique du 4-hydroxybenzoate de méthyle (PHB))
E220	Anhydride sulfureux	(Anhydride sulfureux)
E221	Sulfite de sodium	(Sulfite de sodium)
E222	Bisulfite de sodium, Sulfite acide de sodium	(Bisulfite de sodium (Sulfite acide de sodium))
E223	Disulfite de sodium, métabisulfite de sodium	(Disulfite de sodium, métabisulfite de sodium)
E224	Disulfite de potassium, Pyrosulfite / métabisulfite de potassium	(Disulfite de potassium, Pyrosulfite / métabisulfite de potassium)
E225	Disulfite de calcium Pyrosulfite de calcium	(Disulfite de calcium Pyrosulfite de calcium ou métasulfite)
E226	Sulfite de calcium	(Sulfite de calcium)
E227	Sulfite acide de calcium, Bisulfite de calcium	(Sulfite acide de calcium, Bisulfite de calcium)
E228	Sulfite acide de potassium, Bisulfite de potassium	(Sulfite acide de potassium, Bisulfite de potassium)
E230	Biphényle, diphényle	(Biphényle (diphényle))
E231	Orthophénylphénol, 2-hydroxybiphényle	(Orthophénylphénol, 2-hydroxybiphényle)
E232	Orthophénylphénate de sodium, Sodium diphényl 2 yl	(Orthophénylphénate de sodium, Sodium diphényl 2 yl)
E233	Thiabendazole, 4-thiazolyl, benzimidazole	(Thiabendazole ou 2-(4-thiazolyl)benzimidazole)
E234	Nisine	(Nisine)
E235	Natamycine, pimaricine	(Natamycine (pimaricine))
E236	Acide formique	(Acide formique)
E237	Formiate de sodium	(Formiate de sodium)
E238	Formiate de calcium	(Formiate de calcium)
E239	Hexaméthylènetétramine	(Hexaméthylènetétramine)
E240	Formaldéhyde Conservateur	(Formaldéhyde Conservateur)
E241	Gomme gaïac	(Gomme gaïac, conservateur)
E242	Dicarbonate de diméthyle	(Dicarbonate de diméthyle)
E243	Arginate d’éthyle laurique	(Arginate d’éthyle laurique, conservateur)
E249	Nitrite de potassium	(Nitrite de potassium)
E250	Nitrite de sodium	(Nitrite de sodium)
E251	Nitrate de sodium	(Nitrate de sodium)
E252	Nitrate de potassium	(Nitrate de potassium)
E260	Acide acétique	(Acide acétique)
E261	Acétates de potassium, Acétate de potassium, Diacétate de potassium	(Diacétate de potassium, conservateur, régulateur de l’acidité)
E262	Acétate de sodium, Diacétate de sodium	(Diacétate de sodium)
E263	Acétate de calcium	(Acétate de calcium)
E264	Acétate d'ammonium	(Acétate d'ammonium, régulateur de l’acidité)
E265	Acide déhydracétique	(Acide déhydracétique, conservateur)
E266	Déhydroacétate de sodium	(Déhydroacétate de sodium, conservateur)
E270	Acide lactique	(Acide lactique)
E280	Acide propionique	(Acide propionique)
E281	Propionate de sodium	(Propionate de sodium)
E282	Propionate de calcium	(Propionate de calcium)
E283	Propionate de potassium	(Propionate de potassium)
E284	Acide borique	(Acide borique)
E285	Tétraborate de sodium, borax	(Tétraborate de sodium (borax))
E290	Dioxyde de carbone, Anhydride carbonique	(Dioxyde de carbone, Anhydride carbonique)
E296	Acide malique	(Acide malique (DL- ou L-))
E297	Acide fumarique	(Acide fumarique)
E300	Acide ascorbique, Vitamine C	(Acide ascorbique, Vitamine C)
E301	Ascorbate de sodium, Vitamine C	(Ascorbate de sodium, Vitamine C)
E302	Ascorbate de calcium, Vitamine C	(Ascorbate de calcium, Vitamine C)
E303	Diacétate d'ascorbyle	(Diacétate d'ascorbyle)
E304	Acide palmityle-6-L-ascorbique, Palmitate d'ascorbyle	(Acide palmityle-6-L-ascorbique, Palmitate d'ascorbyle)
E305	Stéarate d'ascorbyle	(Stéarate d'ascorbyle)
E306	Extrait riche en tocophérols, Vitamine E	(Extrait riche en tocophérols, Vitamine E)
E307	Alpha-tocophérol de synthèse, Vitamine E	(Alpha-tocophérol de synthèse, Vitamine E)
E307a	Tocophérol	(Tocophérol, d-alpha-)
E307b	Tocophérol concentré	(Tocophérol concentré)
E307c	Tocophérol	(Tocophérol, dl-alpha-)
E308	Gamma-tocophérol de synthèse, Vitamine E	(Gamma-tocophérol de synthèse, Vitamine E)
E309	Delta-tocophérol de synthèse, Vitamine E	(Delta-tocophérol de synthèse, Vitamine E)
E310	Gallate de propyle	(Gallate de propyle)
E311	Gallate d'octyle	(Gallate d'octyle)
E312	Gallate dodécyle, Ester N-dodécylique	(Gallate dodécyle, Ester N-dodécylique)
E313	Gallate d'éthyle	(Gallate d'éthyle)
E314	Guaiac Gum Anti-oxydant naturel	(Guaiac Gum Anti-oxydant naturel)
E315	Acide érythorbique	(Acide érythorbique)
E316	Erythorbate de sodium	(Erythorbate de sodium)
E317	Isoascorbate de potassium	(Isoascorbate de potassium)
E318	Isoascorbate de calcium	(Isoascorbate de calcium)
E319	Butylhydroquinone	(Butylhydroquinone, synthétique)
E320	Buthylhydroxyanisol	(Buthylhydroxyanisol (BHA))
E321	Buthylhydroxytoluène	(Buthylhydroxytoluène (BHT))
E322	Lécithines, Lécithine, Lécithine partiellement hydrolysée	(Lécithine partiellement hydrolysée, antioxydant, émulsifiant)
E323	Anoxomère	(Anoxomère, antioxydant)
E324	Ethoxyquine, pesticide [6]	(Ethoxyquine, antioxydant, pesticide [6])
E325	Lactate de sodium	(Lactate de sodium)
E326	Lactate de potassium	(Lactate de potassium)
E327	Lactate de calcium	(Lactate de calcium)
E328	Lactate d'ammonium	(Lactate d'ammonium, régulateur de l’acidité, agent de traitement des farines)
E329	Lactate de magnésium	(Lactate de magnésium (DL-), régulateur de l’acidité, agent de traitement des farines)
E330	Acide citrique	(Acide citrique)
E331	Citrates de sodium, Citrate biacide de sodium, Citrate monoacide disodique, Citrate trisodique	(Citrate trisodique, régulateur d’acidité, séquestrant, émulsifiant, stabilisant)
E332	Citrates de potassium, Citrate biacide de potassium, Citrate tripotassique	(Citrate tripotassique, régulateur de l’acidité, séquestrant, stabilisant)
E333	Citrates de calcium, Citrate de monocalcium, Citrate de dicalcium, Citrate de tricalcium	(Citrate de tricalcium, régulateur de l’acidité, affermissant, séquestrant, stabilisant)
E334	Acide tartrique [L	(Acide tartrique [L (+) - ])
E335	Tartrate monosodique, Tartrate disodique	(Tartrate disodique)
E336	Tartrate monopotassique, Tartrate dipotassique	(Tartrate dipotassique)
E337	Tartrate double de sodium et de potassium	(Tartrate double de sodium et de potassium)
E338	Acide orthophosphorique	(Acide orthophosphorique)
E339	Orthophosphates de sodium, Phosphate monosodique, Phosphate disodique, Phosphate trisodique	(Phosphate trisodique)
E340	Orthophosphates de potassium, Orthophosphate monopotassique, Orthophosphate dipotassique, Orthophosphate tripotassique	(Orthophosphate tripotassique, régulateur de l’acidité, séquestrant, émulsifiant, agent de texture, stabilisant, agent de rétention d’eau/d’humidité)
E341	Orthophosphates de calcium, Orthophosphate monocalcique, Orthophosphate dicalcique, Orthophosphate tricalcique	(Orthophosphate tricalcique, régulateur de l’acidité, agent de traitement des farines, affermissant, agent de texture, agent levant, anti-agglomérant, agent de rétention d’eau/d’humidité, stabilisant, tampon)
E342	Phosphates d'ammonium, Orthophosphate monoammonié, Orthophosphate diammonié	(Orthophosphate diammonié, régulateur de l’acidité, agent de traitement des farines)
E343	Orthophosphates de magnésium, Orthophosphate monomagnésien, Orthophosphate dimagnésien, Orthophosphate trimagnésien	(Orthophosphate trimagnésien, régulateur de l’acidité, anti-agglomérant)
E344	Citrate de lécithine	(Citrate de lécithine, conservateur)
E345	Citrate de magnésium	(Citrate de magnésium, régulateur de l’acidité)
E349	Malate d'ammonium	(Malate d'ammonium)
E350	Malate de sodium, Malate acide de sodium	(Malate acide de sodium)
E351	Malate de potassium, Malate acide de potassium	(Malate de potassium, régulateur de l’acidité)
E352	Malate de calcium, Malate acide de calcium	(Malate acide de calcium)
E353	Acide métatartrique	(Acide métatartrique)
E354	Tartrate de calcium	(Tartrate de calcium)
E355	Acide adipique	(Acide adipique)
E356	Adipate de sodium	(Adipate de sodium)
E357	Adipate de potassium	(Adipate de potassium)
E359	Adipates d'ammonium	(Adipates d'ammonium, régulateur de l’acidité)
E363	Acide succinique	(Acide succinique)
E364	Succinates de sodium, Succinate monosodique, Succinate disodique	(Succinate disodique, régulateur de l’acidité, exaltateur d’arôme)
E365	Fumarate de sodium	(Fumarate de sodium, Régulateurs d'acidité)
E366	Fumarates de potassium	(Fumarates de potassium, régulateur de l’acidité)
E367	Fumarates de calcium	(Fumarates de calcium, régulateur de l’acidité)
E368	Fumarate d’ammonium	(Fumarate d’ammonium, régulateur de l’acidité)
E370	4-Heptonolactone	(1,4-Heptonolactone)
E375	Acide nicotinique, Niacine, Vitamine B3	(Acide nicotinique, Niacine (Vitamine B3))
E380	Citrate de triammonium	(Citrate de triammonium)
E381	Citrate d'ammonium ferrique vert	(Citrate d'ammonium ferrique vert)
E383	Glycerophosphate de calcium	(Glycerophosphate de calcium, épaississant, gélifiant, stabilisant)
E384	Citrates d’isopropyle	(Citrates d’isopropyle, antioxydant, conservateur, séquestrant)
E385	Éthylène diamine tétra-acétate de calcium disodium, calcium disodium EDTA	(Éthylène diamine tétra-acétate de calcium disodium (calcium disodium EDTA))
E386	EDTA: Disodium ethylenediamine tetra-acetate, Stabilisateurs synthétiques	(EDTA: Disodium ethylenediamine tetra-acetate, Stabilisateurs synthétiques)
E387	Oxystearin	(Oxystearin, Stabilisateur)
E388	Acide thiodipropanoïque, Antioxydant synthétique	(Acide thiodipropanoïque, Antioxydant synthétique)
E389	Thiodipropionate de dilauryle	(Thiodipropionate de dilauryle, antioxydant)
E390	Thiodipropionate de distéaryle	(Thiodipropionate de distéaryle, antioxydant)
E391	Acide phytique	(Acide phytique, conservateur)
E392	Extrait de romarin	(Extrait de romarin, antioxydant)
E399	Lactobionate de calcium	(Lactobionate de calcium, stabilisant)
E400	Acide alginique	(Acide alginique)
E401	Alginate de sodium	(Alginate de sodium)
E402	Alginate de potassium	(Alginate de potassium)
E403	Alginate d'ammonium	(Alginate d'ammonium)
E404	Alginate de calcium	(Alginate de calcium)
E405	Alginate de propane-1	(Alginate de propane-1,2-diol)
E406	Agar-agar	(Agar-agar)
E407	Carraghénanes	(Carraghénanes (algues))
E407a	Algues euchema transformées	(Algues euchema transformées)
E408	Glycane de levure de boulanger	(Glycane de levure de boulanger)
E409	Arabinogalactane	(Arabinogalactane)
E410	Farine de graines de caroube, gomme de caroube	(Farine de graines de caroube ou gomme de caroube)
E411	Gomme d'avoine	(Gomme d'avoine)
E412	Gomme de jaguar, gomme de guar	(Gomme de jaguar ou gomme de guar)
E413	Gomme de dragon, gomme adragante, tragacanthe	(Gomme de dragon, ou gomme adragante, tragacanthe)
E414	Gomme d'acacia, gomme arabique	(Gomme d'acacia ou gomme arabique)
E414a	Acide octénylsuccinique, gomme arabique modifiée	(Acide octénylsuccinique (OSA) gomme arabique modifiée)
E415	Gomme xanthane, gomme de maïs	(Gomme xanthane ou gomme de maïs)
E416	Gomme karaya	(Gomme karaya)
E417	Gomme tara	(Gomme tara)
E418	Gomme gellane	(Gomme gellane)
E419	Gomme ghatti	(Gomme ghatti)
E420	Sorbitol, Sirop de sorbitol	(Sirop de sorbitol)
E421	Mannitol	(Mannitol)
E422	Glycérol	(Glycérol)
E424	Curdlan	(Curdlan)
E425	Gomme de konjac, Glucomannane de konjac, extrait de racine de Konjac	(Glucomannane de konjac (extrait de racine de Konjac))
E426	Hémicellulose de soja	(Hémicellulose de soja)
E427	Gomme de casse	(Gomme de casse)
E428	Gélatine	(Gélatine, stabilisant, gélifiant, émulsifiant, épaississant, support)
E429	Peptones	(Peptones (Émulsifiant))
E430	Stéarate de polyoxyéthylène	(Stéarate de polyoxyéthylène (8)(Émulsifiant))
E431	Stéarate de polyoxyéthylène	(Stéarate de polyoxyéthylène (40)(Émulsifiant))
E432	Monolaurate de polyoxyéthylène sorbitane, polysorbate 20	(Monolaurate de polyoxyéthylène sorbitane (polysorbate 20)(Émulsifiant))
E433	Monooléate de polyoxyéthylène de sorbitane, polysorbate 80	(Monooléate de polyoxyéthylène de sorbitane (polysorbate 80)(Émulsifiant))
E434	Monopalmitate de polyoxyéthylène sorbitane, polysorbate 40	(Monopalmitate de polyoxyéthylène sorbitane (polysorbate 40)(Émulsifiant))
E435	Monostéarate de polyoxyéthylène sorbitane, polysorbate 60	(Monostéarate de polyoxyéthylène sorbitane (polysorbate 60)(Émulsifiant))
E436	Tristéarate de polyoxyéthylène sorbitane, polysorbate 65	(Tristéarate de polyoxyéthylène sorbitane (polysorbate 65)(Émulsifiant))
E440	Pectines, Pectine, Pectine amidée	(Pectine amidée)
E441	Gélatine	(Gélatine (d'origine animale))
E442	Phosphatides d'ammonium	(Phosphatides d'ammonium (Émulsifiant))
E443	Huile végétale bromée	(Huile végétale bromée, émulsifiant, stabilisant)
E444	Acétate isobutyrate de saccharose	(Acétate isobutyrate de saccharose)
E445	Esters glycériques de résine de bois	(Esters glycériques de résine de bois)
E446	Succistéarine	(Succistéarine, émulsifiant)
E450	Diphosphate disodique, Diphosphate trisodique, Diphosphate tétrasodique, Diphosphate dipotassique, Diphosphate tétrapotassique, Diphosphate dicalcique, Dihydrogéno diphosphate de calcium, Diphosphate dimagnésien, Pyrophosphate de sodium, Pyrophosphate tétrasodique	(Pyrophosphate de sodium, Pyrophosphate tétrasodique)
E451	Triphosphate pentasodique, Triphosphate pentapotassique	(Triphosphate pentapotassique)
E452	Polyphosphates sodiques, Polyphosphates potassiques, Polyphosphates calco-sodiques, Polyphosphates calciques, Polyphosphate d'ammonium, Tripoliphosphate de sodium et de potassium	(Tripoliphosphate de sodium et de potassium, émulsifiant, stabilisant, régulateur de l’acidité, agent levant, séquestrant, agent de rétention d’eau/d’humidité)
E457	Cyclodextrine	(Cyclodextrine, alpha-, stabilisant, liant)
E458	Cyclodextrine	(Cyclodextrine, gamma-, stabilisant, liant)
E459	Béta-cyclodextrine	(Béta-cyclodextrine)
E460	Celluloses, Cellulose microcristalline, Cellulose en poudre	(Cellulose en poudre)
E461	Méthylcellulose	(Méthylcellulose)
E462	Éthylcellulose	(Éthylcellulose)
E463	Hydroxypropylcellulose	(Hydroxypropylcellulose)
E464	Hydroxypropylméthylcellulose	(Hydroxypropylméthylcellulose)
E465	Éthylméthylcellulose	(Éthylméthylcellulose)
E466	Carboxyméthylcellulose	(Carboxyméthylcellulose)
E467	Ethyl-hydroxyéthyl-cellulose	(Ethyl-hydroxyéthyl-cellulose, épaississant, stabilisant, émulsifiant)
E468	Carboxyméthylcellulose de sodium réticulée	(Carboxyméthylcellulose de sodium réticulée (non autorisée en agroalimentaire))
E469	Carboxyméthylcellulose hydrolysée de manière enzymatique	(Carboxyméthylcellulose hydrolysée de manière enzymatique)
E470	Sels de sodium/potassium/calcium d'acides gras, Sels d’acides myristique, calcium, potassium et sodium, Sels d’acide oléique avec calcium	(Sels d’acide oléique avec calcium, potassium et sodium, émulsifiant, stabilisant, anti-agglomérant)
E470a	Stéarate de sodium/potassium/calcium	(Stéarate de sodium/potassium/calcium)
E470b	Stéarate de magnésium	(Stéarate de magnésium)
E471	Mono- et diglycérides d'acides gras alimentaires	(Mono- et diglycérides d'acides gras alimentaires)
E472	Esters d'acides gras alimentaires	(Esters d'acides gras alimentaires)
E472a	Ester diacétyl-acétique d'acides gras	(Ester diacétyl-acétique d'acides gras)
E472b	Ester diacétyl-lactique de mono- et diglycérides d'acides gras	(Ester diacétyl-lactique de mono- et diglycérides d'acides gras)
E472c	Ester diacétyl-citrique de mono- et diglycérides d'acides gras	(Ester diacétyl-citrique de mono- et diglycérides d'acides gras)
E472d	Ester tartrique de mono- et diglycérides d'acides gras	(Ester tartrique de mono- et diglycérides d'acides gras)
E472e	Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras	(Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras)
E472f	Esters mixtes acétiques et tartriques des mono- et diglycérides d'acides gras	(Esters mixtes acétiques et tartriques des mono- et diglycérides d'acides gras)
E472g	Monoglycérides succinyles	(Monoglycérides succinyles, émulsifiant, stabilisant, séquestrant)
E473	Sucroester	(Sucroester)
E473a	Oligoesters de saccharose de type I et de type II	(Oligoesters de saccharose de type I et de type II, émulsifiant, stabilisant)
E474	Sucroglycérides	(Sucroglycérides)
E475	Esters polyglycériques d'acides gras	(Esters polyglycériques d'acides gras)
E476	Esters polyglycériques d'acides gras d'huile de ricin, Polyricinoléate de polyglycérol	(Esters polyglycériques d'acides gras d'huile de ricin, Polyricinoléate de polyglycérol)
E477	Esters du propylène-glycol d'acide gras	(Esters du propylène-glycol d'acide gras)
E478	Esters lactyles d'acides gras du glycérol et du propane-1	(Esters lactyles d'acides gras du glycérol et du propane-1,2 diol)
E479b	Huile de soja oxydée par chauffage ayant réagi avec des mono- et diglycérides d’acides gras	(Huile de soja oxydée par chauffage ayant réagi avec des mono- et diglycérides d’acides gras, émulsifiant)
E481	Stéaroyl-2-lactylate de sodium, Stéaryl de sodium lactylé, Oléyl de sodium lactylé	(Oléyl de sodium lactylé, émulsifiant, stabilisant)
E482	Stéaroyl-2-lactylate de calcium, Stéaryl de calcium lactylé, Oléyl de calcium lactylé	(Oléyl de calcium lactylé, émulsifiant, stabilisant)
E483	Tartrate de stéaryle	(Tartrate de stéaryle)
E484	Citrate de stéaryle	(Citrate de stéaryle)
E485		(Renommé comme 441)
E486	Stearoylfumarate de calcium	(Stearoylfumarate de calcium, émulsifiant)
E487	Laurylsulfate de sodium	(Laurylsulfate de sodium, émulsifiant)
E488	Mono- et di-glycérides éthoxyles	(Mono- et di-glycérides éthoxyles, émulsifiant)
E489	Ester de méthylglycoside d'huile de coco	(Ester de méthylglycoside d'huile de coco, émulsifiant)
E490	Glycole de propylène	(Glycole de propylène, Solvant)
E491	Monostéarate de sorbitane	(Monostéarate de sorbitane)
E492	Tristéarate de sorbitane	(Tristéarate de sorbitane)
E493	Monolaurate de sorbitane	(Monolaurate de sorbitane)
E494	Monoléate de sorbitane	(Monoléate de sorbitane)
E495	Monopalmitate de sorbitane	(Monopalmitate de sorbitane)
E496	Trioléate de sorbitane	(Trioléate de sorbitane, stabilisant, émulsifiant)
