[Produit] EAN	[Produit] Secteur	[Produit] Nomenclature
3184830062654	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3184830062708	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3184830063613	PRODUITS FRAIS	Crèmes fraiches epaisses
3184830063620	EPICERIE	Biscuits sucrés Secs
3184830063651	EPICERIE	Biscuits sucrés Secs
3184830063682	EPICERIE	Biscuits sucrés Secs
3184830064153	PRODUITS FRAIS	Fromages blanc nature
3184830065143	PRODUITS FRAIS	Charc.volaille et autre viande
3184830065495	PRODUITS FRAIS	Salades
3184830066461	PRODUITS FRAIS	Pains de mie élaboré
3184830066492	EPICERIE	Desserts a preparer
3184830066508	EPICERIE	Desserts a preparer
3184830066539	EPICERIE	Desserts a preparer
3184830067031	PRODUITS FRAIS	,Quiches,, tartes,, tourtes surgelées,
3184830067055	EPICERIE	Cafés moulus
3184830067116	EPICERIE	Cafés en grains
3184830101407	PRODUITS FRAIS	Pains de mie élaboré
3184830101520	PRODUITS FRAIS	Gateaux glacés à partager
3184830101537	EPICERIE	,Coulis,, nappages,
3184830101704	EPICERIE	,Coulis,, nappages,
3184830101759	EPICERIE	,Coulis,, nappages,
3184830101780	EPICERIE	,Coulis,, nappages,
3184830101933	PRODUITS FRAIS	Fromages blanc nature
3184830102060	PRODUITS FRAIS	Patisseries et tartes surgelées
3184830134405	PRODUITS FRAIS	Foie gras
3184830134726	EPICERIE	Desserts a preparer
3184830134764	PRODUITS FRAIS	,Brioche,, buns,, specialite individuelle,
3237580171838	EPICERIE	Autres produits patisserie
3245390019806	EPICERIE	Sauces chaudes à base de tomate et tomate frito
3245390020314	LIQUIDES	Cidres
3245390020321	LIQUIDES	Cidres
3245390020390	LIQUIDES	Purs Jus de Fruits - Pomme
3245390021540	PRODUITS FRAIS	Quenelles
3245390021557	PRODUITS FRAIS	Quenelles
3245390024572	PRODUITS FRAIS	Rillettes
3245390026491	PRODUITS FRAIS	,Quiches,, tartes,, tourtes surgelées,
3245390028150	EPICERIE	Sauces chaudes - pâtes - riz
3245390028884	PRODUITS FRAIS	Autres saucisses
3245390031402	EPICERIE	Biscuits sucrés Fourres
3245390035547	PRODUITS FRAIS	Autres poissons fumés
3245390035547	PRODUITS FRAIS	Autres poissons fumés
3245390036056	EPICERIE	Conserves Plats cuisines base de legumes
3245390037176	EPICERIE	Petits pains type suédois
3245390037183	EPICERIE	Petits pains type suédois
3245390037190	EPICERIE	Riz parfumés (Basmati & Thaï)
3245390039163	EPICERIE	Conserves Plats cuisines base de legumes
3245390039668	EPICERIE	Biscuits sucrés Secs
3245390043474	PRODUITS FRAIS	Quenelles
3245390048653	PRODUITS FRAIS	Foie gras
3245390048660	PRODUITS FRAIS	Foie gras
3245390060839	PRODUITS FRAIS	Autres saucisses
3245390066022	EPICERIE	Bonbons gélifiés
3245390075048	EPICERIE	Confitures d autres fruits
3245390082589	EPICERIE	Conserves de poissons tartinables
3245390082596	EPICERIE	Conserves de poissons tartinables
3245390089816	PRODUITS FRAIS	Autres produits traiteur frais
3245390089854	PRODUITS FRAIS	Autres produits traiteur frais
3245390093769	PRODUITS FRAIS	Autres saucisses
3245390108197	EPICERIE	Conserves de Thon
3245390108241	EPICERIE	Conserves de Thon
3245390108258	EPICERIE	Conserves de Thon
3245390117076	PRODUITS FRAIS	Foie gras
3245390125712	EPICERIE	Pâtés
3245390129840	PRODUITS FRAIS	Fromages de chevre
3245390132918	PRODUITS FRAIS	Pates pressées non cuites
3245390141033	EPICERIE	Croquettes sec
3245390147943	PRODUITS FRAIS	Autres produits preparés
3245390159090	LIQUIDES	Vins doux naturels
3245390181947	PRODUITS FRAIS	Gateaux glacés à partager
3245390181954	PRODUITS FRAIS	Autres produits preparés
3245390189844	PRODUITS FRAIS	Foie gras
3245390192417	PRODUITS FRAIS	Pizzas surgelées - Feu de bois
3245390207838	PRODUITS FRAIS	Comte
3245390207838	PRODUITS FRAIS	Comte
3245390207838	PRODUITS FRAIS	Comte
3245390211927	PRODUITS FRAIS	Pates fourrees
3245390220660	EPICERIE	Conserves de poissons tartinables
3245390221698	PRODUITS FRAIS	Beurres Sans sel
3245390221728	PRODUITS FRAIS	Beurres Sales
3245390221780	EPICERIE	Carottes
3245390226549	PRODUITS FRAIS	Autres saucisses
3245390502810	PRODUITS FRAIS	Préparation pommes de terres
3245390236135	PRODUITS FRAIS	Foie gras
3245390502810	PRODUITS FRAIS	Préparation pommes de terres
3245411216818	PRODUITS FRAIS	Fromages frais type nature
3245390591937	EPICERIE	Boissons chocolatées instantanées
3245390787064	PRODUITS FRAIS	Préparation pommes de terres
3245390886989	EPICERIE	Pommes de terre
3245394312811	EPICERIE	Bonbons gélifiés
3245394673127	EPICERIE	Bonbons gélifiés
3245397004652	PRODUITS FRAIS	Frites surgelées
3245397162789	EPICERIE	Biscuits sucrés Au chocolat
3245410085064	LIQUIDES	Mousseux d'appellation
3245410085064	LIQUIDES	Mousseux d'appellation
3245411216818	PRODUITS FRAIS	Fromages frais type nature
3245411157944	EPICERIE	Produits diététiques A base de soja
3245411307769	PRODUITS FRAIS	Pates à tarte fraiches
3245411307769	PRODUITS FRAIS	Pates à tarte fraiches
3245411253844	EPICERIE	Produits diététiques Galettes de riz
3245411253844	EPICERIE	Produits diététiques Galettes de riz
3245411439897	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3245411439897	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3245411439903	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3245411439903	PRODUITS FRAIS	Spécialités festives (Bûches - Bûchettes...)
3245411440176	PRODUITS FRAIS	Plats cuisinés surgelés - a base de pates
3245411440176	PRODUITS FRAIS	Plats cuisinés surgelés - a base de pates
3245411730581	PRODUITS FRAIS	Plats cuisinés surgelés - poisson/fruit m
3245411730581	PRODUITS FRAIS	Plats cuisinés surgelés - poisson/fruit m
3245411400965	EPICERIE	Compotes pots / coupelles
3245411823139	PRODUITS FRAIS	Libre service - Autres volailles
3245411823139	PRODUITS FRAIS	Libre service - Autres volailles
3245411823139	PRODUITS FRAIS	Libre service - Autres volailles
3245411823498	PRODUITS FRAIS	Libre service - Autres volailles
3245411823498	PRODUITS FRAIS	Libre service - Autres volailles
3245411851149	PRODUITS FRAIS	Crèmes longue conservation
3245411851149	PRODUITS FRAIS	Crèmes longue conservation
3245411851149	PRODUITS FRAIS	Crèmes longue conservation
3245411573669	EPICERIE	Produits diététiques Autres sucrés
3245411640620	EPICERIE	Boissons chocolatées instantanées
3245411640798	PFT	Fruits moelleux
3245411640804	PFT	Fruits moelleux
3245411640835	PFT	Pruneaux
3245411653118	EPICERIE	Confiserie et chocolats paques
3245412001444	EPICERIE	Conserves Asperges
3245411756710	EPICERIE	Biscuits sucrés Aux fruits
3245411756789	EPICERIE	Biscuits sucrés Aux fruits
3245412001444	EPICERIE	Conserves Asperges
3245412051661	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412051661	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245411868086	EPICERIE	Confiserie et chocolats noel
3245411869427	EPICERIE	Confiserie et chocolats noel
3245411878832	EPICERIE	Conserves d'Ananas
3245411891800	PRODUITS FRAIS	Saumon fumés
3245411891855	PRODUITS FRAIS	Saumon fumés
3245412457128	PRODUITS FRAIS	Patisseries industrielles - gateaux a trancher
3245412457128	PRODUITS FRAIS	Patisseries industrielles - gateaux a trancher
3245412477478	PRODUITS FRAIS	Saumon fumés
3245412477478	PRODUITS FRAIS	Saumon fumés
3245412487996	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412487996	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412487996	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412487996	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412496509	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412496509	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412542831	EPICERIE	Conserves de Sardines
3245412542831	EPICERIE	Conserves de Sardines
3245412542862	EPICERIE	Conserves de Sardines
3245412542862	EPICERIE	Conserves de Sardines
3245412567216	PRODUITS FRAIS	Pains de mie élaboré
3245412567216	PRODUITS FRAIS	Pains de mie élaboré
3245412681592	EPICERIE	Conserves de Peches
3245412681592	EPICERIE	Conserves de Peches
3245412681592	EPICERIE	Conserves de Peches
3245412718649	EPICERIE	Conserves d'Abricots
3245412718649	EPICERIE	Conserves d'Abricots
3245412730764	PRODUITS FRAIS	Compotes de pommes
3245412730764	PRODUITS FRAIS	Compotes pommes + fruits
3245412730764	PRODUITS FRAIS	Compotes pommes + fruits
3245412730764	PRODUITS FRAIS	Compotes pommes + fruits
3245412304941	EPICERIE	Chocolat tablette - noirs
3245412730771	PRODUITS FRAIS	Compotes pommes + fruits
3245412730771	PRODUITS FRAIS	Compotes pommes + fruits
3245412730771	PRODUITS FRAIS	Compotes de pommes
3245412730870	PRODUITS FRAIS	Compotes pommes + fruits
3245412730870	PRODUITS FRAIS	Compotes pommes + fruits
3245412730917	PRODUITS FRAIS	Compotes pommes + fruits
3245412730917	PRODUITS FRAIS	Compotes pommes + fruits
3245412730924	PRODUITS FRAIS	Compotes pommes + fruits
3245412730924	PRODUITS FRAIS	Compotes pommes + fruits
3245412801013	PRODUITS FRAIS	Pates à tarte fraiches
3245412801013	PRODUITS FRAIS	Pates à tarte fraiches
3245412847059	PRODUITS FRAIS	Oeufs
3245412847059	PRODUITS FRAIS	Oeufs
3245412849381	EPICERIE	Huile de colza
3245412849381	EPICERIE	Huile de colza
3245412849381	EPICERIE	Huile de colza
3245412414909	EPICERIE	Confiserie et chocolats noel
3245412414916	EPICERIE	Confiserie et chocolats noel
3245412966620	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412966620	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412966637	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412966637	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412997785	PRODUITS FRAIS	Autres pains industriels
3245412997785	PRODUITS FRAIS	Autres pains industriels
3245413167064	PRODUITS FRAIS	Libre service - Autres volailles
3245413167064	PRODUITS FRAIS	Libre service - Autres volailles
3245413167064	PRODUITS FRAIS	Libre service - Autres volailles
3245412563034	EPICERIE	Conserves  - Autres plats cuisines
3245412563041	EPICERIE	Conserves  - Autres plats cuisines
3245412563256	EPICERIE	Conserves  - Autres plats cuisines
3245412563331	EPICERIE	Conserves  - Autres plats cuisines
3245412568329	EPICERIE	Conserves  - Autres plats cuisines
3245412568749	EPICERIE	Conserves  - Autres plats cuisines
3245412569081	EPICERIE	Conserves  - Autres plats cuisines
3245412569098	EPICERIE	Conserves  - Autres plats cuisines
3245413205452	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413205452	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412590214	EPICERIE	Produits diététiques Autres sucrés
3245413330338	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330338	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330338	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330338	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330352	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330352	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330352	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330499	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330499	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330499	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413330499	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245412699160	EPICERIE	Cafés en grains
3245413330499	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413543202	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3245413543202	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3245413543202	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3245413553300	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413553300	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413553379	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413553379	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413821614	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245413821614	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412742569	EPICERIE	,Coulis,, nappages,
3245412749018	PRODUITS FRAIS	Produits exotiques
3245413821614	PRODUITS FRAIS	Panettone/brioche/prd tranche
3245412749957	PRODUITS FRAIS	Entrées exotiques
3245412846991	PRODUITS FRAIS	Oeufs
3245412846991	PRODUITS FRAIS	Oeufs
3245412846991	PRODUITS FRAIS	Oeufs
3245412846991	PRODUITS FRAIS	Oeufs
3245412846991	PRODUITS FRAIS	Oeufs
3245413881410	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413881410	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413881410	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413881410	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413881410	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413881458	PRODUITS FRAIS	Charc.volaille et autre viande
3245413881458	PRODUITS FRAIS	Charc.volaille et autre viande
3245413937629	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245413937629	PRODUITS FRAIS	Libre service - Produits carnes prepares
3245414091351	PRODUITS FRAIS	,Quiches,, tartes,, tourtes surgelées,
3245414091351	PRODUITS FRAIS	,Quiches,, tartes,, tourtes surgelées,
3245412950773	EPICERIE	Confiserie et chocolats noel
3245412954467	EPICERIE	Confiserie et chocolats noel
3245412962318	EPICERIE	Confiserie et chocolats noel
3245412968150	EPICERIE	Moutardes
3245412980152	EPICERIE	Chocolat tablette - noirs
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414192508	PRODUITS FRAIS	Laits longue conservation natu
3245414349971	EPICERIE	Compotes pots / coupelles
3245414349971	EPICERIE	Compotes pots / coupelles
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413152527	PFT	Sachet/Barquettes Monovarietes
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413157522	PFT	Salade Sachet/Barquettes Autre
3245413451804	EPICERIE	Produits diététiques Autres sucrés
3245413458513	EPICERIE	Produits diététiques Autres salés
3245413495457	EPICERIE	Confiserie et chocolats noel
3245413497901	EPICERIE	Conserves  - Autres plats cuisines
3245413527134	PRODUITS FRAIS	Dessert patissier
3270190007890	EPICERIE	Cafés moulus
3270190007890	EPICERIE	Cafés moulus
3270190020073	PRODUITS FRAIS	Plats cuisinés surgelés - a base de pates
3270190020073	PRODUITS FRAIS	Plats cuisinés surgelés - a base de pates
3270190020103	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3245413575579	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413579225	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413579256	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3245413579287	PRODUITS FRAIS	Autres patisseries et gateaux industriels
3270190020103	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3270190020103	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3270190020103	PRODUITS FRAIS	Bœuf haché / Préparation / Découpe
3270190020288	PRODUITS FRAIS	Beurres Sans sel
3270190020288	PRODUITS FRAIS	Beurres Sans sel
3270190020288	PRODUITS FRAIS	Beurres Sans sel
3270190020288	PRODUITS FRAIS	Beurres Sans sel
3270190020295	PRODUITS FRAIS	Beurres Sales
3245413754196	EPICERIE	Confiserie et chocolats paques
3245413758866	LIQUIDES	Sirops concentrés - Autres sirops
3245413761576	EPICERIE	Confiserie et chocolats paques
3245413761590	EPICERIE	Confiserie et chocolats paques
3245413761804	EPICERIE	Confiserie et chocolats paques
3245413761842	EPICERIE	Confiserie et chocolats paques
3245413766960	EPICERIE	Confiserie et chocolats paques
3270190020295	PRODUITS FRAIS	Beurres Sales
3270190020356	PRODUITS FRAIS	Légumes verts surgelés
3270190020356	PRODUITS FRAIS	Légumes verts surgelés
3270190020356	PRODUITS FRAIS	Légumes verts surgelés
3245413781284	LIQUIDES	Boissons anisées sans alcool
3270190020356	PRODUITS FRAIS	Légumes verts surgelés
3270190020394	PRODUITS FRAIS	Légumes verts surgelés
3270190020394	PRODUITS FRAIS	Légumes verts surgelés
3270190020394	PRODUITS FRAIS	Légumes verts surgelés
3270190020561	PRODUITS FRAIS	Beurres Sales
3270190020561	PRODUITS FRAIS	Beurres Sales
3270190020660	PRODUITS FRAIS	Légumes verts surgelés
3270190020660	PRODUITS FRAIS	Légumes verts surgelés
3270190020660	PRODUITS FRAIS	Légumes verts surgelés
3270190020660	PRODUITS FRAIS	Légumes verts surgelés
3270190020868	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020868	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020868	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020875	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020875	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020875	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020875	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020936	PRODUITS FRAIS	Fromages blanc allegés
3270190020998	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020998	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190020998	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190021001	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190021001	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190021001	PRODUITS FRAIS	Crèmes fraiches epaisses
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021063	PRODUITS FRAIS	Oeufs
3270190021087	PRODUITS FRAIS	Fromages blanc nature
3270190021087	PRODUITS FRAIS	Fromages blanc nature
3270190021087	PRODUITS FRAIS	Fromages blanc nature
3270190021148	PRODUITS FRAIS	Coulommiers
3270190021148	PRODUITS FRAIS	Coulommiers
3270190021285	PRODUITS FRAIS	Oeufs
3270190021285	PRODUITS FRAIS	Oeufs
3270190021285	PRODUITS FRAIS	Oeufs
3270190021285	PRODUITS FRAIS	Oeufs
3245413898562	EPICERIE	Conserves  - Autres plats cuisines
3270190021285	PRODUITS FRAIS	Oeufs
3270190021285	PRODUITS FRAIS	Oeufs
3270190021285	PRODUITS FRAIS	Oeufs
3245413942876	PRODUITS FRAIS	Pates fourrees
3270190022510	PRODUITS FRAIS	Pates à tarte fraiches
3245413985811	PFT	Sachet/Barquettes Monovarietes
3245413985811	PFT	Sachet/Barquettes Monovarietes
3270190022510	PRODUITS FRAIS	Pates à tarte fraiches
3245414009622	EPICERIE	Confiserie et chocolats noel
3270190022510	PRODUITS FRAIS	Pates à tarte fraiches
3245414061071	PFT	Sachet/Barquettes Monovarietes
3245414061071	PFT	Sachet/Barquettes Monovarietes
3245414061071	PFT	Sachet/Barquettes Monovarietes
3245414061071	PFT	Sachet/Barquettes Monovarietes
3245414061071	PFT	Sachet/Barquettes Monovarietes
3245414062139	PFT	Sachet/Barquettes Composees
3245414062139	PFT	Sachet/Barquettes Composees
3245414068759	PFT	Sachet/Barquettes Monovarietes
3245414068759	PFT	Sachet/Barquettes Monovarietes
3270190022510	PRODUITS FRAIS	Pates à tarte fraiches
3270190022527	PRODUITS FRAIS	Pates à tarte fraiches
3245414079069	PRODUITS FRAIS	Saumon fumés
3270190022527	PRODUITS FRAIS	Pates à tarte fraiches
3270190022527	PRODUITS FRAIS	Pates à tarte fraiches
3245414081499	EPICERIE	,Coulis,, nappages,
3245414087965	PFT	Fruits moelleux
3245414090057	PFT	Pruneaux
3245414090057	PFT	Pruneaux
3245414090354	PFT	Pruneaux
3245414090354	PFT	
3270190022527	PRODUITS FRAIS	Pates à tarte fraiches
3270190022534	PRODUITS FRAIS	Pates à tarte fraiches
3270190022534	PRODUITS FRAIS	Pates à tarte fraiches
3270190022534	PRODUITS FRAIS	Pates à tarte fraiches
3270190022534	PRODUITS FRAIS	Pates à tarte fraiches
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022565	PRODUITS FRAIS	Oeufs
3270190022596	PRODUITS FRAIS	Pates à tarte fraiches
3270190022596	PRODUITS FRAIS	Pates à tarte fraiches
3270190022596	PRODUITS FRAIS	Pates à tarte fraiches
3270190022596	PRODUITS FRAIS	Pates à tarte fraiches
3270190022824	PRODUITS FRAIS	Beurres Sans sel
3270190022824	PRODUITS FRAIS	Beurres Sans sel
3270190022831	PRODUITS FRAIS	Beurres Sans sel
3270190022831	PRODUITS FRAIS	Beurres Sans sel
3270190023661	PRODUITS FRAIS	Lardons
3270190023661	PRODUITS FRAIS	Lardons
3270190023678	PRODUITS FRAIS	Lardons
3270190023678	PRODUITS FRAIS	Lardons
3270190024835	PRODUITS FRAIS	Panettone/brioche/prd tranche
3270190024835	PRODUITS FRAIS	Panettone/brioche/prd tranche
3270190024835	PRODUITS FRAIS	Panettone/brioche/prd tranche
3270190025566	PRODUITS FRAIS	Beurres Sales
3270190025566	PRODUITS FRAIS	Beurres Sales
3270190025566	PRODUITS FRAIS	Beurres Sales
3270190025566	PRODUITS FRAIS	Beurres Sales
3270190025696	PRODUITS FRAIS	Fromages de chevre
