alim_grp_code	alim_ssgrp_code	alim_ssssgrp_code	alim_grp_nom_fr	alim_ssgrp_nom_fr	alim_ssssgrp_nom_fr	alim_code	alim_nom_fr	alim_nom_sci	Energie, Règlement UE N° 1169/2011 (kJ/100 g)	Energie, Règlement UE N° 1169/2011 (kcal/100 g)	Energie, N x facteur Jones, avec fibres  (kJ/100 g)	Energie, N x facteur Jones, avec fibres  (kcal/100 g)	Eau (g/100 g)	Protéines, N x facteur de Jones (g/100 g)	Protéines, N x 6.25 (g/100 g)	Glucides (g/100 g)	Lipides (g/100 g)	Sucres (g/100 g)	Fructose (g/100 g)	Galactose (g/100 g)	Glucose (g/100 g)	Lactose (g/100 g)	Maltose (g/100 g)	Saccharose (g/100 g)	Amidon (g/100 g)	Fibres alimentaires (g/100 g)	Polyols totaux (g/100 g)	Cendres (g/100 g)	Alcool (g/100 g)	Acides organiques (g/100 g)	AG saturés (g/100 g)	AG monoinsaturés (g/100 g)	AG polyinsaturés (g/100 g)	AG 4:0, butyrique (g/100 g)	AG 6:0, caproïque (g/100 g)	AG 8:0, caprylique (g/100 g)	AG 10:0, caprique (g/100 g)	AG 12:0, laurique (g/100 g)	AG 14:0, myristique (g/100 g)	AG 16:0, palmitique (g/100 g)	AG 18:0, stéarique (g/100 g)	AG 18:1 9c (n-9), oléique (g/100 g)	AG 18:2 9c,12c (n-6), linoléique (g/100 g)	AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)	AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)	AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g)	AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g)	Cholestérol (mg/100 g)	Sel chlorure de sodium (g/100 g)	Calcium (mg/100 g)	Chlorure (mg/100 g)	Cuivre (mg/100 g)	Fer (mg/100 g)	Iode (µg/100 g)	Magnésium (mg/100 g)	Manganèse (mg/100 g)	Phosphore (mg/100 g)	Potassium (mg/100 g)	Sélénium (µg/100 g)	Sodium (mg/100 g)	Zinc (mg/100 g)	Rétinol (µg/100 g)	Beta-Carotène (µg/100 g)	Vitamine D (µg/100 g)	Vitamine E (mg/100 g)	Vitamine K1 (µg/100 g)	Vitamine K2 (µg/100 g)	Vitamine C (mg/100 g)	Vitamine B1 ou Thiamine (mg/100 g)	Vitamine B2 ou Riboflavine (mg/100 g)	Vitamine B3 ou PP ou Niacine (mg/100 g)	Vitamine B5 ou Acide pantothénique (mg/100 g)	Vitamine B6 (mg/100 g)	Vitamine B9 ou Folates totaux (µg/100 g)	Vitamine B12 (µg/100 g)
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4003	Pomme de terre, bouillie/cuite à l'eau		341	80,5	341	80,5	78,3	1,8	1,8	16,7	0,34	0,86	0,3	0	0,37	0	0	0,19	15,8	1,8	0	0,96	0	traces	0,094	0,002	0,043	0	0	0	0,001	0,0002	0,0011	0,062	0,022	0,002	0,032	0,011	-	0	0	0	0,052	5,83	61	0,076	0,27	< 5	17,3	0,074	37,2	363	< 10	20,6	0,15	0	2	0	0,01	2,1	-	2,92	0,079	< 0,04	1,73	0,57	0,34	31,1	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4004	Chips de pommes de terre nature ou aromatisées, standard		2270	545	2270	545	1,4	5,67	5,67	51,1	34,3	1,59	< 0,2	0	< 0,2	< 0,2	< 0,2	< 0,4	48,8	4,57	0	4,18	0	traces	3,23	24,2	2,07	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	1,15	0,94	23,7	2,03	0,04	< 0,01	< 0,01	< 0,01	< 0,7	1,65	27	742	0,22	1,2	< 20	66	0,35	140	1300	< 20	652	0,82	< 21	< 5	< 0,25	12,3	5,02	-	8,26	0,13	0,014	19,4	0,85	0,44	31,6	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4007	Pomme de terre nouvelle, bouillie/cuite à l'eau		-	-	-	-	81,1	1,44	1,44	-	0,3	-	0,2	-	0,3	0	0	0,5	-	1,6	0	0,57	0	traces	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,025	13	43	0,06	1,6	2,25	18	0,2	54	430	1	10	0,3	0	-	0	0,06	-	-	15	0,09	0,06	0,4	0,38	0,36	7,5	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4008	Pomme de terre, sans peau, crue		341	80,5	341	80,5	79	2,16	2,16	16,2	0,18	0,78	0,15	0	0,22	0	0	0,41	15,4	1,8	0	1,02	0	0,61	0,038	0,0073	0,095	0	0	0	0,00095	0,0029	0,00095	0,028	0,0057	0,0073	0,041	0,054	0	0	0	0	0,016	14,3	50	0,079	0,91	1,2	22	0,11	56,2	418	22,9	< 0,44	0,35	0	1	0	0,055	8,95	-	18,9	0,068	0,048	1,33	0,34	0,25	26	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4011	Pomme de terre, appertisée, égouttée		253	59,9	253	59,9	84,3	1,47	1,47	11,7	0,34	0,65	-	-	-	-	-	-	-	2,2	0	0,88	0	traces	0,055	0,005	0,09	-	-	-	0,001	0,007	0,001	0,034	0,007	0,002	0,067	0,021	-	-	-	0	0,15	25,4	-	0,051	1,26	-	9,4	0,071	28,8	229	< 3,35	60,6	0,18	0	-	0	-	-	-	5,1	0,068	0,013	0,92	0,35	0,19	6	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4013	Pomme de terre noisette, surgelée, crue		760	181	760	181	61	2,76	2,76	24,9	7,22	0,74	< 0,3	-	0,28	-	< 0,3	0,21	-	2,82	0	2,02	0	traces	1,68	2,85	1,47	< 0,05	< 0,05	0,0048	< 0,05	0,0093	0,033	1,36	0,27	-	-	0,021	-	-	-	-	0,93	25,2	-	0,1	1	3	27,9	0,18	111	550	< 2,2	373	0,58	-	3	0	0,2	-	-	8	0,13	0,03	2,2	0,5	0,2	28	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4014	Pomme de terre vapeur, sous vide		312	73,6	312	73,6	-	1,7	1,7	15,4	0,2	0,4	-	-	-	-	-	-	-	1,62	0	0,24	0	traces	0,096	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,24	-	-	-	-	-	-	-	-	-	-	96,2	-	-	-	-	-	-	-	14,7	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4015	Pomme de terre poêlée, avec matière grasse		574	137	574	137	69,9	2,5	2,5	17,3	5,7	2,2	0,8	< 0,2	0,9	< 0,2	< 0,2	0,5	14	2,6	< 0,5	1,47	0	0,49	1,16	3,58	0,66	0,02	0,01	0,01	0,02	0,03	0,06	0,73	0,22	3,41	0,61	0,05	< 0,01	< 0,01	< 0,01	-	0,51	18	370	0,15	0,73	< 20	28	0,17	46	680	< 20	204	0,35	-	10,2	-	0,37	2,66	-	1,97	0,043	< 0,01	0,72	0,41	0,15	26	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4016	Pomme de terre, flocons déshydratés, au lait ou à la crème		1570	371	1570	372	6,21	10,6	10,5	69,4	3,97	4,67	-	-	-	-	-	-	64,7	8	0	4,05	0	traces	1,55	0,14	0,27	0,1	0,062	0,041	0,092	0,05	0,12	0,45	0,43	0,14	0,14	0,036	0	0	0	2	0,2	106	189	0,47	2,55	39	69,5	0,61	238	1510	0,5	78,1	1,3	17	10	0	0,03	8,7	-	22,3	0,19	0,24	6,35	1,31	1,03	30	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4017	Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse		409	97,9	409	97,9	77,8	1,92	1,92	10,2	5,18	1,68	0,15	0	0,14	1,13	0,075	0,15	8,49	1,47	0	1,05	0	traces	1,87	1,77	0,94	0,077	0,051	0,035	0,062	0,066	0,21	0,88	0,46	-	-	-	-	0	0	6,67	0,56	38,7	-	0,025	0,19	-	16,3	0,11	52,3	184	-	223	0,2	45,3	30,7	0,3	0,33	3,9	-	8,63	0,11	0,062	0,77	0,2	0,089	7,33	0,11
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4018	Pomme de terre, purée, avec lait et beurre, non salée		374	88,8	374	88,9	77	1,89	1,87	14,2	2,4	1,41	0,24	0	0,29	0,72	0	0,15	12,8	1,5	0	1,48	0	traces	1,46	0,6	0,13	0,084	0,057	0,038	0,069	0,073	0,21	0,63	0,28	-	-	-	-	0	0	6,5	0,11	31,1	-	0,061	0,21	5	15,2	0,066	45,5	260	< 10	44,9	0,22	22	5,5	0,2	0,07	1,9	-	6,1	0,088	0,041	1,1	0,48	0,23	8	0,07
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4019	Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée		284	67,3	284	67,3	82,8	2,63	2,63	12,1	0,53	1,71	-	-	-	-	-	-	10,4	1,8	0	0,73	0	traces	0,32	0,16	0,016	0,0095	0,0059	0,0038	0,0093	0,019	0,059	0,18	0,038	0,16	0,012	0,0037	-	-	-	1,52	0,23	36,5	-	0,062	0,39	5,15	15	0,082	57,3	270	0,96	91,5	0,31	5,77	3	traces	0,13	-	-	3,2	0,033	0,091	1,06	0,28	0,16	4,7	0,091
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4020	Pomme de terre dauphine, surgelée, crue		1190	285	1190	285	49	4,62	4,62	25,6	17,7	1,96	< 0,3	-	< 0,3	-	1,96	< 0,3	-	2,34	0	2,1	0	traces	3,98	5,49	8,06	< 0,014	< 0,014	< 0,014	< 0,014	< 0,014	0,014	1,27	0,53	-	8,04	0,011	< 0,014	< 0,014	< 0,014	-	1,17	22,2	-	0,09	0,99	-	9,25	0,23	41,8	138	-	468	0,68	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4021	Pomme de terre dauphine, surgelée, cuite		1260	302	1260	302	43,5	4,5	4,5	30,2	17,7	3,5	< 0,2	-	< 0,2	< 0,2	3,3	0,2	20,8	2	0	2,11	0	traces	3,39	4,45	9,09	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,04	2,35	0,66	4,45	8,14	0,02	0,01	< 0,01	< 0,01	51,7	1,32	120	524	0,06	0,8	< 20	14	0,18	210	180	< 20	527	0,38	< 21	< 5	< 0,25	6,6	< 0,8	-	-	0,08	0,071	0,31	0,75	0,11	15,1	0,39
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4022	Pomme de terre, flocons déshydratés, nature		1530	361	1530	361	5,09	8,04	8,04	76,1	0,46	2,35	0,68	0	0,62	0	0,35	0,69	70,6	10,3	0	2,8	0	traces	0,15	0,01	0,19	0	0	0	0,002	0,012	0,003	0,083	0,049	0,006	0,16	0,034	-	0	0	0	0,55	48,5	-	0,27	2,26	0,5	70,7	0,45	223	1130	0,5	220	1,05	0	6	0	0,03	8,7	-	59	0,59	0,21	5,23	1,21	0,8	38	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4023	Pomme de terre nouvelle, crue		324	76,4	324	76,4	79,9	1,88	1,88	15,9	0,3	0,2	-	-	-	-	-	-	15,6	1,3	0	0,9	0	traces	0,058	0,014	0,17	-	-	-	-	-	-	0,048	0,009	0,009	0,072	0,096	-	-	-	0	0,058	10	-	-	0,6	0,9	-	-	54	367	-	23	0,5	0	-	0	0,06	-	-	22	0,12	0,03	2,4	-	0,44	25	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4025	Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites		732	174	732	174	59,9	3,25	3,25	25,3	5,8	traces	< 0,2	< 0,2	< 0,2	< 0,2	< 0,2	< 0,2	22,6	3,4	< 0,5	1,82	0	0,57	0,64	2,13	2,69	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,39	0,19	2,04	2,61	0,08	< 0,01	< 0,01	< 0,01	< 0,7	0,76	17	499	0,13	0,7	< 20	24	0,13	84	550	< 20	302	0,43	< 21	18	< 0,25	1,39	2,08	-	1,08	0,091	< 0,01	< 0,1	0,6	0,14	24,3	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4026	Pomme de terre, rôtie/cuite au four		379	89,4	379	89,4	74,9	2,5	2,5	18,5	0,13	1,18	0,34	0	0,44	0	0	0,4	17,3	2,2	0	1,33	0	traces	0,035	0,003	0,058	0	0	0	0,001	0,004	0,001	0,022	0,005	-	-	-	-	0	0	0	0,025	15	-	0,12	1,08	-	28	0,22	70	535	-	10	0,36	0	6	0	0,04	2	-	9,6	0,064	0,048	1,41	0,38	0,31	28	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4027	Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite		654	156	654	156	63,3	2,81	2,81	23	4,8	traces	< 0,2	< 0,2	< 0,2	< 0,2	< 0,2	< 0,2	22,1	4	< 0,5	1,53	0	0,58	0,61	1,9	1,97	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,38	0,16	1,81	1,84	0,13	< 0,01	< 0,01	< 0,01	-	0,19	11	117	0,15	0,63	< 20	26	0,13	100	570	< 20	77	0,42	-	< 5	-	1,28	2,29	-	1,25	0,086	< 0,01	0,54	0,51	0,14	14	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4028	Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau		322	76,1	322	76,1	79,7	1,81	1,81	15,7	< 0,5	< 0,2	< 0,2	-	< 0,2	< 0,2	< 0,2	< 0,2	13,5	1,9	0	0,94	0	traces	-	-	-	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	-	< 0,01	6,5	76,3	0,07	0,31	< 20	17	0,1	40	390	< 20	< 5	0,23	-	< 5	-	0,1	< 0,8	-	3,78	0,062	< 0,01	0,61	0,37	0,17	7,89	0,074
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4029	Pomme de terre primeur, sans peau, bouillie/cuite à l'eau		303	71,6	303	71,6	79,9	1,84	1,84	14,9	< 0,1	-	-	-	-	-	-	-	14,9	2,13	0	1,2	0	traces	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,17	0,7	-	19,7	-	-	291	-	-	0,34	-	-	-	-	-	-	18,9	-	-	-	-	0,21	53,8	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4030	Frites de pommes de terre, surgelées, rôties/cuites au four		896	213	896	213	51,1	3,75	3,75	32,6	6,6	0,29	< 0,2	0	0,2	< 0,2	< 0,2	< 0,4	30,6	4,2	0	1,72	0	traces	0,75	2,24	3,32	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,46	0,21	2,16	3,28	0,02	< 0,01	< 0,01	< 0,01	< 0,7	0,39	11	267	0,11	0,67	< 20	29	0,15	81	590	< 20	156	0,45	< 21	< 5	< 0,25	7,64	< 0,8	-	2,38	0,097	0,018	1,15	0,52	0,52	40,6	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4032	Frites de pommes de terre, surgelées, cuites en friteuse		1200	285	1200	285	42,5	3,28	3,28	39,4	11,9	0,69	-	-	-	-	-	0,44	32,1	3,9	0	2,11	0	traces	2,94	5,85	2,54	0	0	0	0	0	0,087	2,43	0,39	5,85	2,45	0,087	0	0	0	0	0,073	23,8	0,1	0,12	0,9	< 5	23,3	0,16	106	684	< 2,2	29	0,36	< 2	0	0	0,44	11,2	-	19	0,11	0,059	2,57	0,43	0,37	32,3	0,04
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4034	Pomme de terre duchesse, surgelée, cuite		913	218	913	218	51,5	3,44	3,44	29,5	8,5	< 0,4	< 0,2	-	< 0,2	< 0,2	< 0,2	< 0,4	27,8	4,8	0	2,17	0	traces	0,96	3,67	3,46	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,62	0,26	3,48	3,37	0,08	< 0,01	< 0,01	< 0,01	2,87	0,99	51	622	0,12	0,81	< 20	28	0,19	81	530	< 20	395	0,53	< 21	< 5	< 0,25	2,33	< 0,8	-	< 0,5	0,092	0,051	0,34	0,42	0,26	18,5	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4035	Pomme de terre noisette, surgelée, cuite		804	191	804	191	56,9	2,81	2,81	28,5	6,6	0,2	< 0,2	-	0,2	< 0,2	< 0,2	< 0,2	24,9	3,4	0	1,89	0	traces	0,94	2,32	2,77	< 0,01	< 0,01	0,02	< 0,01	0,01	0,03	0,64	0,24	2,32	2,65	0,12	< 0,01	< 0,01	< 0,01	< 0,7	0,87	27	592	0,09	0,61	< 20	22	0,14	59	420	< 20	347	0,39	< 21	< 5	-	1,29	0,89	-	-	0,18	0,033	0,66	0,46	0,17	12,4	0,07
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4036	Pomme de terre sautée/poêlée à la graisse de canard		889	213	889	213	-	2,54	2,54	21,9	12,1	1,59	-	-	-	-	-	-	-	2,89	0	0,67	0	traces	3,17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,67	-	-	-	-	-	-	-	-	-	-	266	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4037	Chips de pommes de terre nature ou aromatisées, à l'ancienne		2370	570	2370	570	1,4	5,62	5,62	49,8	37,6	1,38	< 0,2	-	< 0,2	< 0,2	< 0,2	0,7	43,5	4,51	0	4,02	0	traces	3,53	27,2	2,49	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	1,35	1,03	26,7	2,44	0,05	< 0,01	< 0,01	< 0,01	0,72	1,78	21	1070	0,19	0,98	< 20	55	0,25	120	1100	< 20	702	0,6	< 21	< 5	< 0,25	15,3	4,56	-	5,07	0,31	0,02	4,74	0,83	0,35	27,3	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4038	Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse		1940	463	1940	463	1,3	6,58	6,58	62,1	19,8	2,49	< 0,2	-	< 0,2	< 0,2	< 0,2	2,49	54,9	5,19	0	3,83	0	traces	1,94	15,4	1,5	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,01	0,72	0,59	14	1,33	0,03	< 0,01	< 0,01	< 0,01	1,01	1,22	56	802	0,25	1,2	< 20	67	0,26	210	1300	< 20	487	0,87	-	9,62	-	3,32	2,56	-	-	0,32	0,029	2,56	1,57	0,43	-	0,049
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4039	Rostis ou Galette de pomme de terre		760	182	760	182	61,4	2,38	2,38	22,5	8,3	0,2	< 0,2	< 0,2	0,2	< 0,2	< 0,2	< 0,2	19,5	3,3	< 0,5	1,71	0	0,46	1,06	3,1	3,7	< 0,01	< 0,01	< 0,01	< 0,01	< 0,01	0,05	0,65	0,28	2,95	3,58	0,12	< 0,01	< 0,01	< 0,01	15	0,82	18	515	0,13	0,55	< 20	22	0,11	70	460	< 20	328	0,35	< 21	< 5	< 0,25	2,92	2,31	-	< 0,5	0,061	< 0,01	0,68	0,44	0,12	9,13	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4042	Pomme de terre duchesse, surgelée, crue		745	178	745	178	65,5	2,8	2,8	23,2	7,72	0,73	< 0,3	-	< 0,3	-	< 0,3	< 0,3	-	2,13	0	1,7	0	traces	1,33	2,41	3,94	-	-	-	-	-	-	-	-	-	3,82	0,0042	-	-	-	-	0,93	-	-	-	-	-	-	-	-	-	-	368	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4043	Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue		569	135	569	135	69,1	2,32	2,32	20,9	4,2	0,42	< 0,3	-	< 0,3	-	< 0,3	< 0,3	-	2,41	0	1,14	0	traces	1,14	0,99	1,22	< 0,002	< 0,002	< 0,002	< 0,002	0,0024	0,011	0,51	0,076	-	1,21	0,01	< 0,002	< 0,002	< 0,002	-	0,17	-	-	-	-	-	-	-	-	-	-	66	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4044	Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four		648	154	648	154	67,9	2,41	2,41	23,4	5,09	0,35	< 0,3	-	< 0,3	-	< 0,3	< 0,3	-	2,58	0	1,17	0	traces	1,56	1,4	1,92	< 0,005	< 0,005	< 0,005	< 0,005	< 0,005	0,005	0,42	0,15	-	1,91	0,0093	< 0,005	< 0,005	< 0,005	-	0,28	-	-	-	-	-	-	-	-	-	-	109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4045	Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes		1070	254	1070	254	49,5	3,5	3,5	34	10,8	0,23	< 0,3	-	< 0,3	-	< 0,3	0,19	-	3,83	0	1,45	0	traces	1,74	3,32	4,26	< 0,0083	< 0,0083	< 0,0083	< 0,0083	< 0,0083	0,0076	0,61	0,32	-	4,2	0,013	< 0,0083	< 0,0083	< 0,0083	-	0,27	-	-	-	-	-	-	-	-	-	-	108	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4046	Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse		1020	244	1020	244	-	3,12	3,12	29,1	12,1	0,48	-	-	-	-	-	-	-	3,39	0	0,14	0	traces	4,09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,12	20	-	-	1,8	-	-	-	-	-	-	57,9	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4047	Pomme de terre, purée (aliment moyen)		385	91,8	385	91,8	78,7	2,11	2,11	12,7	3,25	1,49	0,18		0,19		0,075	0,15	10,6	1,58	0	1,11	0	0	1,71	0,86	0,3	0,057	0,038	0,025	0,047	0,053	0,16	0,56	0,26							4,9	0,35	35,4		0,049	0,26		15,5	0,086	51,7	238		140	0,24	24,4	13,1	0,17	0,17			5,98	0,077	0,065	0,97	0,32	0,16	6,68	0,089
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4048	Pomme de terre, cuite (aliment moyen)		393	93,2	393	93,2	76,4	2,01	2,01	17,2	1,37	1,05	0,35		0,4	0,065	0,065	0,24	14,5	1,96	0,052	1,08	0	0,1	0,4	1,1	0,23	0,0058	0,0037	0,0037	0,0062	0,0086	0,015	0,17	0,053	0,91	0,17	0,019		0,0027	0,0027		0,12	9,62	150	0,095	0,43	6,78	20,7	0,12	43,7	450	7,07	48,8	0,24		3,68		0,12	1,34		5,05	0,07	0,013	1,08	0,46	0,24	18,4	0,03
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4101	Patate douce, crue		365	86,3	365	86,3	78,8	1,51	1,51	18,3	0,15	5,64	0,75	0	0,93	0	0	2,51	12,7	2,87	0	1,05	0	traces	0,064	0,0035	0,048	0	0	0	0	0	0	0,061	0,0034	0,0035	0,044	0,0035	0	0	0	0	0,098	37,5	-	0,15	0,76	0,2	20	0,26	47	373	0,6	39,3	0,25	0	8510	0	0,26	1,8	-	2,4	0,072	0,061	0,56	0,8	0,19	11	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4102	Patate douce, cuite		265	62,8	265	62,8	78	1,69	1,69	12,2	0,15	6,11	0,47	0	0,56	0	3,23	1,86	6,14	2,9	0	0,99	0	traces	0,042	0,002	0,077	0	0	0	0	0	0	0,04	0,002	-	-	-	-	0	0	0	0,079	32,5	-	0,13	0,71	3	22,5	0,38	43	353	-	31,5	0,26	0	10500	0	0,83	2,2	-	16,2	0,082	0,077	1,01	0,73	0,23	6	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	4103	Patate douce, purée, cuisinée à la crème		334	79,8	334	79,8	-	1,1	1,1	12,1	2	7,5	-	-	-	-	-	-	-	4,5	0	0,56	0	traces	1,4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,56	-	-	-	-	-	-	-	-	-	-	225	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	20050	Topinambour, cuit		346	81,9	346	81,9	80,2	1,8	1,8	16	0,7	9,6	< 0,5	-	< 0,5	< 0,5	< 0,5	1,7	< 0,5	2,2	0	1,4	0	traces	0	0,004	0,001	0	0	0	-	0	0	0	0	-	-	-	-	0	0	0	0,09	32,9	-	< 0,1	0,2	< 10	14,1	< 0,1	64	452	-	35,9	0,34	0	< 50	0	0,19	0,1	-	3,2	< 0,05	0,03	0,05	0,38	0,04	44,3	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	20196	Topinambour, cru		257	60,7	257	60,7	80,1	1,94	1,94	11,5	0,31	9,6	-	-	-	-	-	-	-	2,1	0	1,87	0	traces	0,11	0,0062	0,13	0	0	0	0	0	0	0,11	0,0054	0,0062	0,099	0,026	-	0	0	0	0,0088	21	-	0,13	2	0,1	16,5	0,06	75,2	495	0,03	3,5	0,11	0	12	0	0,17	0,1	-	5	0,14	0,058	1,3	0,39	0,084	24,5	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	53101	Banane plantain, cuite		529	125	529	125	67,3	0,79	0,79	28,9	0,18	14	-	-	-	-	-	-	-	2,3	0	0,58	0	traces	0,069	0,015	0,033	0	0	0	0	0,001	0,001	0,047	0,002	-	-	-	-	0	0	0	0,013	2	-	0,066	0,58	-	32	-	28	465	-	5	0,13	0	369	0	0,13	0,7	-	10,9	0,046	0,052	0,76	0,23	0,24	26	0
02	0202	000000	fruits, légumes, légumineuses et oléagineux	pommes de terre et autres tubercules	-	53200	Taro, tubercule, cru		453	107	453	107	70,6	1,5	1,5	22,8	0,2	0,4	-	-	-	-	-	-	20,8	4,1	0	1,2	0	traces	0,041	0,016	0,083	0	0	0	0	0	0	0,035	0,006	-	-	-	-	0	0	0	0,028	43	-	0,17	0,55	-	33	0,38	84	591	-	11	0,23	0	35	0	2,38	1	-	4,5	0,095	0,025	0,6	0,3	0,28	22	0
