fdc_category,number_of_products,category,To create
Nut & Seed Butters,2199,en:Vegetable fats,
Canned Soup,2181,en:Canned soups,
Frozen Fruit & Fruit Juice Concentrates,2002,en:Fruits based foods,
Other Cooking Sauces,1783,en:Sauces,
Iced & Bottle Tea,1674,en:Iced teas,
Herbs & Spices,1654,"en:Plant-based foods, en:Condiments",
Other Meats,1630,en:Meats,
Vegetable and Lentil Mixes,1562,en:Vegetable mixes,en:Vegetable mixes
Butter & Spread,1560,en:Fats,
Rice,1484,en:Rices,
Syrups & Molasses,1452,en:Simple syrups,
"Granulated, Brown & Powdered Sugar",1444,en:Sugars,
Other Deli,1427,,
"Energy, Protein & Muscle Recovery Drinks",1417,en:Beverages,
Milk Additives,1395,en:Coffee creamers,en:Coffee creamers
Tea Bags,1355,en:Tea bags,
Other Frozen Desserts,1347,en:Frozen desserts,
Mexican Dinner Mixes,1266,en:Mexican Dinner Mixes,en:Mexican Dinner Mixes
Non Alcoholic Beverages Ready to Drink,1254,en:Non-Alcoholic beverages,
Pasta Dinners,1237,en:Pasta dishes,
Crusts & Dough,1222,en:Pie dough,
"Bacon, Sausages & Ribs",1218,en:Prepared meats,
Cream,1198,en:Creams,
Biscuits/Cookies,1187,en:Biscuits,
Honey,1155,en:Honeys,
Chewing Gum & Mints,1136,en:Confectioneries,
Plant Based Milk,1129,en:Plant milks,
Chili & Stew,1122,en:Stews,
Canned Seafood,1105,"en:Canned foods, en:Seafoods",
Snacks,1099,en:Snacks,
Puddings & Custards,1040,en:Desserts,
Biscuits/Cookies (Shelf Stable),1030,en:Biscuits,
Flours & Corn Meal,1026,en:Cereals and their products,
"Entrees, Sides & Small Meals",969,en:Meals,
Confectionery Products,934,en:Confectioneries,
Frozen Patties and Burgers,934,en:Frozen meats,en:Meat patties
Bread & Muffin Mixes,922,en:Cooking helpers,
Deli Salads,921,en:Prepared salads,
Other Grains & Seeds,898,en:Seeds,
Frozen Bread & Dough,886,,
Canned Tuna,885,en:Canned tunas,
Canned Condensed Soup,882,en:Canned soups,
"Frozen Pancakes, Waffles, French Toast & Crepes",881,,
Processed Cereal Products,878,en:Cereals and their products,
Fish & Seafood,864,en:Seafood,
Prepared Soups,803,en:Soups,
Flavored Rice Dishes,799,en:Rice dishes,
All Noodles,791,en:Noodles,
Meat/Poultry/Other Animals Prepared/Processed,781,en:meats,
Cooked & Prepared,769,en:meals,
"Frozen Breakfast Sandwiches, Biscuits & Meals",767,en:meals,
Gravy Mix,746,en:dehydrated sauces,en:Gravy Mixes
"French Fries, Potatoes & Onion Rings",732,,
Eggs & Egg Substitutes,709,en:eggs,en:Egg-based products
Flavored Snack Crackers,709,en:crackers,
Canned Meat,708,en:Canned meats,
Baking Additives & Extracts,701,en:Cooking helpers,
Liquid Water Enhancer,677,,
Prepared Subs & Sandwiches,670,en:Sandwiches,
Baking/Cooking Mixes/Supplies,660,en:Cooking helpers,
"Gelatin, Gels, Pectins & Desserts",660,,
"Poultry, Chicken & Turkey",651,en:Poultries,
Dough Based Products / Meals,592,,en:Dough Based Products
Alcohol,586,en:Alcoholic beverages,
Lunch Snacks & Combinations,573,en:snacks,
Plant Based Water,573,en:Plant-based beverages,
Sport Drinks,561,en:Sweetened beverages,
Fish Unprepared/Unprocessed,546,en:Fishes,
Sauces/Spreads/Dips/Condiments,520,en:sauces,
Frozen Prepared Sides,517,en:Frozen foods,
Cereals Products - Ready to Eat (Shelf Stable),511,en:Cereals and their products,
Meat/Poultry/Other Animals Unprepared/Unprocessed,506,en:meats,
Vegetables Prepared/Processed,499,en:Prepared vegetables,
Shellfish Unprepared/Unprocessed,494,en:Seafood,en:Shellfish
Yogurt/Yogurt Substitutes,481,en:Yogurts,
Other Condiments,473,en:Condiments,
Pastry Shells & Fillings,447,en:Pastry helpers,
Pizza Mixes & Other Dry Dinners,429,,
"Frozen Bacon, Sausages & Ribs",417,en:frozen meats,
Cereal/Muesli Bars,409,en:Cereal bars,
Savoury Bakery Products,374,en:Breads,
Sweet Bakery Products,366,en:Pastries,
Prepared Wraps and Burittos,354,en:Sandwiches,
Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable),296,en:Snacks,
Stuffing,291,en:stuffing,
"Frozen Poultry, Chicken & Turkey",280,en:Frozen poultry,
Sushi,265,en:Sushis,
Coffee,259,en:Coffees,
Vegetable Based Products / Meals,249,en:Vegetables based foods,
"Frozen Sausages, Hotdogs & Brats",240,en:frozen meats,
Vegetable Based Products / Meals - Not Ready to Eat (Frozen),227,en:Frozen plant-based foods mixes,
Pies/Pastries - Sweet (Shelf Stable),216,en:Sweet pies,
Non Alcoholic Beverages Not Ready to Drink,209,en:beverages,
Pasta/Noodles,209,en:pastas,
Desserts/Dessert Sauces/Toppings,207,en:desserts,
Ready-Made Combination Meals,188,en:meals,
Vegetarian Frozen Meats,181,en:Meat analogues,en:Frozen meat analogues
Grain Based Products / Meals,177,,
Meat/Poultry/Other Animals Sausages Prepared/Processed,174,en:sausages,
"Breakfast Sandwiches, Biscuits & Meals",160,,
Specialty Formula Supplements,159,,
Coffee/Tea/Substitutes,158,,
Cakes - Sweet (Frozen),154,en:Frozen cakes and pastries,
Other Frozen Meats,152,en:Frozen meats,
Fruit - Prepared/Processed (Shelf Stable),150,,
"Pancakes, Waffles, French Toast & Crepes",131,,
Prepared/Preserved Foods Variety Packs,113,,
Baby/Infant Foods/Beverages,110,en:Baby foods,en:Baby foods ?
Herbs/Spices/Extracts,100,,
Meal Replacement Supplements,96,,
Grains/Flour,90,,
Cheese/Cheese Substitutes,89,en:cheeses,
Drinks Flavoured - Ready to Drink,88,,
Bread,78,en:Breads,
Weight Control,70,,
Nuts/Seeds Prepared/Processed,69,,
Butter/Butter Substitutes,68,,
Sandwiches/Filled Rolls/Wraps,65,en:Sandwiches,
Sweet Spreads,59,en:Sweet spreads,
Breakfast Drinks,53,en:Beverages,
Fruit Prepared/Processed,49,,
Health Care,41,en:Open Products Facts,
Confection & Snacks,38,,
Baking/Cooking Supplies (Shelf Stable),35,,
Ice Cream/Ice Novelties (Shelf Stable),30,,
Dairy/Egg Based Products / Meals,29,,
Oils Edible,28,,
Alcoholic Beverages,26,en:Alcoholic beverages,
Green Supplements,20,,
Nuts/Seeds - Prepared/Processed (Shelf Stable),20,,
Pies/Pastries/Pizzas/Quiches - Savoury (Frozen),19,,
Breakfast Foods,16,,
Cereals Products - Not Ready to Eat (Shelf Stable),16,,
Baking,15,,
Bread/Bakery Products Variety Packs,15,,
Popcorn (Shelf Stable),13,,
Baking Accessories,13,,
Digestive & Fiber Supplements,13,,
Milk/Milk Substitutes,13,,
Herbal Supplements,12,,
Sugars/Sugar Substitute Products,12,,
Miscellanious,10,,
Fruit/Nuts/Seeds Combination,9,,
Vegetables - Prepared/Processed (Shelf Stable),9,,
"Condiments, Oils & Dressing",8,,
"Fruits, Vegetables & Produce",8,,
Dough Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),8,,
Yogurt/Yogurt Substitutes (Perishable),7,,
Food/Beverage/Tobacco Variety Packs,6,,
Baking/Cooking Mixes (Shelf Stable),6,,
Home Decoration & Supplies,6,,
Oral Hygiene Products,6,,
21.99,6,,
Grains,5,,
Vitamins,5,,
Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,5,,
Baking/Cooking Mixes (Perishable),5,,
Fats Edible,5,,
Pickles/Relishes/Chutneys/Olives,4,,
Fish Prepared/Processed,4,,
Egg Based Products / Meals - Not Ready to Eat (Frozen),4,,
Kitchen Supplies,4,,
Antioxidant Supplements,3,,
18.18,3,,
Dressings/Dips (Shelf Stable),3,,
Children's Nutritional Supplements,3,,
Beef - Prepared/Processed,3,,
Pork Sausages - Prepared/Processed,3,,
Soups - Prepared (Shelf Stable),3,,
16.9,3,,
Grain Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),2,,
Pork - Prepared/Processed,2,en:Pork,
Meat Substitutes,2,,
Pasta/Noodles - Not Ready to Eat (Frozen),2,,
Dried Breads (Shelf Stable),2,,
Vegetables - Prepared/Processed (Frozen),2,,
3.66,2,,
Fatty Acid Supplements,2,,
Vegetables Unprepared/Unprocessed (Frozen),2,,
Childcare,2,,
Shellfish Prepared/Processed,2,,
Vinegars/Cooking Wines,2,,
Dough Based Products / Meals - Not Ready to Eat - Savoury (Frozen),1,,
Skin Care Preparations,1,en:Open Beauty Facts,
Children's Natural Remedies,1,,
Baking/Cooking Mixes/Supplies Variety Packs,1,,
Flour - Cereal/Pulse (Shelf Stable),1,,
Cakes - Sweet (Shelf Stable),1,,
Beer,1,en:Beers,
Amino Acid Supplements,1,,
Processed Cheese & Cheese Novelties,1,,
Sauces - Cooking (Shelf Stable),1,en:Sauces,
