Additive Class;INS number;Food Additive or Group
Emulsifier;427;Cassia gum
Emulsifier;1503;Castor oil
Emulsifier;472c;Citric and fatty acid esters of glycerol
Emulsifier;1400;Dextrins, roasted starch
Emulsifier;472e;Diacetyltartaric and fatty acid esters of glycerol
Emulsifier;450(vi);Dicalcium diphosphate
Emulsifier;480;Dioctyl sodium sulfosuccinate
Emulsifier;340(ii);Dipotassium hydrogen phosphate
Emulsifier;450(i);Disodium diphosphate
Emulsifier;339(ii);Disodium hydrogen phosphate
Emulsifier;1412;Distarch phosphate
Emulsifier;467;Ethyl hydroxyethyl cellulose
Emulsifier;445(iii);Glycerol ester of wood rosin
Emulsifier;412;Guar gum
Emulsifier;414;Gum arabic (Acacia gum)
Emulsifier;463;Hydroxypropyl cellulose
Emulsifier;1442;Hydroxypropyl distarch phosphate
Emulsifier;464;Hydroxypropyl methyl cellulose
Emulsifier;1440;Hydroxypropyl starch
Emulsifier;416;Karaya gum
Emulsifier;425;Konjac flour
Emulsifier;472b;Lactic and fatty acid esters of glycerol
Emulsifier;966;Lactitol
Emulsifier;322(i);Lecithin
Emulsifier;322(ii);Lecithin, partially hydrolysed
Emulsifier;470(iii);Magnesium stearate
Emulsifier;965(i);Maltitol
Emulsifier;965(ii);Maltitol syrup
Emulsifier;461;Methyl cellulose
Emulsifier;465;Methyl ethyl cellulose
Emulsifier;460(i);Microcrystalline cellulose (Cellulose gel)
Emulsifier;471;Mono- and di-glycerides of fatty acids
Emulsifier;1410;Monostarch phosphate
Emulsifier;423;Octenyl succinic acid (OSA) modified gum arabic
Emulsifier;1404;Oxidized starch
Emulsifier;440;Pectins
Emulsifier;451(ii);Pentapotassium triphosphate
Emulsifier;451(i);Pentasodium triphosphate
Emulsifier;1413;Phosphated distarch phosphate
Emulsifier;900a;Polydimethylsiloxane
Emulsifier;1521;Polyethylene glycol
Emulsifier;475;Polyglycerol esters of fatty acids
Emulsifier;476;Polyglycerol esters of interesterified ricinoleic acid
Emulsifier;432;Polyoxyethylene (20) sorbitan monolaurate
Emulsifier;433;Polyoxyethylene (20) sorbitan monooleate
Emulsifier;434;Polyoxyethylene (20) sorbitan monopalmitate
Emulsifier;435;Polyoxyethylene (20) sorbitan monostearate
Emulsifier;436;Polyoxyethylene (20) sorbitan tristearate
Emulsifier;431;Polyoxyethylene (40) stearate
Emulsifier;430;Polyoxyethylene (8) stearate
Emulsifier;1201;Polyvinylpyrrolidone
Emulsifier;402;Potassium alginate
Emulsifier;340(i);Potassium dihydrogen phosphate
Emulsifier;326;Potassium lactate
Emulsifier;452(ii);Potassium polyphosphate
Emulsifier;460(ii);Powdered cellulose
Emulsifier;407a;Processed eucheuma seaweed (PES)
Emulsifier;1520;Propylene glycol
Emulsifier;405;Propylene glycol alginate
Emulsifier;477;Propylene glycol esters of fatty acids
Emulsifier;999(ii);Quillaia extract type 2
Emulsifier;999(i);Quillaia extract type I
Emulsifier;470(i);Salts of myristic, palmitic and stearic acids with ammonia, calcium, potassium and sodium
Emulsifier;470(ii);Salts of oleic acid with calcium, potassium and sodium
Emulsifier;401;Sodium alginate
Emulsifier;541(i);Sodium aluminium phosphate, acidic
Emulsifier;541(ii);Sodium aluminium phosphate, basic
Emulsifier;452(iii);Sodium calcium polyphosphate
Emulsifier;466;Sodium carboxymethyl cellulose (Cellulose gum)
Emulsifier;331(i);Sodium dihydrogen citrate
Emulsifier;339(i);Sodium dihydrogen phosphate
Emulsifier;325;Sodium lactate
Emulsifier;452(i);Sodium polyphosphate
Emulsifier;481(i);Sodium stearoyl lactylate
Emulsifier;493;Sorbitan monolaurate
Emulsifier;494;Sorbitan monooleate
Emulsifier;495;Sorbitan monopalmitate
Emulsifier;491;Sorbitan monostearate
Emulsifier;492;Sorbitan tristearate
Emulsifier;1420;Starch acetate
Emulsifier;1450;Starch sodium octenyl succinate
Emulsifier;1405;Starches, enzyme treated
Emulsifier;484;Stearyl citrate
Emulsifier;474;Sucroglycerides
Emulsifier;473a;Sucrose Oligoesters, Type I and Type II
Emulsifier;444;Sucrose acetate isobutyrate
Emulsifier;473;Sucrose esters of fatty acids
Emulsifier;181;Tannic acid (Tannins)
Emulsifier;450(v);Tetrapotassium diphosphate
Emulsifier;450(iii);Tetrasodium diphosphate
Emulsifier;479;Thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids
Emulsifier;413;Tragacanth gum
Emulsifier;1518;Triacetin
Emulsifier;341(iii);Tricalcium phosphate
Emulsifier;1505;Triethyl citrate
Emulsifier;340(iii);Tripotassium phosphate
Emulsifier;331(iii);Trisodium citrate
Emulsifier;450(ii);Trisodium diphosphate
Emulsifier;339(iii);Trisodium phosphate
Emulsifier;415;Xanthan gum
Emulsifier;967;Xylitol
Emulsifying salt;452(v);Ammonium polyphosphate
Emulsifying salt;450(vii);Calcium dihydrogen diphosphate
Emulsifying salt;341(i);Calcium dihydrogen phosphate
Emulsifying salt;341(ii);Calcium hydrogen phosphate
Emulsifying salt;327;Calcium lactate
Emulsifying salt;452(iv);Calcium polyphosphate
Emulsifying salt;450(vi);Dicalcium diphosphate
Emulsifying salt;450(i);Disodium diphosphate
Emulsifying salt;339(ii);Disodium hydrogen phosphate
Emulsifying salt;343(i);Magnesium dihydrogen phosphate
Emulsifying salt;343(ii);Magnesium hydrogen phosphate
Emulsifying salt;451(ii);Pentapotassium triphosphate
Emulsifying salt;451(i);Pentasodium triphosphate
Emulsifying salt;332(i);Potassium dihydrogen citrate
Emulsifying salt;452(ii);Potassium polyphosphate
Emulsifying salt;337;Potassium sodium L(+)-tartrate
Emulsifying salt;335(ii);Sodium L(+)-tartrate
Emulsifying salt;541(i);Sodium aluminium phosphate, acidic
Emulsifying salt;541(ii);Sodium aluminium phosphate, basic
Emulsifying salt;500(i);Sodium carbonate
Emulsifying salt;331(i);Sodium dihydrogen citrate
Emulsifying salt;339(i);Sodium dihydrogen phosphate
Emulsifying salt;325;Sodium lactate
Emulsifying salt;452(i);Sodium polyphosphate
Emulsifying salt;450(v);Tetrapotassium diphosphate
Emulsifying salt;450(iii);Tetrasodium diphosphate
Emulsifying salt;333(iii);Tricalcium citrate
Emulsifying salt;341(iii);Tricalcium phosphate
Emulsifying salt;332(ii);Tripotassium citrate
Emulsifying salt;340(iii);Tripotassium phosphate
Emulsifying salt;331(iii);Trisodium citrate
Emulsifying salt;450(ii);Trisodium diphosphate
Firming agent;523;Aluminium ammonium sulfate
Firming agent;520;Aluminium sulfate
Firming agent;170(i);Calcium carbonate
Firming agent;509;Calcium chloride
Firming agent;341(i);Calcium dihydrogen phosphate
Firming agent;578;Calcium gluconate
Firming agent;341(ii);Calcium hydrogen phosphate
Firming agent;526;Calcium hydroxide
Firming agent;327;Calcium lactate
Firming agent;516;Calcium sulfate
Firming agent;424;Curdlan
Firming agent;450(vi);Dicalcium diphosphate
Firming agent;511;Magnesium chloride
Firming agent;580;Magnesium gluconate
Firming agent;518;Magnesium sulfate
Firming agent;508;Potassium chloride
Firming agent;466;Sodium carboxymethyl cellulose (Cellulose gum)
Firming agent;333(iii);Tricalcium citrate
Firming agent;341(iii);Tricalcium phosphate
Flavour enhancer;950;Acesulfame potassium
Flavour enhancer;969;Advantame
Flavour enhancer;951;Aspartame
Flavour enhancer;1101(iii);Bromelain
Flavour enhancer;629;Calcium 5'-guanylate
Flavour enhancer;633;Calcium 5'-inosinate
Flavour enhancer;634;Calcium 5'-ribonucleotides
Flavour enhancer;623;Calcium di-L-glutamate
Flavour enhancer;628;Dipotassium 5'-guanylate
Flavour enhancer;627;Disodium 5'-guanylate
Flavour enhancer;631;Disodium 5'-inosinate
Flavour enhancer;635;Disodium 5'-ribonucleotides
Flavour enhancer;968;Erythritol
Flavour enhancer;637;Ethyl maltol
Flavour enhancer;620;Glutamic acid, L(+)-
Flavour enhancer;626;Guanylic acid, 5'-
Flavour enhancer;630;Inosinic acid, 5'-
Flavour enhancer;1104;Lipases
Flavour enhancer;625;Magnesium di-L-glutamate
Flavour enhancer;580;Magnesium gluconate
Flavour enhancer;518;Magnesium sulfate
Flavour enhancer;636;Maltol
Flavour enhancer;624;Monoammonium L-glutamate
Flavour enhancer;622;Monopotassium L-glutamate
Flavour enhancer;621;Monosodium L-glutamate
Flavour enhancer;961;Neotame
Flavour enhancer;1101(ii);Papain
Flavour enhancer;632;Potassium 5’-inosinate
Flavour enhancer;508;Potassium chloride
Flavour enhancer;1101(i);Protease from Aspergillus orizae var.
Flavour enhancer;955;Sucralose (Trichlorogalactosucrose)
Flavour enhancer;334;L(+)-Tartaric acid
Flavour enhancer;957;Thaumatin
Flour treatment agent;510;Ammonium chloride
Flour treatment agent;342(i);Ammonium dihydrogen phosphate
Flour treatment agent;1100(i);alpha-Amylase from Aspergillus oryzae var.
Flour treatment agent;1100(iv);alpha-Amylase from Bacillus megaterium expressed in Bacillus subtilis
Flour treatment agent;1100(v);alpha-Amylase from Bacillus stearothermophilus expressed in Bacillus subtilis
Flour treatment agent;1100(ii);alpha-Amylase from Bacillus stearothermophilus
Flour treatment agent;1100(iii);alpha-Amylase from Bacillus subtilis
Flour treatment agent;300;Ascorbic acid, L-
Flour treatment agent;927a;Azodicarbonamide
Flour treatment agent;928;Benzoyl peroxide
Flour treatment agent;1101(iii);Bromelain
Flour treatment agent;170(i);Calcium carbonate
Flour treatment agent;341(i);Calcium dihydrogen phosphate
Flour treatment agent;341(ii);Calcium hydrogen phosphate
Flour treatment agent;327;Calcium lactate
Flour treatment agent;529;Calcium oxide
Flour treatment agent;482(i);Calcium stearoyl lactylate
Flour treatment agent;516;Calcium sulfate
Flour treatment agent;1100(vi);Carbohydrase from Bacillus licheniformis
Flour treatment agent;925;Chlorine
Flour treatment agent;472c;Citric and fatty acid esters of glycerol
Flour treatment agent;342(ii);Diammonium hydrogen phosphate
Flour treatment agent;329;Magnesium lactate, DL-
Flour treatment agent;224;Potassium metabisulfite
Flour treatment agent;1101(i);Protease from Aspergillus orizae var.
Flour treatment agent;223;Sodium metabisulfite
Flour treatment agent;481(i);Sodium stearoyl lactylate
Flour treatment agent;221;Sodium sulfite
Flour treatment agent;483;Stearyl tartrate
Flour treatment agent;220;Sulfur dioxide
Flour treatment agent;341(iii);Tricalcium phosphate
Foaming agent;400;Alginic acid
Foaming agent;403;Ammonium alginate
Foaming agent;404;Calcium alginate
Foaming agent;482(i);Calcium stearoyl lactylate
Foaming agent;290;Carbon dioxide
Foaming agent;463;Hydroxypropyl cellulose
Foaming agent;465;Methyl ethyl cellulose
Foaming agent;460(i);Microcrystalline cellulose (Cellulose gel)
Foaming agent;941;Nitrogen
Foaming agent;942;Nitrous oxide
Foaming agent;402;Potassium alginate
Foaming agent;405;Propylene glycol alginate
Foaming agent;999(ii);Quillaia extract type 2
Foaming agent;999(i);Quillaia extract type I
Foaming agent;401;Sodium alginate
Foaming agent;481(i);Sodium stearoyl lactylate
Foaming agent;473;Sucrose esters of fatty acids
Foaming agent;415;Xanthan gum
Gelling agent;406;Agar
Gelling agent;400;Alginic acid
Gelling agent;403;Ammonium alginate
Gelling agent;404;Calcium alginate
Gelling agent;407;Carrageenan
Gelling agent;427;Cassia gum
Gelling agent;424;Curdlan
Gelling agent;425;Konjac flour
Gelling agent;440;Pectins
Gelling agent;402;Potassium alginate
Gelling agent;407a;Processed eucheuma seaweed (PES)
Gelling agent;405;Propylene glycol alginate
Gelling agent;401;Sodium alginate
Gelling agent;466;Sodium carboxymethyl cellulose (Cellulose gum)
Gelling agent;417;Tara gum
Glazing agent;406;Agar
Glazing agent;400;Alginic acid
Glazing agent;403;Ammonium alginate
Glazing agent;901;Beeswax
Glazing agent;404;Calcium alginate
Glazing agent;902;Candelilla wax
Glazing agent;903;Carnauba wax
Glazing agent;407;Carrageenan
Glazing agent;1503;Castor oil
Glazing agent;462;Ethyl cellulose
Glazing agent;414;Gum arabic (Acacia gum)
Glazing agent;907;Hydrogenated poly-1-decenes
Glazing agent;463;Hydroxypropyl cellulose
Glazing agent;464;Hydroxypropyl methyl cellulose
Glazing agent;953;Isomalt (Hydrogenated isomaltulose)
Glazing agent;425;Konjac flour
Glazing agent;461;Methyl cellulose
Glazing agent;460(i);Microcrystalline cellulose (Cellulose gel)
Glazing agent;905c(i);Microcrystalline wax
Glazing agent;905d;Mineral oil, high viscosity
Glazing agent;905e;Mineral oil, medium viscosity
Glazing agent;440;Pectins
Glazing agent;1200;Polydextroses
Glazing agent;1521;Polyethylene glycol
Glazing agent;1203;Polyvinyl alcohol
Glazing agent;1209;Polyvinyl alcohol (PVA) –Polyethylene glycol (PEG) graft copolymer
Glazing agent;1201;Polyvinylpyrrolidone
Glazing agent;402;Potassium alginate
Glazing agent;460(ii);Powdered cellulose
Glazing agent;407a;Processed eucheuma seaweed (PES)
Glazing agent;1520;Propylene glycol
Glazing agent;1204;Pullulan
Glazing agent;904;Shellac, bleached
Glazing agent;401;Sodium alginate
Glazing agent;466;Sodium carboxymethyl cellulose (Cellulose gum)
Glazing agent;473a;Sucrose Oligoesters, Type I and Type II
Glazing agent;473;Sucrose esters of fatty acids
Glazing agent;553(iii);Talc
Humectant;406;Agar
Humectant;400;Alginic acid
Humectant;403;Ammonium alginate
Humectant;452(v);Ammonium polyphosphate
Humectant;542;Bone phosphate
Humectant;404;Calcium alginate
Humectant;450(vii);Calcium dihydrogen diphosphate
Humectant;341(i);Calcium dihydrogen phosphate
Humectant;341(ii);Calcium hydrogen phosphate
Humectant;452(iv);Calcium polyphosphate
Humectant;407;Carrageenan
Humectant;480;Dioctyl sodium sulfosuccinate
Humectant;340(ii);Dipotassium hydrogen phosphate
Humectant;450(i);Disodium diphosphate
Humectant;339(ii);Disodium hydrogen phosphate
Humectant;968;Erythritol
Humectant;422;Glycerol
Humectant;425;Konjac flour
Humectant;965(i);Maltitol
Humectant;965(ii);Maltitol syrup
Humectant;421;Mannitol
Humectant;451(ii);Pentapotassium triphosphate
Humectant;451(i);Pentasodium triphosphate
Humectant;1200;Polydextroses
Humectant;402;Potassium alginate
Humectant;340(i);Potassium dihydrogen phosphate
Humectant;326;Potassium lactate
Humectant;452(ii);Potassium polyphosphate
Humectant;460(ii);Powdered cellulose
Humectant;407a;Processed eucheuma seaweed (PES)
Humectant;1520;Propylene glycol
Humectant;350(ii);Sodium DL-malate
Humectant;401;Sodium alginate
Humectant;452(iii);Sodium calcium polyphosphate
Humectant;466;Sodium carboxymethyl cellulose (Cellulose gum)
