Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
District",Kraj / Region,"Kategória,
činnost /
Category","Pridružené
činnosti /
Associated
activities","Druhy /
Species","Poznámky /
Remarks"
3076,Ladislav Borko Mäsiarstvo u Borku,Prievidza,Prievidza,Trenčiansky,CP,"CS, MP, PP",DU,mp
7041,Ladislav Kočík,Studenec,Levoča,Prešovský,CP,"CS, PP, SH","B, P","mp, rafg,"
2031,LAPREMA Trnava s.r.o.,Siladice,Trnava,Trnavský,CP,CS,"B, P",
3097,LAPREMA Trnava s.r.o.,Trenčín,Trenčín,Trenčiansky,CP,"CP,CS,MP,
MSM, PP, RW","B, P","mp, rafg"
8072,"LESY SERVIS, s.r.o., Mäsovýroba Jëger",Lesné,Michalovce,Košický,CP,"CP, CS, PP","B, P",mp
6054L,"Limas s.r.o., Rozrábkareň, Hontianske Nemce","Hontianske
Nemce",Krupina,Banskobystrický,CP,CS,"B, O, P",
6056,Ľubomír Lapin a.s.,Krupina,Krupina,Banskobystrický,CP,"CS, PP, RW","B, O, P","mp, rafg"
6115,Ľubomír Václavík - PASMA,Hriňová,Detva,Banskobystrický,CP,"CS, PP, SH",DU,"mp, rafg"
215,"LUTEUS, s.r.o.",Budča,Zvolen,Banskobystrický,CP,"CP, CS, GHE",O,
6102,M - NOVOMAX - D s.r.o.,Bušince,Veľký Krtíš,Banskobystrický,CP,"CS, PP, SH","B, C, O, P",
4064,"M - TEAM, s.r.o.",Jacovce,Topoľčany,Nitriansky,CP,"CS, PP",DU,"mp, rafg"
20310,"Majster mäsiar, s.r.o.",Hlohovec,Hlohovec,Trnavský,CP,"CS, PP",DU,"mp, rafg"
4016L,"Mangalica farma, s.r.o., so sídlom Pavlov Dvor",Hurbanovo,Komárno,Nitriansky,CP,"CS, PP, SH","B, C, O, P","mp, rafg"
2061,Mária Vrablicová SANBIT,Holíč,Skalica,Trnavský,CP,"CP, CS, SH",DU,
3094,Marián Janík,"Trenčianske
Teplice",Trenčín,Trenčiansky,CP,"CS, PP","A, DU","mp, rafg"
4071,MATEJOV s.r.o.,Zlaté Moravce,"Zlaté
Moravce",Nitriansky,CP,"CP, PP, SH",DU,"mp,  rafg,
st"
2052,"MÄS-COM, a.s., areál RD Častkov",Častkov,Senica,Trnavský,CP,"CS, SH",DU,
8091L,Mäsiarstvo JP,Sobrance,Sobrance,Košický,CP,"CS, SH","B, P",
5093,Mäsiarstvo PM,"Turčianske
Teplice","Turčianské
Teplice",Žilinský,CP,"CP,  CS,  MM,
MP, PP","B, O, P","mp, rafg"
7064,Mäso - Tatry s. r. o.,"Spišská
Teplica",Poprad,Prešovský,CP,"CS,  MM,  MP,
PP","B, P","mp, rafg"
7074,Mäso - údeniny Pavol Pagurko,Prešov,Prešov,Prešovský,CP,CS,DU,
50510,Mäso Liptov s.r.o.,"Liptovský
Hrádok","Liptovský
Mikuláš",Žilinský,CP,"CS, PP, RW",DU,mp
5053,"Mäso Lúžna, s.r.o.","Liptovská
Lúžna",Ružomberok,Žilinský,CP,"CS, PP","B, P","mp, rafg"
4038,"Mäso Melek, s.r.o., Melek 231, 952 01 Melek",Melek,Nitra,Nitriansky,CP,"CS, PP, SH","B, C, O, P, S","mp,  rafg,
st"
5062,"MÄSO PARÍŽEK, s.r.o.",Martin,Martin,Žilinský,CP,PP,DU,"mp, rafg"
8071,"Mäso ZEMPLÍN, a.s.",Michalovce,Michalovce,Košický,CP,"CS, PP, SH",DU,"mp, rafg"
2013,"MÄSOCENTRUM, s.r.o.",Dolný Štál,"Dunajská
Streda",Trnavský,CP,"PP, SH",DU,"mp, rafg"
615,"Mäsokombinát NORD SVIT, s. r. o.",Svit,Poprad,Prešovský,CP,"CS,  MM,  MP,
PP, RW","B, O, P",mp
30712,MäsoPonitrie SK s. r. o.,"Lehotapod
Vtáčnikom",Prievidza,Trenčiansky,CP,"CS, PP",DU,"mp, rafg"
20512,Mäsovinky s.r.o.,Jablonica,Senica,Trnavský,CP,"CS, MM, PP",DU,"mp, rafg"
5065,Mäsovýroba Anton Kozák,Sučany,Martin,Žilinský,CP,"CP,  CS,  MM,
MP, PP","B, O, P","mp, rafg"
51115,Mäsovýroba Bos Taurus,Žilina,Žilina,Žilinský,CP,"CP,  CS,  MM,
MP, PP","B, C, O, P","mp, rafg"
7061,"MÄSOVÝROBA DONČÁK, s. r. o.",Kravany,Poprad,Prešovský,CP,"CS, PP","B, P","mp, rafg"
66,Mäsovýroba Kopčany s. r. o.,Kopčany,Skalica,Trnavský,CP,"CP,CS,MP,
PP, RW","B, P","mp, rafg"
6012,Mäsovýroba Medzibrod,Medzibrod,"Banská
Bystrica",Banskobystrický,CP,"CP, CS, PP","B, O, P","mp, rafg"
22,Mäsovýroba PATA s.r.o.,Pata,Galanta,Trnavský,CP,CS,"B, P",
5064,Mäsovýroba s.r.o.,Sklabiňa,Martin,Žilinský,CP,"CS, PP","B, P","mp, rafg"
7063,MÄSOVÝROBA ŠTEFAN KNIŽKA s.r.o.,Hranovnica,Poprad,Prešovský,CP,"CS,MP,PP,
RW",DU,"mp,
rafg ,"
4059,"Mäsovýroba VEPI, s. r. o.",Šaľa,Šaľa,Nitriansky,CP,"CS, PP, RW",DU,"mp, rafg"
2043,"Mäsovýroba Vrbové, s.r.o.",Vrbové,Piešťany,Trnavský,CP,"CS, PP","B, P","mp, rafg"
51114,Mäsovýrobňa,Višňové,Žilina,Žilinský,CP,"CS, PP",DU,mp
1051,Michal Raninec - MIRAN,Bratislava,Bratislava 5,Bratislavský,CP,"CP, CS, PP",DU,"mp, rafg"
4053,"MIK, s.r.o.",Šaľa,Šaľa,Nitriansky,CP,"CP, CS, PP",DU,"mp, rafg"
5055,"MIKONMIKULÁŠ, s. r. o.","Liptovský
Mikuláš","Liptovský
Mikuláš",Žilinský,CP,"CS, PP",DU,"mp, rafg"
6081,Mikuláš Čupka - M.K.M. mäso REVÚCA,Revúca,Revúca,Banskobystrický,CP,PP,DU,mp
2023,"MINIMETRO, s.r.o.",Malá Mača,Galanta,Trnavský,CP,"CS, SH",B,
4041,MIRAN s.r.o.,Šurany,Nové Zámky,Nitriansky,CP,"CS, PP, SH",P,st
7032,"MIROND, spol. s r.o. Kežmarok",Kežmarok,Kežmarok,Prešovský,CP,"CP,CS,PP,
SH","B, P","mp, rafg"
5076,"MiroslavKubicaMÄSO-UDENINY,Bitúnok,
mäsová výroba",Zákamenné,Námestovo,Žilinský,CP,"CS, PP, SH","B, O","mp,  rafg,"
3078,Miroslav Vrban - TEMPO,"Nitrianske
Rudno",Prievidza,Trenčiansky,CP,"CS, PP",DU,"mp, rafg"
1020,MUDr.Anton Orbán,Bratislava,Bratislava 2,Bratislavský,CP,"CS, GHE, MP,
PP, RW",DU,"mp, rafg"
4069,"MV MARTON, s.r.o.",Továrniky,Topoľčany,Nitriansky,CP,"CP,CS,MP,
PP",DU,"mp, rafg"
4033L,"Národnépoľnohospodárskeapotravinárske
centrum",Lužianky,Nitra,Nitriansky,CP,"CS, SH","B, C, O, P",
20213L,NH FARMA s.r.o.,Čierny Brod,Galanta,Trnavský,CP,"CS, SH",P,
7070,"OB mäsovýroba, s.r.o.",Lemešany,Prešov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
70714L,"Ovčia farma Proč, s.r.o.-Bitúnok a rozrábka dvor
Podhorany",Podhorany,Prešov,Prešovský,CP,SH,"B, C, O, P",
4015L,P.K.S. AGRO FARM s.r.o.,Búč,Komárno,Nitriansky,CP,"CS, SH",P,
1083,Pavol Šišolák,Gajary,Malacky,Bratislavský,CP,"PP, SH","B, P","mp, rafg"
3013,"PD „BREZINA“ PRAVOTICE, družstvo",Pravotice,"Bánovce
nad
Bebravou",Trenčiansky,CP,"CP, CS,  GHE,
PP","B, P","mp, rafg"
8067L,"PD  Čečejovce,  družstvo,  Bitúnok  na  zabíjanie
domácich kopytníkov s malým objemom výroby",Čečejovce,"Košice-
okolie",Košický,CP,"CS, SH",B,
8061L,"PD Klatov, a.s.",Nižný Klátov,"Košice-
okolie",Košický,CP,"CS, SH","B, O",
3054,PEERFECTLY s. r. o.,Partizánske,Partizánske,Trenčiansky,CP,"CS, SH","B, P",
4044,"Peter Bernáth - mäso, údeniny",Nová Vieska,Nové Zámky,Nitriansky,CP,"CS, PP",DU,
5102,Peter Jendrášek,Trstená,Tvrdošín,Žilinský,CP,"CS, MP, PP",DU,"mp, rafg"
2027,Peter Moťovský - Mäso MO-PO,Topoľnica,Galanta,Trnavský,CP,"CS, PP",DU,"mp, rafg"
5063,"Peter  Paleček Predaj  mäsa,mäsových výrobkov
a potravín",Martin,Martin,Žilinský,CP,CS,DU,
2042,Peter Varga - P + E,Piešťany,Piešťany,Trnavský,CP,"CS, PP",DU,"mp, rafg"
2078,Peter Vaško,Brestovany,Trnava,Trnavský,CP,CS,"B, P",
7102,"POĽANA-podielníckedružstvoJarabina,
Mäsiarstvo Jarabina",Jarabina,"Stará
Ľubovňa",Prešovský,CP,"PP, SH",DU,"mp,  rafg,
st"
8102,"Poľnohospodárske družstvo ""Čingov"" Smižany","Spišské
Tomášovce","Spišská
Nová Ves",Košický,CP,"CS, PP, SH",DU,"mp,  rafg,
st"
5061,"Poľnohospodárske  družstvo  ""SNP""  so  sídlom v
Sklabini, okres Martin",Sklabiňa,Martin,Žilinský,CP,PP,DU,"mp, rafg"
3044L,"Poľnohospodárske družstvo Bošáca, Bitúnok",Bošáca,"Nové  Mesto
n.Váhom",Trenčiansky,CP,"CS, SH","B, P",
70715,"Poľnohospodárske družstvo Branisko v Širokom,
Mäsovýroba Hrabkov",Hrabkov,Prešov,Prešovský,CP,"CS, PP","B, C, O, P","mp, rafg"
7077,"Poľnohospodárske družstvo Branisko v Širokom,
Mäsovýroba Hrabkov",Hrabkov,Prešov,Prešovský,CP,"CS, SH","B, C, O, P",
3024L,Poľnohospodárske družstvo Dubnica nad Váhom,"Dubnicanad
Váhom",Ilava,Trenčiansky,CP,CS,"B, P",
2035,Poľnohospodárske družstvo Hlohovec,Hlohovec,Hlohovec,Trnavský,CP,"CS, PP, SH",DU,"mp, rafg"
2041,Poľnohospodárske družstvo Chtelnica,Chtelnica,Piešťany,Trnavský,CP,"CS, PP, SH",DU,"mp, rafg"
5052,"Poľnohospodárske  družstvo  Lisková  -  Sliače,
družstvo",Lisková,Ružomberok,Žilinský,CP,"CS, PP, SH",DU,"mp, rafg"
7067L,Poľnohospodárske družstvo Mlynica,Mlynica,Poprad,Prešovský,CP,"CS, SH","B, P",
4073L,"Poľnohospodárske  družstvo  Neverice,  bitúnok
Velčice",Velčice,"Zlaté
Moravce",Nitriansky,CP,"CS, SH","B, O, P",
7066L,"Poľnohospodárskedružstvopodielnikovv
Spišskej Teplici","Spišská
Teplica",Poprad,Prešovský,CP,"CS, SH","B, P",
5101,Poľnohospodárske družstvo Trsteník,Trstená,Tvrdošín,Žilinský,CP,"CS, SH","B, O, P",
7016L,"Poľnohospodárskepodielnickédružstvo
Bardejov, Bitúnok a rozrábka Gaboltov",Gaboltov,Bardejov,Prešovský,CP,"CS, SH","B, P",
7068L,"Poľnohospodárskepodielnickédružstvo
Liptovská Teplička","Liptovská
Teplička",Poprad,Prešovský,CP,"CS, SH","B, O",
8062L,"Poľnohospodárske  výrobno-obchodné  družstvo
Mokrance",Mokrance,"Košice-
okolie",Košický,CP,"CS, SH","B, P",
61113,POZANA MEAT s.r.o.,Budča,Zvolen,Banskobystrický,CP,"CP, CS, RW","B, O, P",
6118L,"PRI TROCH KAMEŇOCH, družstvo rozrábkareň",Dubové,Zvolen,Banskobystrický,CP,CS,B,
3081,Púchovský mäsový priemysel a.s.Púchov,Púchov,Púchov,Trenčiansky,CP,"CP,CS,MP,
PP","B, C, O, P, S","mp, rafg"
30717,"Putifars.r.o.,Spracovaniezverinyareál
AGROSPOL Diviaky nad Nitricou","Diviakynad
Nitricou",Prievidza,Trenčiansky,CP,"CP, CS,  GHE,
MP, PP","B, P",mp
4034L,"REFKA, s.r.o., bitúnok Mojmírovce",Mojmírovce,Nitra,Nitriansky,CP,"CS, SH","B, P",
8065L,"RenéPavlík,SHR,Bitúnoknazabíjanie
domácich kopytníkov s malým objemom výroby",Nováčany,"Košice-
okolie",Košický,CP,"CS, SH","B, O",
2071,Róbert Gašparík - mäsovýroba s.r.o.,Trnava,Trnava,Trnavský,CP,"CS, PP","A, B, C, O, P,
S",mp
3010,Róbert Šiko - Mäso-údeniny,"Bánovcenad
Bebravou","Bánovce
nad
Bebravou",Trenčiansky,CP,"CP, CS, PP",DU,"mp, rafg"
4072L,Roľnícke družstvo Tekovské Nemce,"Tekovské
Nemce","Zlaté
Moravce",Nitriansky,CP,"CP, CS,  GHE,
SH",B,
7132L,"Roľnícko - obchodné družstvo Ďurďoš, Bitúnok a
rozrábka - Hospodársky dvor Vlača",Vlača,"Vranovnad
Topľou",Prešovský,CP,"CS, SH","B, P",
8116,"Rozrábka a výroba mäsových výrobkov, FBR s. r.
o.","Kráľovský
Chlmec",Trebišov,Košický,CP,"CS, MP, PP",P,"mp, rafg"
40611,"ROZRÁBKA MÄSA A EXPEDÍCIA DELENÉHO
MÄSA","Horné
Chlebany",Topoľčany,Nitriansky,CP,CS,DU,
7134,Rozrábkareň s malým objemom výroby,"Vranovnad
Topľou","Vranovnad
Topľou",Prešovský,CP,"CS, MM",B,
7071,"Ryba Košice s.r.o., rozrábka Lemešany",Lemešany,Prešov,Prešovský,CP,"CS, MM, MP",DU,
7101,SEPP trade. s.r.o.,Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,CP,"CP,CS,PP,
RW, SH","B, C, O, P","mp,  rafg,
st"
7133L,"SHR Pavol Paluba, Ovčí hospodársky dvor Nová
Kelča",Nová Kelča,"Vranovnad
Topľou",Prešovský,CP,CS,"B, O, P",
5054,"SilviaJánošíková-RUDOLFJÁNOŠÍK
MÄSOPRODUKT",Ružomberok,Ružomberok,Žilinský,CP,"CS, PP",DU,"mp, rafg"
5087,Simona Andreidesová - FARMA FÉNIX,Ružomberok,Ružomberok,Žilinský,CP,"CS, PP","B, P","mp, rafg"
5114,"SOBČIAK, spol. s r. o.","Žilina-
Závodie",Žilina,Žilinský,CP,"CS, PP",DU,"mp, rafg"
7013,SOROKA s. r. o.,"Beloveža-
Hažlín",Bardejov,Prešovský,CP,CS,"B, P",
6133L,"SPOL AGRO POČÚVADLO, s.r.o.",Počúvadlo,"Banská
Štiavnica",Banskobystrický,CP,"CS, SH",B,
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,CP,"CP, CS,  GHE,
MM, MP, PP","B, C, O, P","mp, rafg"
8101,"Stanica výkrmnosti a jatočnej hodnoty ošípaných,
s.r.o.",Spišské Vlachy,"Spišská
Nová Ves",Košický,CP,"CS, PP, SH",DU,"mp, rafg"
8021L,Supermarket Cassovar s. r. o.,Košice,Košice,Košický,CP,,DU,
3031,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,CP,"CS, PP, SH","B, P, S","rafg,  bl,
st"
6043L,"Svojpomocné družstvo jednotlivo hospodáriacich
roľníkovvHriňovej,bitúnok,rozrábkareň,
Hriňová - Zánemecká","Hriňová-
Zánemecká",Detva,Banskobystrický,CP,"CS, SH",B,
7072,"ŠAGÁT, spol.s r.o.",Malý Šariš,Prešov,Prešovský,CP,"CS, PP",DU,"mp, rafg"
8114L,"Školskýpoľnohospodárskypodnikn.o.
Zemplínska Teplica, Bitúnok UVLF","Zemplínska
Teplica",Trebišov,Košický,CP,"CS, SH","B, C, O, P",
618,"TAURIS, a.s.","Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,CP,"CS, PP, RW",DU,mp
8064L,"TERRAMARK,  s.  r.  o.,  Bitúnok  na  zabíjanie
domácich kopytníkov s malým objemom výroby",Buzica,"Košice-
okolie",Košický,CP,"CS, SH",B,
4043,Tibor Kovács - K & K mäso,Nová Vieska,Nové Zámky,Nitriansky,CP,"CS, PP",DU,"mp, rafg"
5025L,"TIMEA, s.r.o.",Olešná,Čadca,Žilinský,CP,SH,"B, O, P",
616,"V.M.MARLEX, s.r.o.","Kysucké  Nové
Mesto","Kysucké
Nové Mesto",Žilinský,CP,"CP,CS,MP,
PP, RW",DU,"mp, rafg"
30718,"Viawork.eu, s.r.o.","Diviacka  Nová
Ves",Prievidza,Trenčiansky,CP,"CP,CS,MP,
PP, RW",DU,"mp,  rafg,
st"
68,VIJOFEL plus s. r. o.,Bartošovce,Bardejov,Prešovský,CP,"CS, MP, PP","B, O, P",mp
1080,"VÍNO MATYŠÁK, s.r.o.",Pezinok,Pezinok,Bratislavský,CP,"CP, CS, PP","B, P","mp, rafg"
3077,"VJARSPOL, s.r.o.","Nitrianske
Pravno",Prievidza,Trenčiansky,CP,"PP, SH",DU,"mp, rafg"
6021,Vladimír Stračina MÄSIAR - ÚDENÁR,Banská Belá,"Banská
Štiavnica",Banskobystrický,CP,"CP, CS,  GHE,
PP",DU,"mp, rafg"
8023,"YOPI MARKET, s.r.o.",Košice,Košice,Košický,CP,"CS, RW","B, O, P",
4017L,Zalán Csizmadia - ZALIWAY,Tôň,Komárno,Nitriansky,CP,"CS, SH","C, O, P",
2062,ZELENINÁRI SK s.r.o.,Skalica,Skalica,Trnavský,CP,"CP,  CS,  MM,
RW",DU,
7062,Zuzana Debreová,Svit,Poprad,Prešovský,CP,"CS, SH",B,
8068L,"AGRO - MOLD akciová spoločnosť, Bitúnok na
zabíjaniedomácichkopytníkovsmalým
objemom výroby","Debraď,časť
Hatiny","Košice-
okolie",Košický,GHE,"CP, CS, SH",wU,
3025,"AGROFARMA  spol.  s  r.o.,  018  56  Červený
Kameň, Rozrábanie zveriny","Červený
Kameň",Ilava,Trenčiansky,GHE,"CP, CS",wU,
6064,"AGRO-IPEĽ, spol. s r.o.",Holiša,Lučenec,Banskobystrický,GHE,"CP,CS,PP,
SH",wU,
6044,"AGROSEV, spol. s r.o.",Pstruša,Detva,Banskobystrický,GHE,"CP, CS",wU,
6093L,"AGROTRADE, spol. s r.o.",Veľký Blh,"Rimavská
Sobota",Banskobystrický,GHE,SH,"fG, wU",
5084,"Autocar  Ťažné  zariadenie  s.  r.  o.,  Rozrábka  a
výroba mäsových výrobkov u Ňaňa",Ivachnová,Ružomberok,Žilinský,GHE,"CP, CS, PP","wA,  wG,  wL,
wU","mp, rafg"
3066,"Biely potok, a. s.",Tŕstie,"Považská
Bystrica",Trenčiansky,GHE,"CP,CS,MP,
PP",wU,mp
7105L,Bitúnok a rozrábkareň farma Lomnička,Podolínec,"Stará
Ľubovňa",Prešovský,GHE,"CP, CS, SH",G,
6103L,"Dobrá úroda, s.r.o., Bitúnok",Dačov Lom,Veľký Krtíš,Banskobystrický,GHE,"CP, CS, SH",wU,
2056,Elesko Forest s.r.o.,Plavecký Peter,Senica,Trnavský,GHE,"CP, CS","wG, wL, wU",
4035L,"HSH-V spol. s r. o., farma Dubina",Veľké Zálužie,Nitra,Nitriansky,GHE,"CP, CS, SH","fG, wU",
40510,ITALZVER s.r.o.,Šaľa,Šaľa,Nitriansky,GHE,"CP, CS","wG, wU",
212,"Lesy Slovenskej republiky, štátny podnik","Šajdíkove
Humence",Senica,Trnavský,GHE,,wU,
7-13,"LESY Slovenskej republiky, štátny podnik",Topoľčianky,"Zlaté
Moravce",Nitriansky,GHE,"CP, CS",wU,
215,"LUTEUS, s.r.o.",Budča,Zvolen,Banskobystrický,GHE,"CP, CS",wU,
1020,MUDr.Anton Orbán,Bratislava,Bratislava 2,Bratislavský,GHE,"CP,CS,MP,
PP, RW","wA,  wG,  wL,
wU","mp, rafg"
3013,"PD „BREZINA“ PRAVOTICE, družstvo",Pravotice,"Bánovce
nad
Bebravou",Trenčiansky,GHE,"CP, CS, PP",wU,"mp, rafg"
30717,"Putifars.r.o.,Spracovaniezverinyareál
AGROSPOL Diviaky nad Nitricou","Diviakynad
Nitricou",Prievidza,Trenčiansky,GHE,"CP,CS,MP,
PP",wU,mp
4072L,Roľnícke družstvo Tekovské Nemce,"Tekovské
Nemce","Zlaté
Moravce",Nitriansky,GHE,"CP, CS, SH",wU,
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,GHE,"CP,  CS,  MM,
MP, PP","fG,  wA,  wG,
wU","mp, rafg"
8068L,"AGRO -  MOLD  akciová  spoločnosť,  Bitúnok  na
zabíjanie domácich kopytníkov s malým objemom
výroby","Debraď,časť
Hatiny","Košice-
okolie",Košický,CP,"CP,  CS,  GHE,
SH",wU,
8068,"AGRO-MOLD,akciováspoločnosť,
Minimäsovýroba Debraď",Debraď,"Košice-
okolie",Košický,CP,"CP, CS",wU,
3025,"AGROFARMAspol.sr.o.,01856Červený
Kameň, Rozrábanie zveriny","Červený
Kameň",Ilava,Trenčiansky,CP,"CS, GHE",wU,
6064,"AGRO-IPEĽ, spol. s r.o.",Holiša,Lučenec,Banskobystrický,CP,"CP,CS,PP,
SH",wU,
6044,"AGROSEV, spol. s r.o.",Pstruša,Detva,Banskobystrický,CP,"CS, GHE",wU,
6092,"AGROTRADE, spol. s r.o.",Veľký Blh,"Rimavská
Sobota",Banskobystrický,CP,"CP,CS,MP,
PP",wU,mp
3066,"Biely potok, a. s.",Tŕstie,"Považská
Bystrica",Trenčiansky,CP,"CP,  CS,  GHE,
MP, PP",wU,mp
7105L,Bitúnok a rozrábkareň farma Lomnička,Podolínec,"Stará
Ľubovňa",Prešovský,CP,"CP, CS, SH",G,
6103L,"Dobrá úroda, s.r.o., Bitúnok",Dačov Lom,Veľký Krtíš,Banskobystrický,CP,"CP,  CS,  GHE,
SH",wU,
2056,Elesko Forest s.r.o.,Plavecký Peter,Senica,Trnavský,CP,"CS, GHE","wG, wL, wU",
5024,"hamsal, s.r.o.",Čadca,Čadca,Žilinský,CP,"CP, CS, PP","A, DU, wU","mp, rafg"
4035L,"HSH-V spol. s r. o., farma Dubina",Veľké Zálužie,Nitra,Nitriansky,CP,"CP, CS, SH",wU,
40510,ITALZVER s.r.o.,Šaľa,Šaľa,Nitriansky,CP,"CP, CS, GHE","wG, wU",
3045,Jumäs Trade s. r. o.,"NovéMesto
nad Váhom","Nové
Mesto
n.Váhom",Trenčiansky,CP,"CP,CS,MP,
PP, RW","wL, wU","mp, rafg"
8072,"LESY SERVIS, s.r.o., Mäsovýroba Jëger",Lesné,Michalovce,Košický,CP,"CP, CS, PP",wU,mp
7-13,"LESY Slovenskej republiky, štátny podnik",Topoľčianky,"Zlaté
Moravce",Nitriansky,CP,"CS, GHE",wU,
215,"LUTEUS, s.r.o.",Budča,Zvolen,Banskobystrický,CP,"CP, CS, GHE",wU,
66,Mäsovýroba Kopčany s. r. o.,Kopčany,Skalica,Trnavský,CP,"CP,CS,MP,
PP, RW","wA,  wG,  wL,
wU",",mp,
rafg"
6012,Mäsovýroba Medzibrod,Medzibrod,"Banská
Bystrica",Banskobystrický,CP,"CP, CS, PP",wU,"mp, rafg"
1020,MUDr.Anton Orbán,Bratislava,"Bratislava
2",Bratislavský,CP,"CS, GHE,  MP,
PP, RW","wA,  wG,  wL,
wU","mp, rafg"
3013,"PD „BREZINA“ PRAVOTICE, družstvo",Pravotice,"Bánovce
nad
Bebravou",Trenčiansky,CP,"CP,  CS,  GHE,
PP",wU,"mp, rafg"
61113,POZANA MEAT s.r.o.,Budča,Zvolen,Banskobystrický,CP,"CP, CS, RW",wU,
30717,"Putifars.r.o.,Spracovaniezverinyareál
AGROSPOL Diviaky nad Nitricou","Diviakynad
Nitricou",Prievidza,Trenčiansky,CP,"CP,  CS,  GHE,
MP, PP",wU,mp
4072L,Roľnícke družstvo Tekovské Nemce,"Tekovské
Nemce","Zlaté
Moravce",Nitriansky,CP,"CP,  CS,  GHE,
SH",wU,
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,CP,"CP,  CS,  GHE,
MM, MP, PP","wA, wG, wU","mp, rafg"
1080,"VÍNO MATYŠÁK, s.r.o.",Pezinok,Pezinok,Bratislavský,CP,"CP, CS, PP",wU,"mp, rafg"
4054,"Cortina Slovakia, s.r.o.",Šaľa,Šaľa,Nitriansky,PP,RW,"B, P",st
624,DANUBIUS spol. s r.o.,Komárno,Komárno,Nitriansky,PP,"CP,CS,PP,
RW, SH","B, P","mp, rafg, st"
3053,"F.N.B., s.r.o.",Partizánske,Partizánske,Trenčiansky,PP,CS,P,st
8010,Ing. Stanislav Marcinek,Gelnica,Gelnica,Košický,PP,"CP,  CS,  MM,
PP, SH","B, P","st, mp, rafg"
26,ISTERMEAT a.s.,"Dunajská
Streda","Dunajská
Streda",Trnavský,PP,"CP,  CS,  MM,
MP, PP, SH","B, P","rafg, st, mp"
4052,"JA-PaG, s.r.o.",Šaľa,Šaľa,Nitriansky,PP,"CS, RW","B, O, P",st
40512,JOLI s. r. o.,Diakovce,Šaľa,Nitriansky,PP,"CS, RW",DU,st
2046,"MADRA, s.r.o.",Kočín,Piešťany,Trnavský,PP,,DU,st
4071,MATEJOV s.r.o.,Zlaté Moravce,"Zlaté
Moravce",Nitriansky,PP,"CP, PP, SH",P,"mp, rafg, st"
4038,"Mäso Melek, s.r.o., Melek 231, 952 01 Melek",Melek,Nitra,Nitriansky,PP,"CP,CS,PP,
SH",P,"mp, rafg, st"
8,Mäspoma spol s.r.o.,Prešov,Prešov,Prešovský,PP,,ALL,st
6090,Mäspoma spol.s r.o.,"Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,PP,,P,st
4041,MIRAN s.r.o.,Šurany,"Nové
Zámky",Nitriansky,PP,"CP, CS, SH",P,st
20101,omran s.r.o.,Lehnice,"Dunajská
Streda",Trnavský,PP,RW,,st
7102,"POĽANA-podielníckedružstvoJarabina,
Mäsiarstvo Jarabina",Jarabina,"Stará
Ľubovňa",Prešovský,PP,"CP, PP, SH","B, O, P","mp, rafg, st"
8102,"Poľnohospodárske družstvo ""Čingov"" Smižany","Spišské
Tomášovce","Spišská
Nová Ves",Košický,PP,"CP,CS,PP,
SH","B, P","mp, rafg, st"
2032,"QUAMREX s. r. o., bitúnok Hlohovec",Hlohovec,Hlohovec,Trnavský,PP,"CS, SH","B, P",st
7101,SEPP trade. s.r.o.,Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,PP,"CP,CS,PP,
RW, SH",P,"mp, rafg, st"
10,SLOV-ITAL spol. s r.o.,Cabaj-Čápor,Nitra,Nitriansky,PP,,"B, P","Pozastavená
st"
3031,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,PP,"CP,CS,PP,
SH","B, P","bl, rafg, st"
11,T.S.K. spol. s r.o.,Osľany,Prievidza,Trenčiansky,PP,,P,st
4046,„Eko” bitúnok a rozrábkareň,Salka,Nové Zámky,Nitriansky,PP,"CP,CS,PP,
SH",P,"mp, rafg"
8068,"AGRO-MOLD,akciováspoločnosť,
Minimäsovýroba Debraď",Debraď,"Košice-
okolie",Košický,PP,"CS, PP, RW",P,"mp, rafg"
2044,"AGROBAK, spol. s.r.o.",Drahovce,Piešťany,Trnavský,PP,"CP,CS,PP,
SH",P,"mp, rafg"
7107,"AGRO-HNIEZDNE,s.r.o.,prevádzkareň
Hospodársky dvor Forbasy",Forbasy,"Stará
Ľubovňa",Prešovský,PP,"CP,CS,PP,
SH",P,"mp, rafg"
6064,"AGRO-IPEĽ, spol. s r.o.",Holiša,Lučenec,Banskobystrický,PP,"CP, CS,  GHE,
PP, SH",P,"mp, rafg"
2022,AH&MH s.r.o.,Sládkovičovo,Galanta,Trnavský,PP,"CP, CS, PP",P,"mp, rafg"
7020,"ALTHAN, s.r.o.",Humenné,Humenné,Prešovský,PP,"CP, CS, PP",P,"mp, rafg"
