code;name;address
CY 0134 EK;GALAKTOKOMIKA PROIONTA LONDOU;Kalon Technon 40, 4151 Kato Polemidia - Lemesos
CY 0135 EK;IPH IACOVOS PHOTIADES FOODSTUFF SUPPLIERS LTD;P.O.Box 25300 - 1308 Lefkosia
CY 0136 EK;"A. & F. NICOLAOU LTD ""MARIANNA""";Elefherias 16, 2675 Dhenia - Lefkosia
CY 0137 EK;ALFA - MEGA(Engomi);3, Nicou Kranidioti, Engomi - Lefkosia
CY 0138 EK;BD BIONATURAL DAIRY LTD;Athienou Industrial Area, 7600 Athienou - Larnaca
CY 0140 EK;"F.HADJIGEORGIOU DAIRIES LTD ""AGROTIKON""";Kalithion 54, Dherynia Industrial Area, P.O.Box 34145, 5400 Paralimni - Ammochostos
CY 0141 EK;"SAVVAS DEMETRIOU ""ALINERI"" LTD";Simou 8812 - Paphos
CY 0142 EK;"""PERISTERONA"" DAIRY LTD";13B, Christou Tsiarta , 2731 Peristerona - Lefkosia
CY 0143 EK;SPYROS THEMISTOCLEOUS;Dionisiou 12, 8653 Statos - Agios Photios - Paphos
CY 0144 EK;PARADOSIAKA PROIONTA A.F.CH. (KATSOURAS) LTD;Galataria 8645 - Paphos
CY 0145 EK;M. & A. SOUNIOTIKO LTD;Paramitha Industrial Area - 4540 Lemesos
CY 0146 EK;EL.NI.MA TRADITION PRODUCTS LTD;Gregoriou Xenopoulou 5 - 8028 Paphos
CY 0148 EK;V.K. CANTEENS LINE LTD;Grive Digheni 7, 7571 Agglisides - Larnaca
CY 0149 EK;A.& G. PETROU LTD (MAGIC TASTE);Raphinas 11, Aradippou Industrial Area B, 6040 Larnaca
CY 0150 EK;CHRISTOS KANTILAPHTIS & SONS LTD;Tamasou 38A, 2540 Dhali - Lefkosia
CY 0151 EK;"GALAKTOKOMIO ""TO TRACHONITIKO""";Markou Drakou 14, 4651 Trachoni - Lemesos
CY 0152 EK;"GALAKTOKOMIO ""ΝΙΚΙ ΧΕΝΙ""";Ammochostou 2, 8651 Statos - Agios Photios - Paphos
CY 0154 EK;GALAKTOKOMIO S.TH. TO ANOERKATIKO;Agroktima Stalies, 4603 Anogyra - Lemesos
CY 0155 EK;OMIROS HATZIDEMETRI;Elpidos 29, 2200 Geri - Lefkosia
CY 0156 EK;AIRANI OLYMPOS LTD;Onisillou 11, Alambra Industrial Area, 2563 Alambra - Lefkosia
CY 0158 EK;DEMETRA THEMISTOCLEOUS;Apostolou Andrea 8, 8652 Statos - Agios Photios - Paphos
CY 0159 EK;"GALAKTOKOMIO ""DROUSIA""";Lachis 24, 8700 Drousia - Paphos
CY 0161 EK;GALAKTOKOMIKA YIOTAS;Theomitoros 20, 2224 Latsia - Lefkosia
CY 0163 EK;GALAKTOKOMIKA PROIONTA A/FOI PAOULLI;Theodorou Kolokotroni 19, 2540 Dhali - Lefkosia
CY 0164 EK;YIOTA PARADOSIKA PROIONTA LTD;8651 Statos - Agios Photios - Paphos
CY 0167 EK;ANASTASIA CYPRUS TRADITIONAL PRODUCTS;Steliou Kyriakides 73, 8651 Statos, Paphos
CY 0169 EK;GALAKTOKOMIO ZENONAS LOIZOU;Aristotelous 1, 2720 Akaki, Lefkosia
CY 0170 EK;ANTROULA PARADOSIAKA PROIONTA STATOU;Costaki Savvides 2, Statos - Agios Photios, 8652 Paphos
CY 0171 EK;K.X.T. (SALATA) GEORGOKTINOTROFIKES EPICHIRISIS (PACHNA) LTD;Elia Papakyriacou 7, 4700 Pachna, Lemesos
CY 0172 EK;DODONI (CYPRUS) LIMITED;III Viomichaniki Periochi Ypsona, 4183 Lemesos
CY 0174 EK;MIRADAR LTD;Arachovas 1, III Viomichaniki Periochi Ag. Sila, 4193 Lemesos
CY 0175 EK;GOLDEN DONKEYS FARM;7731 Skarinou - Larnaca
CY 0176 EK;IORDANIS IORDANOUS DAIRY;Aftostegasis 8, 2641 Analiontas - Lefkosia
CY 0177 EK;PANTZIAROU BROS DAIRY LTD;Athienou Industrial Area - 7600 Larnaca
CY 0178 EK;MARIA MOUSKOU;Christou Tsiarta 7, 5510 Avgorou - Ammochostos
CY 0179 EK;S & M PAMPOUKKA LTD;Panayias 3, Lythrodontas 2565 - Lefkosia
CY 0180 EK;"ΤΥΡΟΚΟΜΕΙΟ ""ΤΟ ΚΑΛΛΕΠΙΤΙΚΟ"" LTD";Megalou Alexandrou 3, 8541 Kallepia - Paphos
CY 0181 EK;ALPINA & JERSEY LTD;Papaphilippou, 2573 Potamia - Lefkosia
CY 0182 EK;METRO FOODS TRADING LTD;Leoforos Spyrou Kyprianou 365, 2046 Strovolos Lefkosia
CY 0183 EK;FAWAZ KHAN SHAKHOUNI;Griva Digeni 13, shop 8, 8220 Chloraka - Paphos
CY 0184 EK;EVAMIA INVESTMENTS LTD;Odissea Elity 36, 7020 Dromolaxia Industrial Area - Larnaca
CY 0185 EK;CH.A.PAPAELLINAS EMPORIKI LIMITED (ALFAMEGA);Leoforos Dimokratias 87 - 8028 Paphos
CY 0186 EK;YAKUMO ENTERPRISES LIMITED;Evropis 1, Kyklikos Komvos K. Choriou - Aradippou , 7100 Aradippou - Larnaca
CY 0187 EK;"GALAKTOKOMIO ""PETROS IOANNIDES""";8720 Giolou - Paphos
CY 0188 EK;ALAMBRA FRESH MILK LTD;Pindarou 27, B' Viomichaniki Periochi Aradippou, 7100 Aradippou - Larnaca
CY 0189 EK;HAPPY FARMERS DAIRIES;Vasileos Pavlou 25A, 2412 Engomi - Lefkosia
CY 4103 EK;G.C.ASKAS FARM LTD;GREGORI AFXENTIOU 31, 2752 ASKAS,NICOSIA
CY 4105 EK;T.S.P. FARM LTD;AGIOU GEORGIOU 65, 2731 PERISTERONA, NICOSIA
CY 4106 EK;VASILICO CHICKEN FARM LTD;MAKARIOU III, 41 2614 AREDIOU, NICOSIA
CY 4119 EK;ANDREAS MPLAKKIS (PTINOTROFIKES EPICHIRISIS) LTD;CHRISTOU TSIARTA 19,2772 AYIA MARINA XYLIATOU, NICOSIA
CY 4121 EK;"AGROKTIMA ""FILIPPOS"" LTD";P.O.BOX 20881, 1664 NICOSIA
CY 4126 EK;AVGA GIANNOS NIKIFOROU GEORGIOU LTD;KERYNIAS 48, 1041 PALLOURIOTISSA, NICOSIA
CY 4128 EK;C.G. MARKI PARK & FARMING LTD;P.O.BOX 25493, 1310 NICOSIA
CY 4131 EK;N.C. FARM (KOUTRAFAS) LTD;AGIOU GERASIMOU 2, 2054 NICOSIA
CY 4137 EK;TAKIS ZENONOS LTD;CHARILAOU MICHAEL 11, 2408 EGNOMI, NICOSIA
CY 4139 EK;ANDREAS KAKOULLIS;ROMANOU 20, 2039 STROVOLOS, NICOSIA
CY 4140 EK;THERAPEFTIKI KINOTITA AGIA SKEPI;2652 POLITIKO - FILANI, NICOSIA
CY 4145 EK;VILANIDES FARMS;CHARILAOU MICHAEL 5, 1056 LIKAVITOS, NICOSIA
CY 4152 EK;ELKAR LIMITED;P.O.BOX 24067, 1700 NICOSIA
CY 4155 EK;A.MINTIKKIS FARM LTD;MARKI, NICOSIA
CY 4344 EK;D.K. DIGITAL ACTIVA LIMITED;YIANNAKI TZIOVANI 98, 5522 VRISOULLES - AMMOCHOSTOS
CY 4354 EK;MICHALIS MICHAELIDES;LEOFOROS KARIOU 186, 5510 AMMOCHOSTOS
CY 4402 EK;TZIONIS FARM LTD;25 MARTIOU 42, 7600 ATHIENOU, LARNACA
CY 4407 EK;K.L. EGGFRESH LTD;ARCH. LEONTIOU 3, 7510 XYLOTYMBOU, LARNACA
CY 4410 EK;AFOI SOUMAKI LTD;MPOUMPOULINAS 17, 7600 ATHIENOU, LARNACA
CY 4416 EK;COSTAS ΤΗ. NIKOLAOU (PTINOTROFI) LTD;NICODEMOU MYLONA 14, 7600 ATHIENOU, LARNACA
CY 4418 EK;MAKNO FARM LTD;1 APRIL 54, 7647 MOSFILOTI, NICOSIA
CY 4420 EK;Α.P. MICHAELAS & SONS LTD;VASILI VOULGAROKTONOU 3, 7100 ARADIPPOU, LARNACA
CY 4423 EK;ADAMOS KAILI;LOIZOU ANDREA 4, 7520 XYLOFAGOU, LARNACA
CY 4427 EK;IAKOVOS KYRIACOU DIGENIS & SONS LTD;MPOUMPOULINAS 12, 7600 ATHIENOU, LARNACA
CY 4429 EK;TH & Z AVDELLERO CHICKEN FARM LTD;7501 AVDELLERO, LARNACA
CY 4443 EK;ANDREAS POURIKKOS;ARCHIEPISKOPOU MAKARIOU 21, 7733 KALAVASOS, LARNACA
CY 4456 EK;LENOS M. TRIKKIS;KTINOTROPHIKI ZONE SKARINOU (MEMILLA) , LARNACA
CY 4636 EK;C & G SKOUMBRIS ESTATES LTD;8501 AGIA VARVARA, PAPHOS
CY 4651 EK;LOUCAIDES POULTRY FARM LTD;8521 AXILOU, PAPHOS
CY 4653 EK;CHRIS LOUCAIDES EGG FARM;KTINOTROPHIKI ZONE KALLEPIAS 8541 PAPHOS
CY 501 EB EK;COSTAS ZACHARIA LTD;7735, KOFINOU, LARNACA
CY 502 EB EK;ADR CASINGS (CYPRUS) CO LTD;KALOPSIDAS 19, 7735 KOFINOU, LARNACA
CY E 001 EK;SAVVAS PETRIDES LIMITED;Marki, Nicosia (P.O.Box 25493, 1310 Nicosia)
CY E 002 EK;CH. MORPHAKIS LTD;Archiepiskopou Makariou 19, 7000 Meneou, Larnaca
CY E 003 EK;K.L. EGGFRESH LTD;Arch. Leontiou 3, 7510 Xylotymbou, Larnaca
CY E 004 EK;AGROKTIMA FILIPPOS LTD;Leoforos Marcou Drakou, 2831 Evrichou, Nicosia (P.O.Box 20881, 1664 Nicosia)
CY E 005 EK;N.C. FARM (KOUTRAFAS) LTD;2070 Kato Koutrafas, Nicosia (Ag. Gerasimou, 2054 Strovolos, Nicosia)
CY E 006 EK;FARMA N.B. SHIKKIS LIMITED;Avdellero 7501, Larnaca (Modestou Panteli 28, 7104 Aradippou , Larnaca)
CY F 02 EK;APZ AQUARIUM LTD;P.O.Box 53854, 3318 Limassol
CY F 03 EK;KIMAGRO FISH FARMING LTD;P.O.Box 55576, 3781 Limassol
CY F 05 EK;IPH FOODSTUFFS SUPPLIER;P.O.Box 25300, 1308 Nicosia
CY F 06 EK;GDL TRADING FAMAGUSTA LTD;P.O.Box 33518, 5315 Paralimni - Ammochostos
CY F 07 EK;BLUE ISLAND PLC;10 Polyfimou str., Strovolos Ind. Area, 1666 Nicosia
CY F 11 EK;A & G SEVEN SEAS SEA FOOD LTD;Kokkinotrimithia Industrial Area Nicosia
CY F 14 EK;BLUE GREEN WAVE FROZEN FOODS LTD;P.O.Box 42324, 6533 Larnaca
CY F 15 EK;PANTELIS SOTERIOU FROZEN FOODS LTD;Kariadidon 5, Ayios Sylas Industrial Area - 4193 Lemesos
CY F 17 EK;GDL TRADING  LTD (ARADIPPOU);Aradipou Industrial Area, Larnaca
CY F 18 EK;FIVE OCEANS FOOD LTD;1 Anapavseos str., 3096 Limassol
CY F 19 EK;E.M.A. FOODS TRADING LTD;Aradippou Industria Area, Larnaca
CY F 21 EK;GABRIEL ST. PROTOPAPAS FOOD SUPPLIERS (FAMAGUSTA) LTD;34 Xylophagou str., 5340 Ag.Napa, Ammochostos
CY F 23 EK;ICELINE (CYPRUS) LTD;Philippou 12, Dhali Industrial Area, 2546 Lefkosia
CY F 24 EK;MAXIFOODS LTD;Emporiou 41,  Aradippou Industrial Area B ́- 7105 Aradippou - Larnaca
CY F 26 EK;SEAWAVE FISHERIES LTD;Gregoriou Afxentiou 16, 7739 Zygi Larnaca
CY F 30 EK;DIVNIY BEREG LTD;M. Christoforou 12, Dhali Industrial Area, 2540 Dhali, Nicosia
CY F 31 EK;ECHTHIOTROFIA MILONA LIMITED;Agios Nikolaos Stegis, 2825 Nicosia
CY F 32 EK;SEA GALE LTD;Klearchou 1, Viotechniki Kitiou, 7550 Kiti, Larnaca
CY F 33 EK;THE LAND OF DREAMS LTD;Ag. Mnfasonos 24, Trimiklini 4730, Limassol
CY F 34 EK;MEDFISH LIMITED;Pigasou 32B, 7100 Aradippou, Larnaca
CY F07 EK;BLUE ISLAND PLC;10 Polyfimou str., Strovolos Ind. Area, 2033 Strovolos (Postal Address: P.O.Box 26073, 1666 Nicosia)
CY L 402 EK;DIAS LTD;ARCH. MAKARIOU 28, 4878 PELENDRI, LIMASSOL
CY L 405 EK;ZENON M. TRIKKIS;13 Kikas & Froso Sounta, 6016 Larnaca
CY L 406 EK;CHATZIZACHARIA FARM LTD;9 IOULIOU 4A, 5510 AVGOROU, AMMOCHOSTOS
CY M 301 EK;GREGORIOU B.E. LTD;63, Ellados str., 4180 Ypsonas - Lemesos
CY M 305 EK;CHRISTAKIS VASILIOU;Nikou Karasamni 34, 4878 Pelendri - Lemesos
CY M 307 L EK;ELENI CHARALAMBOUS;Michaelides 10, 2731 Peristerona, Lefkosia
CY M 308 EK;SPITISIA PROIONTA SAVVAS KARAOLIS & SONS LTD;Mammari Industrial Area - Lefkosia
CY M 309 EK;STELEN FOODS LTD;Therkion 27, 3048 Zakaki, Lemesos
CY M 310 EK;I. KITROMILIDES LTD;Ergates Industrial Area, Lefkosia
CY M 312 EK;AVGOUSTINOS FOOD INDUSTRY LTD;Spyrou Kyprianou 6, III Lemesos Industrial Area, Agios Silas, Lemesos
CY M 313 EK;CHRYSODALIA LTD;Panayias Asinou 5, 2780 Potami - Lefkosia
CY M 314 EK;KAYKALIAS LTD;Kyriacou Apeitou 36, 4860 Agros - Lemesos
CY M 316 EK;ANDREAS KATSIARTOS;Chysopantanasis 15, 2617 Agrokipia - Lefkosia
CY M 317 EK;"DIOGENIS ""A.PITTAS"" DELI LTD";Ar.Michael 6, 2827 Galata - Lefkosia
CY M 320 EK;ANDREAS KYRIAKOU (ALLANTICA DEMON) LTD;4873 Dymes - Lemesos
CY M 321 EK;MATHEOS FILI;4772 Vouni - Lemesos
CY M 327 EK;KONI FOODS LTD;Andrea Miaouli 7D, 2320 Lakatamia, Lefkosia
CY M 328 EK;ERIMOUDES & GUTMANN LTD;P.O.Box 56831 - 3310 Lemesos
CY M 329 EK;NETALIA FROZEN FOODS LTD;Kastalias 9, 6040 Larnaca
CY M 331 EK;MARKYM FOODS LTD;C 10, Michalaki Kasoulides 1, 1027 Kaimakli, Lefkosia
CY M 334 EK;CH.A.PAPAELLINAS EMPORIKI LIMITED;Ermou 17, Dhali Industrial Area, 2540 Dhali, Lefkosia
CY M 335 EK;G.K.TROODOS FOODS LTD;Viotechniki 9, 4876 Kyperounta - Lemesos
CY M 336 EK;A. THEODOSIOU LTD;163, Makariou III Avenue, 2311 Kato Lakatamia, Lefkosia
CY M 337 EK;COSTAS LYTRAS & SON LTD;Spyrou Christodoulou 42 - 1020 Lefkosia
CY M 338 EK;SPITISIA PROIONTA SKEVI;Samothrakis 9, 2103 Aglantzia, Lefkosia
CY M 342 EK;TO FAGITOSPITO TIS THEODORAS;Pericleous 29, 2020 Strovolos, Lefkosia
CY M 343 EK;CHARIS PEROS & SON LTD;Acropolis Avenue 5, 2000 Acropolis, Lefkosia
CY M 344 EK;METRO FOODS LTD;Spyrou Kyprianou Avenue, 365 2322 Lakatamia, Lefkosia
CY M 345 EK;A. & T. KYPRIANOU (SPECIAL FOODS) LTD;Kratitirion 5, Kokkinotrimithia Industrial Area, 2666 Kokkinotrimithia, Lefkosia
CY M 347 EK;ALLANTICA ANDREAS HATZICOSTA LTD;B Viomichaniki Periochi Aradippou, Pigasou 47, 7100 Larnaca
CY M 348 EK;P. STAVROU AGROS LTD;Petrou Eliades 10, 4860 Agros - Lemesos
CY M 350 EK;ALLANTICA PITSILIAS LTD;Kyperounta Industrial Area, 4876 Kyperounta - Lemesos
CY M 352 EK;ANDREAS TTINIOZOU & SONS LTD;Aradippou Industrial Area - Larnaca
CY M 354 EK;"KREATAGORA ""TO AGRINO"" LTD";Georgíou Neophytou 24, Shop 4, 4006 Mesa Gitonia, Lemesos
CY M 355 EK;P. & I. ALLANTOPEΙO LTD;Lefkosia Avenue 30, 4860 Agros - Lemesos
CY M 357 EK;S.B.SUPER DELUXE BUTCHERY LTD;Yiannou Kranidioti 131B, 2231 Latsia, Lefkosia
CY M 359 EK;A.CH.SERAFIM EPICHIRISIS LTD;Gregoriou Afxentiou 9, 2772 Agia Marina Xyliatou - Lefkosia
CY M 361 EK;KREOPOLIO SOTIRIS & MARIA SAVVA;203A Arch. Makariou III,  2311 Pano Lakatamia - Lefkosia
CY M 366 EK;PARADOSIAKA ALLANTIKA LOUVARA EVPSICHIOU LTD;Eleftherias 4, 4560 Louvaras - Lemesos
CY M 367 EK;CHRYSILIOS CHRYSILIOU;Gregori Afxentiou 106 AB, 2364 Agios Dometios, Lefkosia
CY M 368 EK;COSTAS CHARALAMBOUS LTD;Costaki Sarri 4, 8651 Statos - Ag. Photios - Paphos
CY M 370 EK;GRILL MAN FROZEN FOODS LTD;Yianni Koromia 3, Kaimakli Industrial Area, 1028 Lefkosia
CY M 371 EK;COSTAS TOUMAZOU ENTERPRISES LTD;Arch. Makariou 78, 2610 Agios Epiphanios Lefkosia
CY M 373 EK;DEMOLY LTD;Aradippou Industrial Area, 7103 Aradippou - Larnaca
CY M 375 EK;ARESTIS TTOFALLI KREATOPARASKEVASMATA LTD;Megalou Alexandrou 10, 6030 Larnaca
CY M 376 EK;MELIS & SONS (MEAT MARKET) LTD;Makariou III, 41 4003 Mesa Gitonia, Lemesos
CY M 377 EK;GEORGIOS ANTONIOU (TRIPINIOTIS);Leoforos Arch. Makariou, 7735 Kofinou - Larnaca
CY M 378 EK;COLUMBIA RESTAURANTS COMPANY LTD;Rodionos and Riga 57, Agios Athanasios Industrial Area, 4101 Limassol
CY M 381 EK;VENEZIA PIZZA (FOODS) LIMITED;Nikolaou Ioannou 54A, 1036 Pallouriotissa, Lefkosia
CY M 382 EK;KREOPOLIO PANAYIOTIS LIVADIOTIS LIMITED;1st April 35, Xylophagou 7520 Larnaca
CY M 383 EK;CHORIATIKA ALLANTIKA XIPSITIS;Nikou Georgiou 7, 2745 Palechori - Lefkosia
CY M 384 EK;EL. A. PEKA BUTCHERY LTD;Photi Pitta 18, 5350 Frenaros, Ammochostos
CY M 385 EK;"PARADOSIAKA ALLANTICA ""PHILIMON YEFSIS""";Constantinou Nikolaou 7, 2651 Politiko - Lefkosia
CY M 386 EK;CHORIATIKA ALLANTIKA ALONAS (THEOPHANOUS);Alona - 2751 Lefkosia
CY M 387 EK;"ALLANTICA ""PLATANIC"" LTD";Gregory Afxentiou 62, 2755 Platanistasa - Lefkosia
CY M 388 EK;KOTOPOULLA CH. VASILIOU LTD;Korinthou 38, 2671 Ag. Trimithias, Lefkosia
CY M 389 EK;G.K. STRICLTY GOURMET LTD;Delou 7, A' Ypsonas Industrial Area - 4184 Lemesos
CY M 390 EK;BILTONG BULLEVARD (GREXIA LTD);Leoforos Makariou 113 - 8310 Koloni, Paphos
CY M 392 EK;CH & M PARADOSIAKA ALLANTIKA FARMAKA LIMITED;Agias Irinis 14, 2620 Pharmakas - Lefkosia
CY M 393 EK;"ALLANTOPOEIO ""TO EFROSINON""";Aftostegasis 28, 2560 Ayia Barvara - Lefkosia
CY M 394 EK;"KTINOTROPHIKES EPICHIRISIS ""TO GIORKOUDI LTD""";Demitri Stavrou 9, 2224 Latsia, Lefkosia
CY P 201 EK;C & G SKOUMBRIS ESTATES LTD;Ag. Varvara, 8501 Paphos
CY P 204 EK;PANICOS LEONDIOU;Ezekia Papaioannou 15, 7550 Kiti, Larnaca
CY P 205 EK;K. ARTIMATAS & SONS LTD;Triptolemou 4, 5282 Paralimni, Ammochostos
CY P 207 EK;P. ANASTASIOU FARM LTD;Modestou Panteli 9 ,  2565 Lythrodontas, Nicosia
CY P 208 EK;MYRTOU FARM LTD;Korinthou 38, 2671 Ay. Trimithias, Nicosia
CY P 209 EK;SAVVAS ALEXANDROU;Ag. Georgiou Kavkalos, 2773 Nicosia
CY P 212 EK;HATJIPAPAS LTD;Masalliotidos 26A, Agios Nikolaos, 3096 Limassol
CY P 217 EK;IONAS & KIKA FARM LTD;Agastinas 18B, 7643 Kalo Chorio, Larnaca
CY P 218 EK;FARM LOUCAS ARISTODEMOU & SONS LTD;Athanasiou Diakou 7, 2616 Kalo Chorio Orinis, Lefkosia
CY P 220 EK;PARADISIOTIS LTD;7719 Ora, Larnaca
CY P 221 EK;LOUCAIDES POULTRY FARM;Agia Varvara, 8501 Paphos
CY P 224 EK;PHYTOS CHICKEN LAND;Christaki Kranou 16, River Side 2, Shop 1, 4041 Limassol
CY P 225 EK;LOUCAIDES POULTRY FARM LTD;Kritou Marottou, 8747 Paphos
CY P 226 EK;ANDREAS & SOFOULA COSTA;Arch. Makariou III, 46 2610 Ag. Epiphanios, Lefkosia
CY P 232 EK;MARIA ELIA PTINOSFAGIO (KOFINOU) LTD;Kalopsidas 19, 7735 Kophinou, Larnaca
CY P 233 EK;LENIA ́S  CH FOOD LAND LTD;Mammari Industrial Area No. 35, 2679 Mammari, Lefkosia
CY P 234 EK;PARADISIOTIS LTD;Spýrou Kyprianou 2, III Ypsonas Industrial Area, 4193 Ypsonas - Lemesos
