country	code	name	postcode	town	address	adr2	lat	lng
Bács-Kiskun	HU-02-TH-00025	Melis József András	6050	Lajosmizse	Mizse tanya 149.	Mizse tanya 149. , 6050 , Lajosmizse	47,0542207	19,5373177
Bács-Kiskun	HU-02-TH-00024	Városföldi Agrár Gazdaság Zrt.	6065	Lakitelek	Felsőalpár 10.	Felsőalpár 10. , 6065 , Lakitelek	46,8891229	19,9919134
Bács-Kiskun	HU-02-TH-00027	Kapcsándi Jenő Zoltán	6066	Tiszaalpár	Újmajor körzet 62.	Újmajor körzet 62. , 6066 , Tiszaalpár	46,8241103	19,949916
Bács-Kiskun	HU-02-TH-00005	"Törőcsik Dezső/Törőcsik
Dezsőné/Törőcsik Rajmund/id.
Törőcsik Dezső"	6060	Tiszakécske	Sárhalom Vigyázó major	Sárhalom Vigyázó major , 6060 , Tiszakécske	46,9358726	20,0969279
Bács-Kiskun	HU-02-TH-00004	Béni Farm Kft.	6031	Szentkirály	Felső tanya 147/a	Felső tanya 147/a , 6031 , Szentkirály	46,8963448	19,9281953
Bács-Kiskun	HU-02-TH-00006	"Törőcsik Sándor, Törőcsikné Kastély
Mónika"	6060	Tiszakécske	Pereghalom Zoboki major 0419/23	Pereghalom Zoboki major 0419/23 , 6060 , Tiszakécske	46,9358726	20,0969279
Bács-Kiskun	HU-02-TH-00004	Chjaviza Kft.	6066	Tiszaalpár	Csongrádi út körzet 8.	Csongrádi út körzet 8. , 6066 , Tiszaalpár	46,8241103	19,949916
Bács-Kiskun	HU-02-TH-00039	Jávorka Bt.	6076	Ágasegyháza	Zsombos dűlő 64/a	Zsombos dűlő 64/a , 6076 , Ágasegyháza	46,8446482	19,4501185
Bács-Kiskun	HU-02-TH-00007	Botka Vincze Irén és Csikós Zsolt	6060	Tiszakécske	Kerekdomb 0277/1	Kerekdomb 0277/1 , 6060 , Tiszakécske	46,902467	20,056521
Bács-Kiskun	HU-02-TH-00026	Szabó János	6050	Lajosmizse	Bene tanya 501.	Bene tanya 501. , 6050 , Lajosmizse	47,0068667	19,4795427
Bács-Kiskun	HU-331-TH-00167	Borsodi István	6000	Kecskemét	Belsőnyír 11.	Belsőnyír 11. , 6000 , Kecskemét	46,9544218	19,634578
Bács-Kiskun	HU 331 TH 00013	Szigeti Jánosné	6336	Szakmár	Kistény major 0149/4 hrsz.	Kistény major 0149/4 hrsz. , 6336 , Szakmár	46,574847	19,070873
Bács-Kiskun	HU 331 TH 00014	Dózsa Mezőgazdasági Zrt. - Tass Zrt.	6098	Tass	0194/58	0194/58 , 6098 , Tass		
Bács-Kiskun	HU 331 TH 00015	Extra Jó Tej Kft.	6085	Fülöpszállás	Szabó tanya 0382/6	Szabó tanya 0382/6 , 6085 , Fülöpszállás	46,8283079	19,2467734
Bács-Kiskun	HU 331 TH 00016	Hun Farm & Gasztro Kft.	6070	Izsák	0192/6	0192/6 , 6070 , Izsák	46,7942934	19,3838146
Bács-Kiskun	HU 331 TH 00017	Herkány Kft.	6311	Öregcsertő	037/14.	037/14. , 6311 , Öregcsertő	46,515272	19,1090595
Bács-Kiskun	HU 331 TH 00018	Kákonyi Csaba	6311	Öregcsertő	Zrínyi u. 27.	Zrínyi u. 27. , 6311 , Öregcsertő	46,5071753	19,0952936
Bács-Kiskun	HU 331 TH 00019	Golf-Szelid Bt	6328	Dunapataj	Szelid	Szelid , 6328 , Dunapataj	46,6239015	19,0418426
Bács-Kiskun	HU 331 TH 00020	Németh Jánosné	6325	Dunatetétlen	025/5	025/5 , 6325 , Dunatetétlen	46,7578624	19,0932563
Bács-Kiskun	HU 331 TH 00021	Hild Tej kft	6344	Hajós	külter.  Csikójárás	külter.  Csikójárás , 6344 , Hajós	46,4001409	19,1193255
Bács-Kiskun	HU 331 TH 00022	Kék Duna mg szöv	6352	Fajsz	külter. Tehenészeti telep	külter. Tehenészeti telep , 6352 , Fajsz	46,4157936	18,9191954
Bács-Kiskun	HU 331 TH 00023	Terra-Bos kft	6341	Homokmégy	Örjeg	Örjeg , 6341 , Homokmégy	46,4710354	19,1140593
Bács-Kiskun	HU 331 TH 00037	Szegedi Mihály	6440	Jánoshalma	Kélesi u. 22	Kélesi u. 22 , 6440 , Jánoshalma	46,3002945	19,3025986
Bács-Kiskun	HU 331 TH 00038	Gyuris Árpád	6440	Jánoshalma	I.körzet Tanya 37. hrsz0436/2	I.körzet Tanya 37. hrsz0436/2 , 6440 , Jánoshalma	46,2863504	19,3172257
Bács-Kiskun	HU 331 TH 00039	Jávorka Bt.	6076	Ágasegyháza	Galambháza dűlő 64/a.	Galambháza dűlő 64/a. , 6076 , Ágasegyháza	46,837043	19,5079621
Bács-Kiskun	HU 331 TH 00040	Csupor Katalin	6042	Fülöpháza	II. körzet 144.	II. körzet 144. , 6042 , Fülöpháza	46,8903871	19,466401
Bács-Kiskun	HU 331 TH 00041	Kalmár Ferenc	6042	Fülöpháza	Mező I. u. 30.	Mező I. u. 30. , 6042 , Fülöpháza	46,8939986	19,4384734
Bács-Kiskun	HU 331 TH 00042	FM Kelet-magyarországi Agrár-Szak	6440	Jánoshalma	I.körzet Tanya 19. hrsz 0358	I.körzet Tanya 19. hrsz 0358 , 6440 , Jánoshalma	46,2863504	19,3172257
Bács-Kiskun	HU 331 TH 00043	Papp Emma	6341	Zsana	IV. körzet 84.	IV. körzet 84. , 6341 , Zsana	46,3802847	19,6600846
Bács-Kiskun	HU 331 TH 00044	Papp Gábor	6341	Zsana	Kossuth L. u. 44.	Kossuth L. u. 44. , 6341 , Zsana	46,3802847	19,6600846
Bács-Kiskun	HU 331 TH 00045	Brunner Edina	6136	Harkakötöny	Árpád u 50.	Árpád u 50. , 6136 , Harkakötöny	46,4667582	19,6095288
Bács-Kiskun	HU 331 TH 00046	Lencsés Mihály	6136	Harkakötöny	Kossuth u 11.	Kossuth u 11. , 6136 , Harkakötöny	46,4633698	19,6049798
Bács-Kiskun	HU 331 TH 00047	Boda János	6100	Kiskunfélegyháza	IX.körzet 294.	IX.körzet 294. , 6100 , Kiskunfélegyháza	46,65851	19,819394
Bács-Kiskun	HU 331 TH 00048	Dósai Nándor	6100	Kiskunfélegyháza	XII.körzet 97.	XII.körzet 97. , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00049	Ferenczi Imre	6100	Kiskunfélegyháza	VII. körzet 39.	VII. körzet 39. , 6100 , Kiskunfélegyháza	46,6874343	19,9213509
Bács-Kiskun	HU 331 TH 00051	Király Mihály	6100	Kiskunfélegyháza	XIII.körzet 139.	XIII.körzet 139. , 6100 , Kiskunfélegyháza	46,6422665	19,7951584
Bács-Kiskun	HU 331 TH 00052	Kiss István	6100	Kiskunfélegyháza	VII.körzet 33.	VII.körzet 33. , 6100 , Kiskunfélegyháza	46,688477	19,926683
Bács-Kiskun	HU 331 TH 00053	Kiss Mihály	6100	Kiskunfélegyháza	XII.körzet 133.	XII.körzet 133. , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00054	Kovács-István Péter	6100	Kiskunfélegyháza	IX.körzet 314.	IX.körzet 314. , 6100 , Kiskunfélegyháza	46,652112	19,819603
Bács-Kiskun	HU 331 TH 00055	Mészáros Ilona Erzsébet	6100	Kiskunfélegyháza	VIII.körzet 80.	VIII.körzet 80. , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00056	Palotás Lászlóné	6100	Kiskunfélegyháza	Mészöly Gy.u. 10.	Mészöly Gy.u. 10. , 6100 , Kiskunfélegyháza	46,678098	19,887258
Bács-Kiskun	HU 331 TH 00057	Sinkó János	6100	Kiskunfélegyháza	VIII.körzet 76.	VIII.körzet 76. , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00058	Tarjányi János	6100	Kiskunfélegyháza	VII.körzet 5.	VII.körzet 5. , 6100 , Kiskunfélegyháza	46,688477	19,926683
Bács-Kiskun	HU 331 TH 00059	Urbán Zoltán	6100	Kiskunfélegyháza	VII.körzet 40.	VII.körzet 40. , 6100 , Kiskunfélegyháza	46,688477	19,926683
Bács-Kiskun	HU 331 TH 00060	Ván Jenő	6100	Kiskunfélegyháza	XIII.körzet 31.	XIII.körzet 31. , 6100 , Kiskunfélegyháza	46,655186	19,8134278
Bács-Kiskun	HU 331 TH 00061	Simonyi József	6100	Kiskunfélegyháza	Gábor Á. U.22.	Gábor Á. U.22. , 6100 , Kiskunfélegyháza	46,7033231	19,8509098
Bács-Kiskun	HU 331 TH 00062	Udvardyné Gáll Irén	6100	Kiskunfélegyháza	V. körzet 87	V. körzet 87 , 6100 , Kiskunfélegyháza	46,7563795	19,908191
Bács-Kiskun	HU 331 TH 00063	Faragó István	6100	Kiskunfélegyháza	IV. körzet 81	IV. körzet 81 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00064	Vidács Imre	6100	Kiskunfélegyháza	I. körzet 293	I. körzet 293 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00065	Tapodi Mihály	6100	Kiskunfélegyháza	V. körzet 90.	V. körzet 90. , 6100 , Kiskunfélegyháza	46,7488965	19,9173102
Bács-Kiskun	HU 331 TH 00066	Magony Ferenc	6100	Kiskunfélegyháza	IV. körzet 101	IV. körzet 101 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00067	Kiss Gáborné	6133	Jászszentlászló	hrsz.0148/7	hrsz.0148/7 , 6133 , Jászszentlászló	46,575302	19,7698589
Bács-Kiskun	HU 331 TH 00068	Csontos Benő	6120	Kiskunmajsa	Marispuszta 137.	Marispuszta 137. , 6120 , Kiskunmajsa	46,4926226	19,7839563
Bács-Kiskun	HU 331 TH 00069	Szikora János	6120	Kiskunmajsa	Marispuszta 256.	Marispuszta 256. , 6120 , Kiskunmajsa	46,4827559	19,7729093
Bács-Kiskun	HU 331 TH 00070	Szűcsné Nyerges Ida	6120	Kiskunmajsa	Marispuszta 92	Marispuszta 92 , 6120 , Kiskunmajsa	46,5033842	19,7852202
Bács-Kiskun	HU 331 TH 00071	Hunyadi Dávid	6120	Kiskunmajsa	Marispuszta 139.	Marispuszta 139. , 6120 , Kiskunmajsa	46,4940879	19,7851731
Bács-Kiskun	HU 331 TH 00072	Kis-Bús Sándorné	6120	Kiskunmajsa	Marispuszta 107/A.	Marispuszta 107/A. , 6120 , Kiskunmajsa	46,5027932	19,788571
Bács-Kiskun	HU 331 TH 00073	Kis-Bús András	6120	Kiskunmajsa	Marispuszta 95.	Marispuszta 95. , 6120 , Kiskunmajsa	46,5027932	19,788571
Bács-Kiskun	HU 331 TH 00074	Víkor István	6120	Kiskunmajsa	Marispuszta 11/A.	Marispuszta 11/A. , 6120 , Kiskunmajsa	46,5028051	19,7431677
Bács-Kiskun	HU 331 TH 00075	Nyerges László Kálmán	6120	Kiskunmajsa	Marispuszta 237.	Marispuszta 237. , 6120 , Kiskunmajsa	46,4834569	19,7717767
Bács-Kiskun	HU 331 TH 00076	Gémes Józsefné	6134	Kömpöc	Sivány dűlő 19.	Sivány dűlő 19. , 6134 , Kömpöc	46,4811054	19,8484208
Bács-Kiskun	HU 331 TH 00077	Dávid Sándorné	6134	Kömpöc	Sivány dűlő 26.	Sivány dűlő 26. , 6134 , Kömpöc	46,4811054	19,8484208
Bács-Kiskun	HU 331 TH 00078	Bitó Sándor	6134	Kömpöc	József A. u. 2.	József A. u. 2. , 6134 , Kömpöc	46,4626421	19,864171
Bács-Kiskun	HU 331 TH 00079	Szabó Jánosné	6134	Kömpöc	Hunyadi J. u. 9.	Hunyadi J. u. 9. , 6134 , Kömpöc	46,4635012	19,8691097
Bács-Kiskun	HU 331 TH 00081	Czombos Ferenc	6134	Kömpöc	Rákóczi F. u.44.	Rákóczi F. u.44. , 6134 , Kömpöc	46,4678579	19,8653708
Bács-Kiskun	HU 331 TH 00082	Rokolya Erika	6135	Csólyospálos	Felsőcsólyos T. 12	Felsőcsólyos T. 12 , 6135 , Csólyospálos	46,4176512	19,8403484
Bács-Kiskun	HU 331 TH 00083	Antal Imre	6114	Bugac	Felsőmonostor 62	Felsőmonostor 62 , 6114 , Bugac	46,7091294	19,7305552
Bács-Kiskun	HU 331 TH 00084	Kunszabó Ferenc	6114	Bugac	Árpád u 2/a	Árpád u 2/a , 6114 , Bugac	46,685548	19,6777468
Bács-Kiskun	HU 331 TH 00085	Horák József	6114	Bugac	Dózsa György 45	Dózsa György 45 , 6114 , Bugac	46,682365	19,688206
Bács-Kiskun	HU 331 TH 00086	Bognár Mihály	6114	Bugacpusztaháza	Nagybugac 15	Nagybugac 15 , 6114 , Bugacpusztaháza	46,7022143	19,6356538
Bács-Kiskun	HU 331 TH 00087	Vízhányó Ferenc	6114	Bugac	Kada Elek u. 30	Kada Elek u. 30 , 6114 , Bugac	46,683312	19,686113
Bács-Kiskun	HU 331 TH 00088	Négy- B BT	6114	Bugac	Alsómonostor 175	Alsómonostor 175 , 6114 , Bugac	46,66769	19,7341971
Bács-Kiskun	HU 331 TH 00089	Csontos Tibor	6120	Kiskunmajsa	Ágasegyháza 233	Ágasegyháza 233 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00090	Babenyecz Jenőné	6120	Kiskunmajsa	Kígyós Hold u. 27	Kígyós Hold u. 27 , 6120 , Kiskunmajsa	46,4056131	19,7680194
Bács-Kiskun	HU 331 TH 00091	Behány László	6120	Kiskunmajsa	Ágasegyháza 53	Ágasegyháza 53 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00092	Bera András	6120	Kiskunmajsa	Ötfa 241	Ötfa 241 , 6120 , Kiskunmajsa	46,5195179	19,742562
Bács-Kiskun	HU 331 TH 00093	Csontos Ferencné	6120	Kiskunmajsa	Margitsziget 1	Margitsziget 1 , 6120 , Kiskunmajsa	46,4831477	19,7393704
Bács-Kiskun	HU 331 TH 00094	ifj. Csontos Imre	6120	Kiskunmajsa	Madách u. 4	Madách u. 4 , 6120 , Kiskunmajsa	46,4857249	19,7389073
Bács-Kiskun	HU 331 TH 00095	Csontos Imre	6120	Kiskunmajsa	hrsz.0411/70	hrsz.0411/70 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00096	Csontos Máté	6120	Kiskunmajsa	Ágasegyháza 178	Ágasegyháza 178 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00097	Csukonyi Sándor	6135	Csólyospálos	hrsz.027/21	hrsz.027/21 , 6135 , Csólyospálos	46,4180837	19,8402638
Bács-Kiskun	HU 331 TH 00098	Deli Sándor	6120	Kiskunmajsa	Kígyós 84	Kígyós 84 , 6120 , Kiskunmajsa	46,4041559	19,7702369
Bács-Kiskun	HU 331 TH 00099	Farkas Péter	6135	Csólyospálos	hrsz.0111/45	hrsz.0111/45 , 6135 , Csólyospálos	46,4180837	19,8402638
Bács-Kiskun	HU 331 TH 00100	ifj. Felföldi János	6120	Kiskunmajsa	Ágasegyh. D. 197/A	Ágasegyh. D. 197/A , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00101	Felföldi János	6120	Kiskunmajsa	Ágasegyh. D. 197/A	Ágasegyh. D. 197/A , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00102	Gyuris Ibolya	6120	Kiskunmajsa	Kőkút 98	Kőkút 98 , 6120 , Kiskunmajsa	46,5230091	19,7464667
Bács-Kiskun	HU 331 TH 00103	Hunyadiné Lehoczki Katalin	6120	Kiskunmajsa	Ágasegyháza 332	Ágasegyháza 332 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00104	Kispál János	6120	Kiskunmajsa	Kígyós 331	Kígyós 331 , 6120 , Kiskunmajsa	46,4041559	19,7702369
Bács-Kiskun	HU 331 TH 00105	Kovács András Gábor	6120	Kiskunmajsa	hrsz. 0423/115	hrsz. 0423/115 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00106	Kovács János	6120	Kiskunmajsa	hrsz. 0350/18	hrsz. 0350/18 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00107	Krupincza Imrené	6120	Kiskunmajsa	Ötfa 198	Ötfa 198 , 6120 , Kiskunmajsa	46,5195179	19,742562
Bács-Kiskun	HU 331 TH 00108	Minkó István	6120	Kiskunmajsa	Ágasegyháza d. 294	Ágasegyháza d. 294 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00109	Nagy Ferenc	6120	Kiskunmajsa	hrsz.0475/28	hrsz.0475/28 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00111	Patyi László	6120	Kiskunmajsa	Kőkút 98	Kőkút 98 , 6120 , Kiskunmajsa	46,5230091	19,7464667
Bács-Kiskun	HU 331 TH 00112	Nagy Ignácz Istvánné	6120	Kiskunmajsa	Kígyós u. 174/a.	Kígyós u. 174/a. , 6120 , Kiskunmajsa	46,4041559	19,7702369
Bács-Kiskun	HU 331 TH 00113	Patyi László Zoltán	6120	Kiskunmajsa	Fecske u. 2	Fecske u. 2 , 6120 , Kiskunmajsa	46,4894639	19,7292009
Bács-Kiskun	HU 331 TH 00114	Szikora Alajos Imréné	6120	Kiskunmajsa	Ötfa 164	Ötfa 164 , 6120 , Kiskunmajsa	46,5195179	19,742562
Bács-Kiskun	HU 331 TH 00115	Szikora János	6120	Kiskunmajsa	hrsz.0394/8	hrsz.0394/8 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00116	Tandari Lászlóné	6120	Kiskunmajsa	Kígyós 124	Kígyós 124 , 6120 , Kiskunmajsa	46,4041559	19,7702369
Bács-Kiskun	HU 331 TH 00117	Tari Raduán Zoltán	6120	Kiskunmajsa	Konyha d. 45	Konyha d. 45 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00118	Tisóczki László	6120	Kiskunmajsa	Ötfa T. 22	Ötfa T. 22 , 6120 , Kiskunmajsa	46,5195179	19,742562
Bács-Kiskun	HU 331 TH 00119	Varga Béla	6120	Kiskunmajsa	Konyha d. T.5	Konyha d. T.5 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00120	Varga István	6120	Kiskunmajsa	hrsz.0422/9	hrsz.0422/9 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00121	Varga Tamás	6120	Kiskunmajsa	hrsz.0418/9	hrsz.0418/9 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00122	Vargáné Vikor Henrietta	6120	Kiskunmajsa	hrsz.0418/9	hrsz.0418/9 , 6120 , Kiskunmajsa	46,4904848	19,7366569
Bács-Kiskun	HU 331 TH 00123	Zádori Károly György	6120	Kiskunmajsa	Kígyós 141	Kígyós 141 , 6120 , Kiskunmajsa	46,4041559	19,7702369
Bács-Kiskun	HU 331 TH 00124	Zádori Nándor	6120	Kiskunmajsa	hrsz.4505	hrsz.4505 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00125	Zsolnai László Norbert	6120	Kiskunmajsa	Ágasegyháza 82	Ágasegyháza 82 , 6120 , Kiskunmajsa	46,8386043	19,4502899
Bács-Kiskun	HU 331 TH 00126	Albus Unicornis	6100	Kiskunfélegyháza	hrsz 0511/29	hrsz 0511/29 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00127	Csillag Zoltán	6100	Kiskunfélegyháza	hrsz 022/10	hrsz 022/10 , 6100 , Kiskunfélegyháza	46,7112802	19,8515196
Bács-Kiskun	HU 331 TH 00128	Lengyel Levente	6100	Kiskunfélegyháza	hrsz 0532/2	hrsz 0532/2 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00129	Tajti Péterné	6100	Kiskunfélegyháza	IX. ker. 156/A.	IX. ker. 156/A. , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00130	Vági Judit Katalin	6100	Kiskunfélegyháza	hrsz 0532/2	hrsz 0532/2 , 6100 , Kiskunfélegyháza	46,7108345	19,8529733
Bács-Kiskun	HU 331 TH 00131	Németh Géza	6112	Pálmonostora	Postaházi dűlő 2.	Postaházi dűlő 2. , 6112 , Pálmonostora	46,5901951	19,9228043
Bács-Kiskun	HU 331 TH 00132	Varga Márton	6112	Pálmonostora	Postaházi dűlő 205.	Postaházi dűlő 205. , 6112 , Pálmonostora	46,5901951	19,9228043
Bács-Kiskun	HU 331 TH 00133	Bordi Erzsébet	6113	Petőfiszállás	hrsz 025/18.	hrsz 025/18. , 6113 , Petőfiszállás	46,6241671	19,8585091
Bács-Kiskun	HU 331 TH 00134	Bordi Géza	6113	Petőfiszállás	tanya 480.	tanya 480. , 6113 , Petőfiszállás	46,6191794	19,8602483
Bács-Kiskun	HU 331 TH 00135	Csenki János	6113	Petőfiszállás	tanya 298	tanya 298 , 6113 , Petőfiszállás	46,6241671	19,8585091
Bács-Kiskun	HU 331 TH 00136	Czakó Flórián János	6113	Petőfiszállás	tanya 649	tanya 649 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00137	Czakó Flóriánné	6113	Petőfiszállás	tanya 651	tanya 651 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00138	Dósa Lajos	6113	Petőfiszállás	tanya 482	tanya 482 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00139	Fekete Ferenc	6113	Petőfiszállás	Kossuth Lajos u. 87	Kossuth Lajos u. 87 , 6113 , Petőfiszállás	46,6246807	19,8583263
Bács-Kiskun	HU 331 TH 00141	Nemes-Nagy László	6113	Petőfiszállás	tanya 95	tanya 95 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00142	Palotás János	6113	Petőfiszállás	tanya 570	tanya 570 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00143	Pintér Lászlóné	6113	Petőfiszállás	tanya 454	tanya 454 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00144	Seres József	6113	Petőfiszállás	hrsz 024/34.	hrsz 024/34. , 6113 , Petőfiszállás	46,6241671	19,8585091
Bács-Kiskun	HU 331 TH 00145	Seres József Attiláné	6113	Petőfiszállás	tanya 288.	tanya 288. , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00146	Seres Józsefné	6113	Petőfiszállás	hrsz 024/34	hrsz 024/34 , 6113 , Petőfiszállás	46,6241671	19,8585091
Bács-Kiskun	HU 331 TH 00147	Seres Mihály László	6113	Petőfiszállás	tanya 492	tanya 492 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00148	Szabó János	6113	Petőfiszállás	tanya 500	tanya 500 , 6113 , Petőfiszállás	46,6191794	19,8602483
Bács-Kiskun	HU 331 TH 00149	Török Károly	6113	Petőfiszállás	tanya 627	tanya 627 , 6113 , Petőfiszállás	46,6122305	19,8438834
Bács-Kiskun	HU 331 TH 00150	Vizhányó Pál	6113	Petőfiszállás	Petőfi Sándor u. 17	Petőfi Sándor u. 17 , 6113 , Petőfiszállás	46,6191243	19,8620721
Bács-Kiskun	HU 331 TH 00151	Szilágyi Biró László Mihályné	6120	Kiskunmajsa	Bodoglár 55.	Bodoglár 55. , 6120 , Kiskunmajsa	46,5150179	19,655234
Bács-Kiskun	HU 331 TH 00152	Czinkóczi Sándorné	6120	Kiskunmajsa	Konyha dűlő 68.	Konyha dűlő 68. , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00153	Harkai Balázsné	6120	Kiskunmajsa	Bodoglár 60.	Bodoglár 60. , 6120 , Kiskunmajsa	46,5150179	19,655234
Bács-Kiskun	HU 331 TH 00154	Hegedűs János	6120	Kiskunmajsa	hrsz 0585/4	hrsz 0585/4 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00155	Kóbor Lajos	6120	Kiskunmajsa	Konyha dűlő 116	Konyha dűlő 116 , 6120 , Kiskunmajsa	46,4978287	19,6995589
Bács-Kiskun	HU 331 TH 00156	Kurgyis Lajos	6120	Kiskunmajsa	Bodoglár 52.	Bodoglár 52. , 6120 , Kiskunmajsa	46,5150179	19,655234
