Nr	Namn	Postadress	Kommun	Län	Kategori	Övrig verksamhet	Djurslag	Kontrollerande myndighet	lat	lng
036	Rögla Slakteri AB	Gamla Lundavägen 971, 271 91 Ystad	YSTAD	SKÅNE LÄN	SH CP	\N	B C O P	Livsmedelsverket	55.5087557	13.6655384
037	Knorrevången Slakt AB	Box 37, 280 64 Glimåkra	ÖSTRA GÖINGE	SKÅNE LÄN	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B C O P S wU	Livsmedelsverket	56.3138175	14.152172
041	KLS Ugglarps AB	Metallgatan 4, 242 35 Hörby	HÖRBY	SKÅNE LÄN	SH CP	CS(kf)	B C O P	Livsmedelsverket	55.8606427	13.6691904
046	Ragnar Johanssons Kött & Chark AB	Metallvägen 10, 294 71 Sölvesborg	SÖLVESBORG	BLEKINGE	SH CP GHE MM PP(mp)	IV-CP IV-GHE V-MM VI-PP(mp) I-SH I-CP	B C O P S wU	Livsmedelsverket	56.0460016	14.6664642
048	KLS Ugglarps AB	Box 110, 516 22 Dalsjöfors	BORÅS	VÄSTRA GÖTALANDS LÄN	SH CP MP MM PP(st)	V-MP V-MM XIII-PP(st) CS(i) I-SH I-CP	B P	Livsmedelsverket	57.7177221	13.1027255
050	Nyhléns & Hugosons Kött AB	Öden 215, 870 32 Ullånger	KRAMFORS	VÄSTERNORRLAND	SH CP	\N	B C O S	Livsmedelsverket	63.0044579	18.2044798
051	KLS Ugglarps AB	Box 932, 391 29 Kalmar	KALMAR	KALMAR	SH CP MP MM PP(mp) PP PP(st)	V-MP V-MM VI-PP(mp) XIII-PP(st) VIII-PP CS(kf) I-SH I-CP	B C O P	Livsmedelsverket	56.6634447	16.3567791
052	Hygns Vilt	c/o Ulf Christer Höglund, Hygns gård, 681 93 Kristinehamn	KRISTINEHAMN	VÄRMLAND	CP GHE MM	IV-CP IV-GHE V-MM CS(kf) I-CP	B O wU	Livsmedelsverket	59.110286	14.048071
053	HKScan Sweden AB	-, 581 92 Linköping	LINKÖPING	ÖSTERGÖTLAND	SH CP MM PP(st)	V-MM XIII-PP(st) I-SH I-CP	B C O S P	Livsmedelsverket	58.410807	15.6213728
060	David Karlgrens Slakteri AB	Box 820 , 982 28 GÄLLIVARE	GÄLLIVARE	NORRBOTTEN	SH CP GHE MP MM PP	III-SH III-CP IV-CP IV-GHE V-MP V-MM VIII-PP CS(i) I-SH I-CP	B O S fG wU wG	Livsmedelsverket	67.1379	20.6593618
065	Delsbo Slakteri	Fredrikfors 25, 824 72 DELSBO	HUDIKSVALL	GÄVLEBORG	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B C O P S wU wG	Livsmedelsverket	61.7886341	16.6201694
068	Landerstedts slakteri och vilthantering	Linnévägen 5, 738 50 NORBERG	NORBERG	VÄSTMANLAND	SH CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-SH I-CP	B C O P S wU wG	Livsmedelsverket	60.0821667	15.9446867
069	Ängavallen AB	Ängavallens Gård, 235 91 Vellinge	VELLINGE	SKÅNE LÄN	SH	\N	B O P	Livsmedelsverket	55.4396803	13.032145
078	Gotlands Slagteri AB	Lundbygatan 6, 621 41 Visby	GOTLAND	GOTLAND	SH CP GHE MP MM PP(st)	III-SH IV-GHE V-MP V-MM XIII-PP(st) I-SH I-CP	B O P wU	Livsmedelsverket	57.6362847	18.3374941
080	HKScan Sweden AB	-, 291 81 Kristianstad	KRISTIANSTAD	SKÅNE LÄN	SH CP MSM PP(st)	V-MSM XIII-PP(st) I-SH I-CP	P	Livsmedelsverket	55.9890866	14.0726645
081	HKScan Sweden AB	-, 532 89 Skara	SKARA	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(i) I-CP	B O P	Livsmedelsverket	58.3860128	13.4393281
082	A J Dahlberg Slakteri AB	Box 8, 464 06 Brålanda	VÄNERSBORG	VÄSTRA GÖTALANDS LÄN	SH CP	\N	B O P	Livsmedelsverket	58.5622759	12.351997
084	AB Ginsten Slakteri	Plönninge 476, 305 61 Harplinge	HALMSTAD	HALLAND	SH CP MP MM MSM PP(mp)	V-MP V-MM V-MSM VI-PP(mp) CS(kf) I-SH I-CP	P B	Livsmedelsverket	56.7364135	12.7450088
095	Tvärskogs Vilt AB	Igersdela 103, 388 93 LJUNGBYHOLM	KALMAR	KALMAR	CP GHE MM	IV-CP IV-GHE V-MM I-CP	B C O P wU wL wA	Livsmedelsverket	56.6581484	16.003936
096	Ickholmens slakteri	c/o Nya Siljans Chark AB,  Box 62, 792 21 Mora	RÄTTVIK	DALARNAS LÄN	SH CP MM	V-MM I-SH I-CP	B C O P S	Livsmedelsverket	60.9874168	14.5295093
098	Alviksgården Lantbruks AB	Alviksgården 190, 975 92 LULEÅ	LULEÅ	NORRBOTTEN	SH CP MM	V-MM I-SH I-CP	P B O S	Livsmedelsverket	65.5585576	21.7494154
110	Jämtlandsgården Livsmedel AB	Kvarngatan 2, 83341 Hammerdal	STRÖMSUND	JÄMTLAND	SH CP MP MM	III-CP IV-CP V-MP V-MM I-SH I-CP	B O P S fG wU	Livsmedelsverket	63.5736076	15.3572403
111	Närkes Slakteri i Gällersta AB	Attersta 426, 705 94 Örebro	ÖREBRO	ÖREBRO	SH	\N	B S	Livsmedelsverket	59.1955011	15.2240422
118	Skövde Slakteri AB	Box 76, 541 22 Skövde	SKÖVDE	VÄSTRA GÖTALANDS LÄN	SH CP MM	V-MM I-SH I-CP	B P S	Livsmedelsverket	58.3902782	13.8461208
120	Ello i Lammhult Slakt AB	Värnamovägen 43, 363 44 Lammhult	VÄXJÖ	KRONOBERG	SH CP	\N	B S	Livsmedelsverket	57.1620729	14.5668027
121	KLS Ugglarps AB	Metallgatan 4, 242 35 Hörby	TRELLEBORG	SKÅNE LÄN	SH CP	CS(kf)	P B	Livsmedelsverket	55.8606427	13.6691904
135	Appeltorps Lamm & Vilt	c/o Lars Ipsen, Appeltorp 519, 273 93 Tomelilla	TOMELILLA	SKÅNE LÄN	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	C O wU	Livsmedelsverket	55.5948199	13.993011
141	Polarica Vilt AB	Grundnäs 7, 935 93 NORSJÖ	MALÅ	VÄSTERBOTTEN	SH CP GHE	IV-CP IV-GHE III-SH III-CP	fG wU	Livsmedelsverket	65.1317066	19.3024462
144	BJ Slakt Chark och Gårdsbutik	c/o Bengt Olsson, Trekantsvägen 1, 372 61 Bräkne-Hoby	RONNEBY	BLEKINGE	SH	\N	B O P S	Livsmedelsverket	56.2304292	15.1136737
147	Slakteriet Sjöbo AB	Brockamöllevägen 69, 275 64 Blentarp	SJÖBO	SKÅNE LÄN	SH CP MM	V-MM CS(kf) I-SH I-CP	B C O	Livsmedelsverket	55.5749661	13.6000041
148	Sahlins Struts	c/o Gunnar Sahlin, Sveden 1, 781 92 Borlänge	BORLÄNGE	DALARNAS LÄN	SH CP GHE MP MM PP(mp)	III-SH II-SH III-CP IV-CP II-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B O P S R A wU	Livsmedelsverket	60.455032	15.495121
149	Rinkeby Gård	c/o Magnus Johansson, Rinkeby 2, 611 96 Jönåker	NYKÖPING	SÖDERMANLAND	SH CP GHE MM	III-SH II-SH III-CP IV-CP II-CP IV-GHE V-MM I-SH I-CP	B C O P S R A wU	Livsmedelsverket	58.7559024	16.6994078
150	Skånska Vilt AB	Pl 1399 B, Sjunkaröd, 288 90 Vinslöv	HÄSSLEHOLM	SKÅNE LÄN	SH CP GHE MP MM	III-SH III-CP IV-CP IV-GHE V-MP V-MM I-SH I-CP	B C O P S fG wU wL wA wG	Livsmedelsverket	56.1441659	13.9028121
154	Arne Olsson	Timmershult 14, 312 52 Knäred	LAHOLM	HALLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU wG	Livsmedelsverket	56.5045939	13.2516991
155	Johannesdal Viltgård	c/o Fredrik Olsson, Mariehov Lillsjön 1, 605 94 Norrköping	SÖDERKÖPING	ÖSTERGÖTLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.5347393	16.289541
157	Hanaskogs Gods	c/o Carl de Geer, 289 50 Hanaskog	ÖSTRA GÖINGE	SKÅNE LÄN	CP GHE	\N	wU wL	Livsmedelsverket	56.1490133	14.1137885
158	Strömbergs Jakt & Vilt	c/o Jan Strömberg, Maglehultsvägen 275, 291 92 Kristianstad	KRISTIANSTAD	SKÅNE LÄN	GHE	\N	wU wL	Livsmedelsverket	56.0279049	13.9007102
159	Trolle Ljungby AB	Trolle Ljungbyvägen, 291 69 Fjälkinge	KRISTIANSTAD	SKÅNE LÄN	CP GHE MM	IV-CP III-CP IV-GHE V-MM I-CP	B O P wU wL wA fG	Livsmedelsverket	56.0200148	14.3715308
165	Eriksberg Vilt & Natur AB	Guöviksvägen 353, 374 96 Trensum	KARLSHAMN	BLEKINGE	CP GHE MM	V-MM IV-CP IV-GHE	wU wA	Livsmedelsverket	56.1800671	15.0031006
170	Norrgården 66	Norrgården 66, 591 90 Tjällmo	MOTALA	ÖSTERGÖTLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.7152588	15.3585395
171	Äleby Gård	Äleby Gård, Herrgården, 645 97 STALLARHOLMEN	STRÄNGNÄS	SÖDERMANLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	59.4251093	17.252356
172	Söderåshjort AB	Stora Bjärnarps Gård, 268 78 Kågeröd	SVALÖV	SKÅNE LÄN	GHE	\N	wU	Livsmedelsverket	55.9794728	13.0282608
173	Svenska Jägareförbundet	Öster-Malma 1, 611 91 Nyköping	NYKÖPING	SÖDERMANLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU wL wA wG	Livsmedelsverket	58.950833	17.158055
176	Viltboden i Boarp	c/o Stig Andersson, Boarp Norregård, 314 92 Långaryd	HYLTE	HALLAND	CP GHE MM	V-MM IV-CP IV-GHE	wU wL	Livsmedelsverket	57.10224	13.374299
178	Torpa Gård	c/o Pehr Zethelius, Torpa Gård, 514 52 LÄNGHEM	TRANEMO	VÄSTRA GÖTALANDS LÄN	CP GHE	\N	wU wL	Livsmedelsverket	57.649957	13.2793852
179	Wibyholms Godsförvaltning	c/o Axel Öberg, Vibyholm, 649 91 SPARREHOLM	FLEN	SÖDERMANLAND	GHE	\N	wU wL wA	Livsmedelsverket	58.9915279	16.8638293
184	Munkedal Skog AB	Sörbygdsvägen 1, 455 33 Munkedal	MUNKEDAL	VÄSTRA GÖTALANDS LÄN	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.4843275	11.6982712
186	EG Vilt	c/o Fritz Erland Gustafson, Slåttan 7, 912 92 Vilhelmina	VILHELMINA	VÄSTERBOTTEN	CP GHE MP MM PP(mp) PP	IV-CP IV-GHE V-MP V-MM VI-PP(mp) VIII-PP III-CP	fG wU wG	Livsmedelsverket	64.7152016	16.5792956
187	Nils Arne Nilsén	Renålandet 250, 833 94 Strömsund	STRÖMSUND	JÄMTLAND	SH CP GHE MP MM PP(mp)	III-SH III-CP IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	O fG wU wG wA	Livsmedelsverket	63.9823241	15.2778132
188	Roslagens Slakt och Chark AB	Harbroholms gårdsväg 15, 763 93 SKEBOBRUK	NORRTÄLJE	STOCKHOLM	SH CP GHE MP MM PP(mp) PP(pap)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) VI-PP(pap) I-SH I-CP	B C O P wU	Livsmedelsverket	59.9628068	18.6065454
189	Firma Göran Jonsson	Sandås 204, 924 94 Sorsele	SORSELE	VÄSTERBOTTEN	CP GHE MM	IV-CP IV-GHE V-MM III-CP	fG wU wG	Livsmedelsverket	65.5967228	17.4115513
190	Livsmedelsförädling i Lyckan AB	Lyckan 101, 921 91 Lycksele	LYCKSELE	VÄSTERBOTTEN	CP GHE MP MM PP(mp)	III-CP IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-CP	B O P fG wU	Livsmedelsverket	64.6375814	18.678438
193	Tavastboda gårdsslakteri AB	Tavastbodavägen 100, 139 60 VÄRMDÖ	VÄRMDÖ	STOCKHOLM	SH CP MM	V-MM I-SH I-CP	B O	Livsmedelsverket	59.2628661	18.6391289
195	Karelius & Co AB	Skålmo 20, 780 64 Lima	MALUNG	DALARNAS LÄN	GHE	\N	wU wG	Livsmedelsverket	60.9485513	13.3535224
198	Varekils Slakteri AB	Bäcken Killingehagen 150, 451 97 UDDEVALLA	ORUST	VÄSTRA GÖTALANDS LÄN	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B C O S wU	Livsmedelsverket	58.3183907	11.6335646
202	Delicious Food Sweden AB	Växelgatan 1, 274 30 Skurup	SKURUP	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.479949	13.4845537
210	MOAB	Marsvägen 5, 692 34 Kumla	KUMLA	ÖREBRO	CP MP PP(mp)	V-MP VI-PP(mp) I-CP	P	Livsmedelsverket	59.1295864	15.1190881
213	Charkprodukter i Billesholm	Järnyxegatan 5, 213 75 Malmö	MALMÖ	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.5626354	13.0375829
214	Lecora AB	Kvarnbacksvägen 6, 592 41 Vadstena	VADSTENA	ÖSTERGÖTLAND	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	58.44225	14.9093906
216	Engvall & Aug. falk Nya Charkuteri AB	Box 5163, 121 18 JOHANNESHOV	STOCKHOLM	STOCKHOLM	CP	\N	B	Livsmedelsverket	59.2964153	18.0755919
217	HKScan Sweden AB	Spårvägen 5, 302 41 Halmstad	HALMSTAD	HALLAND	PP(mp)	\N	\N	Livsmedelsverket	56.6787289	12.7980315
232	Orkla Foods Sverige AB	-  , 241 81 Eslöv	ESLÖV	SKÅNE LÄN	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	55.8391198	13.3033914
237	Gunnar Dafgård AB	Källby, 531 82 Källby	GÖTENE	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp) FFPP PP	V-MP V-MM VI-PP(mp) VIII-FFPP VIII-PP CS(kf) I-CP	B P	Livsmedelsverket	58.5096561	13.3020375
239	Årsta Kött AB	Hallvägen 17-19, 121 62 Johanneshov	STOCKHOLM	STOCKHOLM	CP	\N	B	Kommunen	59.2907074	18.0792876
243	Falkbolagen AB	Stillmansgatan 11, 212 25 MALMÖ	MALMÖ	SKÅNE LÄN	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	55.6226217	13.0546337
245	Svea Kött i Malmö AB	Käglingevägen 27, 213 76 Malmö	MALMÖ	SKÅNE LÄN	CP MP	V-MP CS(kf) I-CP	P	Livsmedelsverket	55.5596476	13.0576394
248	Bring Frigo AB	Box 912, 251 09 Helsingborg	HELSINGBORG	SKÅNE LÄN	CS(f) CS(i) CS(k) MP	V-MP 0-CS(f) 0-CS(i) 0-CS(k)	\N	Livsmedelsverket	56.0464674	12.6945121
250	Atria Sverige AB	. , 697 80 Sköllersta	HALLSBERG	ÖREBRO	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	59.136488	15.3391517
251	Bröderna Nilsson Delikatesser AB	Box 8894, 402 72 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP PP(mp)	V-MP VI-PP(mp) I-CP	P	Livsmedelsverket	57.70887	11.97456
253	Bring Frigo AB	Hallmästarvägen 1-5, 121 62 Johanneshov	STOCKHOLM	STOCKHOLM	CS(f) CS(k)	\N	\N	Kommunen	59.2894266	18.0792987
254	Atria Sverige AB	Box 940, 501 10 Borås	BORÅS	VÄSTRA GÖTALANDS LÄN	PP(mp)	\N	\N	Livsmedelsverket	57.721035	12.939819
257	Qibbla Halal Kött AB	Skarprättarvägen 1, 176 77 Järfälla	JÄRFÄLLA	STOCKHOLM	CP MM	V-MM CS(kf) I-CP	O	Livsmedelsverket	59.4651644	17.8170301
263	Orkla Foods Sverige AB	Fabriksvägen 1, 786 33 Vansbro	VANSBRO	DALARNAS LÄN	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	60.5061396	14.2399985
264	Gudruns AB	Box 31, 121 25 STOCKHOLM-GLOBEN	STOCKHOLM	STOCKHOLM	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) CS(kf) CS(i) I-CP	B	Kommunen	59.2935725	18.0835501
267	La Ferme Landaise Import & Export AB	Hallvägen 19, 121 62 Johanneshov	STOCKHOLM	STOCKHOLM	CP MM	IV-CP V-MM I-CP	B P wU wA	Kommunen	59.2902906	18.0798006
270	Nolgren & Olsson Kött AB	Transportvägen 18, 241 38 Eslöv	ESLÖV	SKÅNE LÄN	CP MP MM	V-MP V-MM CS(kf) I-CP	P	Livsmedelsverket	55.8296616	13.3300598
272	Atria Sverige AB	Östanåkravägen 2, 342 62 Moheda	ALVESTA	KRONOBERG	PP(mp)	\N	\N	Livsmedelsverket	57.020414	14.5719231
276	Bergslagsdelikatesser i Lindesberg AB	Löpargatan 6, 711 34 Lindesberg	LINDESBERG	ÖREBRO	CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-CP	B O P wU wL wA wG	Livsmedelsverket	59.6050833	15.2039503
283	AB K A Lundgren	Box 2018, 424 02 Angered	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	RW CS(k)	\N	\N	Kommunen	57.7992121	12.0526583
299	Johanneshovs Slakthusfrys	Kilowattvägen 4, 136 44 HANDEN	HANINGE	STOCKHOLM	CS(f) CS(k)	\N	\N	Livsmedelsverket	59.1628073	18.1600189
305	Allt om Vilt i Vrena AB	Lilla Stentorp, 611 98 VRENA	NYKÖPING	SÖDERMANLAND	CP GHE MM PP(mp)	V-MM VI-PP(mp) CS(kf) CS(i) IV-CP IV-GHE	wU wA	Livsmedelsverket	58.8696734	16.7285819
307	Rusksele Rökeri	Vindelälvsvägen 45 A, 921 94 RUSKSELE	LYCKSELE	VÄSTERBOTTEN	CP GHE MM PP(mp)	III-CP IV-CP IV-GHE V-MM VI-PP(mp) I-CP	B O P fG wU wG	Livsmedelsverket	64.8136231	18.8922605
309	Franks Vilt och Rökeri	Granbäck, Granängen, 661 95 Värmlands Nysäter	SÄFFLE	VÄRMLAND	CP GHE MM PP(mp) PP	V-MM VI-PP(mp) VIII-PP IV-CP IV-GHE	wU	Livsmedelsverket	59.2719679	12.7711617
310	Vilt & Gårdsprodukter i Katrineholm	c/o Kristina Lekström, Båltsnäs 3, 641 92 Katrineholm	KATRINEHOLM	SÖDERMANLAND	SH CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-SH I-CP	C O P wU	Livsmedelsverket	58.938384	16.1732322
311	Kälarne Vilt	c/o Tomas Nilsson, Igersdela 103, 388 93 Ljungbyholm	BRÄCKE	JÄMTLAND	GHE	\N	wU wG	Livsmedelsverket	56.6581484	16.003936
313	BillerudKorsnäs Skog & Industri AB	c/o Uno Brinnen, BillerudKorsnäs Skog & Industri Aktiebolag, 801 81 Gävle	ÅRE	JÄMTLAND	GHE	\N	wU wG	Livsmedelsverket	60.6748796	17.1412726
314	Richard Tengström	Tingsgården 2, 467 92 Grästorp	GRÄSTORP	VÄSTRA GÖTALANDS LÄN	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	58.3042641	12.6285662
320	Hjortseryd Skogar AB	c/o AB Axel Granlund Skeppsbron 3, 211 20 Malmö	LJUNGBY	KRONOBERG	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	55.6149189	13.0054035
321	Ekovilt i Sverige AB	Lönashultsvägen 8, 342 53 Lönashult	ALVESTA	KRONOBERG	SH CP GHE MM	III-CP IV-CP IV-GHE V-MM I-SH I-CP	O fG wU	Livsmedelsverket	56.6441016	14.5205954
323	Kalvs Viltslakteri HB	Prästgården 2 Kyrkbyn, 512 61 KALV	SVENLJUNGA	VÄSTRA GÖTALANDS LÄN	CP GHE	\N	wU	Livsmedelsverket	57.2454592	13.0772299
326	Strömbecks Gårdsslakt och Chark	c/o Krister Strömbäck, Illstorp 904, 273 57 Brösarp	SJÖBO	SKÅNE LÄN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B C O P S wU	Livsmedelsverket	55.7528336	13.9319555
327	Frostvikens Jordbruksutveckling	c/o Magnus Olsson, Jormvattnet 730, 833 98 Gäddede	STRÖMSUND	JÄMTLAND	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B O wU wG	Livsmedelsverket	64.7199364	14.043699
328	Basunda Gård Slakteri AB	Basunda Gård, 590 46 RIMFORSA	KINDA	ÖSTERGÖTLAND	SH CP GHE MP MM	IV-CP IV-GHE V-MP V-MM I-SH I-CP	B C O P S wU wA	Livsmedelsverket	58.0373944	15.9435571
329	Jordsläta Södergård HB	Jordslätavägen 33, 387 93 BORGHOLM	BORGHOLM	KALMAR	SH CP GHE MM	IV-CP IV-GHE V-MM I-SH I-CP	B O P wU	Livsmedelsverket	56.7829506	16.6774301
330	Bisonfarmen i Gate	c/o Simon Althaus Bruder, Mobolet Mohem, 544 94 Hjo	HJO	VÄSTRA GÖTALANDS LÄN	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B wU	Livsmedelsverket	58.1731519	14.1601954
333	Signal & Andersson Charkuterifabrik AB	Box 9133, 400 93 Göteborg	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	CP MP MM PP(mp) PP(bl)	IV-CP V-MP V-MM VI-PP(mp) VI-PP(bl) I-CP	B O P wU	Livsmedelsverket	57.70887	11.97456
335	De Vilda AB	Stensta 5, 153 91 Järna	SÖDERTÄLJE	STOCKHOLM	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	B C O P wU wG	Livsmedelsverket	59.0639325	17.6063378
337	Sörby Slakteri & Styck AB	Sörby 225, 744 91 Heby	HEBY	UPPSALA	SH CP GHE MM	III-CP IV-CP IV-GHE V-MM I-SH I-CP	B C O P S fG wU	Livsmedelsverket	59.9015106	16.8956682
338	Lindås Lamm	c/o Elsa Lund-Magnussen, Lindås 305, 655 94 Karlstad	KARLSTAD	VÄRMLAND	SH CP GHE MP MM PP(mp)	IV-CP IV-GHE V-MP V-MM VI-PP(mp) I-SH I-CP	C O wU	Livsmedelsverket	59.4798354	13.7169766
340	Hallquist Gård Fåker	c/o Mats Hallquist, Näs-Ålsta 325, 830 22 FÅKER	ÖSTERSUND	JÄMTLAND	SH CP MM	V-MM I-SH I-CP	B O	Livsmedelsverket	62.9791707	14.5769032
341	Blekinge Hjort	c/o Hans Åke Johansson, Möljeryd 125 Norregården, 372 92 Kallinge	RONNEBY	BLEKINGE	CP GHE	\N	wU	Livsmedelsverket	56.3249797	15.2812285
342	Håkantorp Slakteri AB	Genomfartsvägen 23 Håkantorp, 534 96 Vara	VARA	VÄSTRA GÖTALANDS LÄN	SH	\N	A	Livsmedelsverket	58.3033208	12.9035021
347	Almunge Kött	Faringe Solvalla 520, 740 10 ALMUNGE	UPPSALA	UPPSALA	SH CP GHE MM	IV-GHE V-MM I-SH I-CP	B O P S wU	Livsmedelsverket	59.9549678	18.1505044
348	Bonnarps Hjortgård	Bonnarp 664, 264 53 LJUNGBYHED	KLIPPAN	SKÅNE LÄN	CP GHE MP MM	V-MP V-MM CS(kf) CS(i) IV-CP IV-GHE	wU wL wA	Livsmedelsverket	56.0742528	13.189243
349	Kils Slakteri AB	Industrigatan 1, 665 33 Kil	KIL	VÄRMLAND	CP MP MM PP(mp)	IV-CP V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P S wU	Livsmedelsverket	59.5051201	13.3075232
350	Innegårds Hjortfarm	c/o Anette Bergsman, Ramsjö 211, 820 62 Bjuråker	LJUSDAL	GÄVLEBORG	CP GHE MM	V-MM IV-CP IV-GHE	wU	Livsmedelsverket	62.1837016	15.6517459
351	Högens Fårgård AB	Högen 770, 462 93 Vänersborg	VÄNERSBORG	VÄSTRA GÖTALANDS LÄN	SH CP GHE	IV-CP IV-GHE I-SH I-CP	C O B wU wL	Livsmedelsverket	58.3340088	12.1176315
352	Riksdagsmannagården	c/o Joacim Granhof Törnerydsvägen 302, 374 96 Trensum	KARLSHAMN	BLEKINGE	SH CP GHE MM	IV-CP IV-GHE V-MM CS(kf) CS(i) I-SH I-CP	O P wU wA	Livsmedelsverket	56.2188569	15.036853
353	Viltboden Hästebråten Gård	c/o Ulf Kvarnström, Hästebråten Gård, 565 91 MULLSJÖ	MULLSJÖ	JÖNKÖPING	CP GHE	CS(kf) CS(i)	wU	Livsmedelsverket	57.9165989	13.8773175
