Commune;Codepos;Departement;INSEE
BRESSOLLES;01360;AIN;1062
BRION;01460;AIN;1063
BRIORD;01470;AIN;1064
BUELLAS;01310;AIN;1065
LA BURBANCHE;01510;AIN;1066
CEIGNES;01430;AIN;1067
CERDON;01450;AIN;1068
CERTINES;01240;AIN;1069
CESSEINS;01090;AIN;1070
CESSY;01170;AIN;1071
CEYZERIAT;01250;AIN;1072
CEYZERIEU;01350;AIN;1073
CHALAMONT;01320;AIN;1074
CHALEINS;01480;AIN;1075
CHALEY;01230;AIN;1076
CHALLES;01450;AIN;1077
CHALLEX;01630;AIN;1078
CHAMPAGNE EN VALROMEY;01260;AIN;1079
CHAMPDOR;01110;AIN;1080
CHAMPFROMIER;01410;AIN;1081
CHANAY;01420;AIN;1082
CHANEINS;01990;AIN;1083
CHANOZ CHATENAY;01400;AIN;1084
LA CHAPELLE DU CHATELARD;01240;AIN;1085
CHARANCIN;01260;AIN;1086
CHARIX;01130;AIN;1087
CHARNOZ SUR AIN;01800;AIN;1088
CHATEAU GAILLARD;01500;AIN;1089
CHATENAY;01320;AIN;1090
CHATILLON EN MICHAILLE;01200;AIN;1091
CHATILLON LA PALUD;01320;AIN;1092
CHATILLON SUR CHALARONNE;01400;AIN;1093
CHAVANNES SUR REYSSOUZE;01190;AIN;1094
CHAVANNES SUR SURAN;01250;AIN;1095
CHAVEYRIAT;01660;AIN;1096
CHAVORNAY;01510;AIN;1097
CHAZEY BONS;01300;AIN;1098
CHAZEY SUR AIN;01150;AIN;1099
CHEIGNIEU LA BALME;01510;AIN;1100
CHEVILLARD;01430;AIN;1101
CHEVROUX;01190;AIN;1102
CHEVRY;01170;AIN;1103
CHEZERY FORENS;01200;AIN;1104
CIVRIEUX;01390;AIN;1105
CIZE;01250;AIN;1106
CLEYZIEU;01230;AIN;1107
COLIGNY;01270;AIN;1108
COLLONGES;01550;AIN;1109
COLOMIEU;01300;AIN;1110
CONAND;01230;AIN;1111
CONDAMINE;01430;AIN;1112
CONDEISSIAT;01400;AIN;1113
CONFORT;01200;AIN;1114
CONFRANCON;01310;AIN;1115
CONTREVOZ;01300;AIN;1116
CONZIEU;01300;AIN;1117
CORBONOD;01420;AIN;1118
CORCELLES;01110;AIN;1119
CORDIEUX;01120;AIN;1120
CORLIER;01110;AIN;1121
CORMARANCHE EN BUGEY;01110;AIN;1122
CORMORANCHE SUR SAONE;01290;AIN;1123
CORMOZ;01560;AIN;1124
CORVEISSIAT;01250;AIN;1125
COURMANGOUX;01370;AIN;1127
COURTES;01560;AIN;1128
CRANS;01320;AIN;1129
CRAS SUR REYSSOUZE;01340;AIN;1130
CRAZ EN MICHAILLE;01200;AIN;1131
CRESSIN ROCHEFORT;01350;AIN;1133
CROTTET;01620;AIN;1134
CROZET;01170;AIN;1135
CRUZILLES LES MEPILLAT;01290;AIN;1136
CUISIAT;01370;AIN;1137
CULOZ;01350;AIN;1138
CURCIAT DONGALON;01560;AIN;1139
CURTAFOND;01310;AIN;1140
CUZIEU;01300;AIN;1141
DAGNEUX;01120;AIN;1142
DIVONNE LES BAINS;01220;AIN;1143
DOMMARTIN;01380;AIN;1144
DOMPIERRE SUR VEYLE;01240;AIN;1145
DOMPIERRE SUR CHALARONNE;01400;AIN;1146
DOMSURE;01270;AIN;1147
DORTAN;01590;AIN;1148
DOUVRES;01500;AIN;1149
DROM;01250;AIN;1150
DRUILLAT;01160;AIN;1151
ECHALLON;01130;AIN;1152
ECHENEVEX;01170;AIN;1153
ETREZ;01340;AIN;1154
EVOSGES;01230;AIN;1155
FARAMANS;01800;AIN;1156
FAREINS;01480;AIN;1157
FARGES;01550;AIN;1158
FEILLENS;01570;AIN;1159
FERNEY VOLTAIRE;01210;AIN;1160
FITIGNIEU;01260;AIN;1161
FLAXIEU;01350;AIN;1162
FOISSIAT;01340;AIN;1163
AMAREINS FRANCHELEINS CES;01090;AIN;1165
FRANS;01480;AIN;1166
GARNERANS;01140;AIN;1167
GENOUILLEUX;01090;AIN;1169
GEOVREISSIAT;01460;AIN;1170
GEOVREISSET;01100;AIN;1171
GERMAGNAT;01250;AIN;1172
GEX;01170;AIN;1173
GIRON;01130;AIN;1174
GORREVOD;01190;AIN;1175
LE GRAND ABERGEMENT;01260;AIN;1176
GRAND CORENT;01250;AIN;1177
GRANGES;01580;AIN;1178
GRIEGES;01290;AIN;1179
GRILLY;01220;AIN;1180
GROISSIAT;01810;AIN;1181
GROSLEE;01680;AIN;1182
GUEREINS;01090;AIN;1183
HAUTECOURT ROMANECHE;01250;AIN;1184
HAUTEVILLE LOMPNES;01110;AIN;1185
HOSTIAS;01110;AIN;1186
HOTONNES;01260;AIN;1187
ILLIAT;01140;AIN;1188
INJOUX GENISSIAT;01200;AIN;1189
INNIMOND;01680;AIN;1190
IZENAVE;01430;AIN;1191
IZERNORE;01580;AIN;1192
IZIEU;01300;AIN;1193
JASSANS RIOTTIER;01480;AIN;1194
JASSERON;01250;AIN;1195
JAYAT;01340;AIN;1196
JOURNANS;01250;AIN;1197
JOYEUX;01800;AIN;1198
JUJURIEUX;01640;AIN;1199
LABALME;01450;AIN;1200
LAGNIEU;01150;AIN;1202
LAIZ;01290;AIN;1203
LALLEYRIAT;01130;AIN;1204
LANCRANS;01200;AIN;1205
LANTENAY;01430;AIN;1206
LAPEYROUSE;01330;AIN;1207
LAVOURS;01350;AIN;1208
LEAZ;01200;AIN;1209
LELEX;01410;AIN;1210
LENT;01240;AIN;1211
LESCHEROUX;01560;AIN;1212
LEYMENT;01150;AIN;1213
LEYSSARD;01450;AIN;1214
LHOPITAL;01420;AIN;1215
LHUIS;01680;AIN;1216
LILIGNOD;01260;AIN;1217
LOCHIEU;01260;AIN;1218
LOMPNAS;01680;AIN;1219
LOMPNIEU;01260;AIN;1221
LOYES;01800;AIN;1223
LOYETTES;01360;AIN;1224
LURCY;01090;AIN;1225
LUTHEZIEU;01260;AIN;1226
MAGNIEU;01300;AIN;1227
MAILLAT;01430;AIN;1228
MALAFRETAZ;01340;AIN;1229
MANTENAY MONTLIN;01560;AIN;1230
MANZIAT;01570;AIN;1231
MARBOZ;01851;AIN;1232
MARCHAMP;01680;AIN;1233
MARIGNIEU;01300;AIN;1234
MARLIEUX;01240;AIN;1235
MARSONNAS;01340;AIN;1236
MARTIGNAT;01810;AIN;1237
MASSIEUX;01600;AIN;1238
MASSIGNIEU DE RIVES;01300;AIN;1239
MATAFELON GRANGES;01580;AIN;1240
MEILLONNAS;01370;AIN;1241
MERIGNAT;01450;AIN;1242
MESSIMY SUR SAONE;01480;AIN;1243
MEXIMIEUX;01800;AIN;1244
BOHAS MEYRIAT RIGNAT;01250;AIN;1245
MEZERIAT;01660;AIN;1246
MIJOUX;01170;AIN;1247
MIONNAY;01390;AIN;1248
MIRIBEL;01700;AIN;1249
MISERIEUX;01600;AIN;1250
MOENS;01280;AIN;1251
MOGNENEINS;01140;AIN;1252
MOLLON;01800;AIN;1253
MONTAGNAT;01250;AIN;1254
MONTAGNIEU;01470;AIN;1255
MONTANGES;01200;AIN;1257
MONTCEAUX;01090;AIN;1258
MONTCET;01310;AIN;1259
LE MONTELLIER;01800;AIN;1260
MONTHIEUX;01390;AIN;1261
MONTLUEL;01120;AIN;1262
MONTMERLE SUR SAONE;01090;AIN;1263
MONTRACOL;01310;AIN;1264
MONTREAL LA CLUSE;01460;AIN;1265
MONTREVEL EN BRESSE;01340;AIN;1266
NURIEUX VOLOGNAT;01460;AIN;1267
MURS ET GELIGNIEUX;01300;AIN;1268
NANTUA;01130;AIN;1269
NAPT;01580;AIN;1270
NATTAGES;01300;AIN;1271
NEUVILLE LES DAMES;01400;AIN;1272
NEUVILLE SUR AIN;01160;AIN;1273
LES NEYROLLES;01130;AIN;1274
NEYRON;01700;AIN;1275
NIEVROZ;01120;AIN;1276
NIVOLLET MONTGRIFFON;01230;AIN;1277
OCHIAZ;01200;AIN;1278
ONCIEU;01230;AIN;1279
ORDONNAZ;01510;AIN;1280
ORNEX;01210;AIN;1281
OUTRIAZ;01430;AIN;1282
OYONNAX;01100;AIN;1283
OZAN;01190;AIN;1284
PARCIEUX;01600;AIN;1285
PARVES;01300;AIN;1286
PASSIN;01260;AIN;1287
PERON;01630;AIN;1288
PERONNAS;01960;AIN;1289
PEROUGES;01800;AIN;1290
PERREX;01540;AIN;1291
LE PETIT ABERGEMENT;01260;AIN;1292
PEYRIAT;01430;AIN;1293
PEYRIEU;01300;AIN;1294
PEYZIEUX SUR SAONE;01140;AIN;1295
PIRAJOUX;01270;AIN;1296
PIZAY;01120;AIN;1297
PLAGNE;01130;AIN;1298
LE PLANTAY;01330;AIN;1299
LE POIZAT;01130;AIN;1300
POLLIAT;01310;AIN;1301
POLLIEU;01350;AIN;1302
PONCIN;01450;AIN;1303
PONT D AIN;01160;AIN;1304
PONT DE VAUX;01190;AIN;1305
PONT DE VEYLE;01290;AIN;1306
PORT;01460;AIN;1307
POUGNY;01550;AIN;1308
POUILLAT;01250;AIN;1309
PREMEYZEL;01300;AIN;1310
PREMILLIEU;01510;AIN;1311
PRESSIAT;01370;AIN;1312
PREVESSIN MOENS;01280;AIN;1313
PRIAY;01160;AIN;1314
PUGIEU;01510;AIN;1316
RAMASSE;01250;AIN;1317
RANCE;01390;AIN;1318
RELEVANT;01990;AIN;1319
REPLONGES;01620;AIN;1320
REVONNAS;01250;AIN;1321
REYRIEUX;01600;AIN;1322
REYSSOUZE;01190;AIN;1323
RIGNAT;01250;AIN;1324
RIGNIEUX LE FRANC;01800;AIN;1325
ROMANECHE;01250;AIN;1327
ROMANS;01400;AIN;1328
ROSSILLON;01510;AIN;1329
RUFFIEU;01260;AIN;1330
ST ALBAN;01450;AIN;1331
ST ANDRE DE BAGE;01380;AIN;1332
ST ANDRE DE CORCY;01390;AIN;1333
ST ANDRE D HUIRIAT;01290;AIN;1334
ST ANDRE LE BOUCHOUX;01240;AIN;1335
ST ANDRE SUR VIEUX JONC;01240;AIN;1336
ST BENIGNE;01190;AIN;1337
ST BENOIT;01300;AIN;1338
ST BERNARD;01600;AIN;1339
ST BOIS;01300;AIN;1340
ST CHAMP;01300;AIN;1341
STE CROIX;01120;AIN;1342
ST CYR SUR MENTHON;01380;AIN;1343
ST DENIS LES BOURG;01000;AIN;1344
ST DENIS EN BUGEY;01500;AIN;1345
ST DIDIER D AUSSIAT;01340;AIN;1346
ST DIDIER DE FORMANS;01600;AIN;1347
ST DIDIER SUR CHALARONNE;01140;AIN;1348
ST ELOI;01800;AIN;1349
ST ETIENNE DU BOIS;01370;AIN;1350
ST ETIENNE SUR CHALARONNE;01140;AIN;1351
ST ETIENNE SUR REYSSOUZE;01190;AIN;1352
STE EUPHEMIE;01600;AIN;1353
ST GENIS POUILLY;01630;AIN;1354
ST GENIS SUR MENTHON;01380;AIN;1355
ST GEORGES SUR RENON;01400;AIN;1356
ST GERMAIN DE JOUX;01130;AIN;1357
ST GERMAIN LES PAROISSES;01300;AIN;1358
ST GERMAIN SUR RENON;01240;AIN;1359
ST JEAN DE GONVILLE;01630;AIN;1360
ST JEAN DE NIOST;01800;AIN;1361
ST JEAN DE THURIGNEUX;01390;AIN;1362
ST JEAN LE VIEUX;01640;AIN;1363
ST JEAN SUR REYSSOUZE;01560;AIN;1364
ST JEAN SUR VEYLE;01290;AIN;1365
STE JULIE;01150;AIN;1366
ST JULIEN SUR REYSSOUZE;01560;AIN;1367
ST JULIEN SUR VEYLE;01540;AIN;1368
ST JUST;01250;AIN;1369
ST LAURENT SUR SAONE;01620;AIN;1370
ST MARCEL;01390;AIN;1371
ST MARTIN DE BAVEL;01510;AIN;1372
ST MARTIN DU FRENE;01430;AIN;1373
ST MARTIN DU MONT;01160;AIN;1374
ST MARTIN LE CHATEL;01310;AIN;1375
ST MAURICE DE BEYNOST;01700;AIN;1376
ST MAURICE DE GOURDANS;01800;AIN;1378
ST MAURICE DE REMENS;01500;AIN;1379
ST NIZIER LE BOUCHOUX;01560;AIN;1380
ST NIZIER LE DESERT;01320;AIN;1381
STE OLIVE;01330;AIN;1382
ST PAUL DE VARAX;01240;AIN;1383
ST RAMBERT EN BUGEY;01230;AIN;1384
ST REMY;01310;AIN;1385
ST SORLIN EN BUGEY;01150;AIN;1386
ST SULPICE;01340;AIN;1387
ST TRIVIER DE COURTES;01560;AIN;1388
ST TRIVIER SUR MOIGNANS;01990;AIN;1389
ST VULBAS;01150;AIN;1390
SALAVRE;01270;AIN;1391
SAMOGNAT;01580;AIN;1392
SANDRANS;01400;AIN;1393
SAULT BRENAZ;01150;AIN;1396
SAUVERNY;01220;AIN;1397
SAVIGNEUX;01480;AIN;1398
SEGNY;01170;AIN;1399
SEILLONNAZ;01470;AIN;1400
SERGY;01630;AIN;1401
SERMOYER;01190;AIN;1402
SERRIERES DE BRIORD;01470;AIN;1403
SERRIERES SUR AIN;01450;AIN;1404
SERVAS;01240;AIN;1405
SERVIGNAT;01560;AIN;1406
SEYSSEL;01420;AIN;1407
SIMANDRE SUR SURAN;01250;AIN;1408
SONGIEU;01260;AIN;1409
SONTHONNAX LA MONTAGNE;01580;AIN;1410
SOUCLIN;01150;AIN;1411
SULIGNAT;01400;AIN;1412
SURJOUX;01420;AIN;1413
SUTRIEU;01260;AIN;1414
TALISSIEU;01510;AIN;1415
TENAY;01230;AIN;1416
THEZILLIEU;01110;AIN;1417
THIL;01120;AIN;1418
THOIRY;01710;AIN;1419
THOISSEY;01140;AIN;1420
TORCIEU;01230;AIN;1421
TOSSIAT;01250;AIN;1422
TOUSSIEUX;01600;AIN;1423
TRAMOYES;01390;AIN;1424
LA TRANCLIERE;01160;AIN;1425
TREFFORT CUISIAT;01370;AIN;1426
TREVOUX;01600;AIN;1427
VALEINS;01140;AIN;1428
VANDEINS;01660;AIN;1429
VARAMBON;01160;AIN;1430
VAUX EN BUGEY;01150;AIN;1431
VERJON;01270;AIN;1432
VERNOUX;01560;AIN;1433
VERSAILLEUX;01330;AIN;1434
VERSONNEX;01210;AIN;1435
VESANCY;01170;AIN;1436
VESCOURS;01560;AIN;1437
VESINES;01570;AIN;1439
VEYZIAT;01100;AIN;1440
VIEU D IZENAVE;01430;AIN;1441
VIEU;01260;AIN;1442
VILLARS LES DOMBES;01330;AIN;1443
VILLEBOIS;01150;AIN;1444
VILLEMOTIER;01270;AIN;1445
VILLENEUVE;01480;AIN;1446
VILLEREVERSURE;01250;AIN;1447
VILLES;01200;AIN;1448
VILLETTE SUR AIN;01320;AIN;1449
VILLIEU LOYES MOLLON;01800;AIN;1450
VIRIAT;01440;AIN;1451
VIRIEU LE GRAND;01510;AIN;1452
VIRIEU LE PETIT;01260;AIN;1453
VIRIGNIN;01300;AIN;1454
VOLOGNAT;01460;AIN;1455
VONGNES;01350;AIN;1456
VONNAS;01540;AIN;1457
VOUVRAY;01200;AIN;1458
CAMP DE LA VALBONNE;01360;AIN;1900
CORGENON;01310;AIN;1904
JAILLEUX;01120;AIN;1906
LA LECHERE;01120;AIN;1907
RAPAN;01120;AIN;1908
LA VALBONNE;01360;AIN;1909
CHANES;01120;AIN;1910
MARFOZ;01800;AIN;1911
LE MAS RILLIER;01700;AIN;1912
CERN SITE DE PREVESSIN;01630;AIN;1913
BROU;01000;AIN;1914
LES ECHETS;01700;AIN;1915
ABBECOURT;02300;AISNE;2001
ACHERY;02800;AISNE;2002
ACY;02200;AISNE;2003
AGNICOURT ET SECHELLES;02340;AISNE;2004
AGUILCOURT;02190;AISNE;2005
AISONVILLE ET BERNOVILLE;02110;AISNE;2006
AIZELLES;02820;AISNE;2007
AIZY JOUY;02370;AISNE;2008
ALAINCOURT;02240;AISNE;2009
ALLEMANT;02320;AISNE;2010
AMBLENY;02290;AISNE;2011
AMBRIEF;02200;AISNE;2012
AMIFONTAINE;02190;AISNE;2013
AMIGNY ROUY;02700;AISNE;2014
ANCIENVILLE;02600;AISNE;2015
ANDELAIN;02800;AISNE;2016
ANGUILCOURT LE SART;02800;AISNE;2017
ANIZY LE CHATEAU;02320;AISNE;2018
ANNOIS;02480;AISNE;2019
ANY MARTIN RIEUX;02500;AISNE;2020
ARCHON;02360;AISNE;2021
ARCY STE RESTITUE;02130;AISNE;2022
ARMENTIERES SUR OURCQ;02210;AISNE;2023
ARRANCY;02860;AISNE;2024
ARTEMPS;02480;AISNE;2025
ARTONGES;02330;AISNE;2026
ASSIS SUR SERRE;02270;AISNE;2027
ATHIES SOUS LAON;02840;AISNE;2028
ATTILLY;02490;AISNE;2029
AUBENCHEUL AUX BOIS;02420;AISNE;2030
AUBENTON;02500;AISNE;2031
AUBIGNY AUX KAISNES;02590;AISNE;2032
AUBIGNY EN LAONNOIS;02820;AISNE;2033
AUDIGNICOURT;02300;AISNE;2034
AUDIGNY;02120;AISNE;2035
AUGY;02220;AISNE;2036
AULNOIS SOUS LAON;02000;AISNE;2037
LES AUTELS;02360;AISNE;2038
AUTREMENCOURT;02250;AISNE;2039
AUTREPPES;02580;AISNE;2040
AUTREVILLE;02300;AISNE;2041
AZY SUR MARNE;02400;AISNE;2042
BAGNEUX;02290;AISNE;2043
BANCIGNY;02140;AISNE;2044
BARBONVAL;02160;AISNE;2045
BARENTON BUGNY;02000;AISNE;2046
BARENTON CEL;02000;AISNE;2047
BARENTON SUR SERRE;02270;AISNE;2048
BARISIS;02700;AISNE;2049
BARZY EN THIERACHE;02170;AISNE;2050
BARZY SUR MARNE;02850;AISNE;2051
BASSOLES AULERS;02380;AISNE;2052
BAULNE EN BRIE;02330;AISNE;2053
BAZOCHES SUR VESLES;02220;AISNE;2054
BEAUME;02500;AISNE;2055
BEAUMONT EN BEINE;02300;AISNE;2056
BEAUREVOIR;02110;AISNE;2057
BEAURIEUX;02160;AISNE;2058
BEAUTOR;02800;AISNE;2059
BEAUVOIS EN VERMANDOIS;02590;AISNE;2060
BECQUIGNY;02110;AISNE;2061
BELLEAU;02400;AISNE;2062
BELLENGLISE;02420;AISNE;2063
BELLEU;02200;AISNE;2064
BELLICOURT;02420;AISNE;2065
BENAY;02440;AISNE;2066
BERGUES SUR SAMBRE;02450;AISNE;2067
BERLANCOURT;02250;AISNE;2068
BERLISE;02340;AISNE;2069
BERNOT;02120;AISNE;2070
BERNY RIVIERE;02290;AISNE;2071
BERRIEUX;02820;AISNE;2072
BERRY AU BAC;02190;AISNE;2073
BERTAUCOURT EPOURDON;02800;AISNE;2074
BERTHENICOURT;02240;AISNE;2075
BERTRICOURT;02190;AISNE;2076
BERZY LE SEC;02200;AISNE;2077
BESME;02300;AISNE;2078
BESMONT;02500;AISNE;2079
BESNY ET LOIZY;02870;AISNE;2080
BETHANCOURT EN VAUX;02300;AISNE;2081
BEUGNEUX;02210;AISNE;2082
BEUVARDES;02130;AISNE;2083
BEZU LE GUERY;02310;AISNE;2084
BEZU ST GERMAIN;02400;AISNE;2085
BICHANCOURT;02300;AISNE;2086
BIEUXY;02290;AISNE;2087
BIEVRES;02860;AISNE;2088
BILLY SUR AISNE;02200;AISNE;2089
BILLY SUR OURCQ;02210;AISNE;2090
BLANZY LES FISMES;02160;AISNE;2091
BLERANCOURT;02300;AISNE;2093
BLESMES;02400;AISNE;2094
BOHAIN EN VERMANDOIS;02110;AISNE;2095
BOIS LES PARGNY;02270;AISNE;2096
BONCOURT;02350;AISNE;2097
BONNEIL;02400;AISNE;2098
BONNESVALYN;02400;AISNE;2099
BONY;02420;AISNE;2100
BOSMONT SUR SERRE;02250;AISNE;2101
BOUCONVILLE VAUCLAIR;02860;AISNE;2102
BOUE;02450;AISNE;2103
BOUFFIGNEREUX;02160;AISNE;2104
BOURESCHES;02400;AISNE;2105
BOURG ET COMIN;02160;AISNE;2106
BOURGUIGNON SOUS COUCY;02300;AISNE;2107
BOURGIGNON SOUS MONTBAVIN;02000;AISNE;2108
LA BOUTEILLE;02140;AISNE;2109
BRAINE;02220;AISNE;2110
BRANCOURT EN LAONNOIS;02320;AISNE;2111
BRANCOURT LE GRAND;02110;AISNE;2112
BRANGES;02130;AISNE;2113
BRASLES;02400;AISNE;2114
BRAYE EN LAONNOIS;02000;AISNE;2115
BRAYE EN THIERACHE;02140;AISNE;2116
BRAY ST CHRISTOPHE;02480;AISNE;2117
BRAYE;02880;AISNE;2118
BRECY;02210;AISNE;2119
BRENELLE;02220;AISNE;2120
BRENY;02210;AISNE;2121
BRIE;02870;AISNE;2122
BRISSAY CHOIGNY;02240;AISNE;2123
BRISSY HAMEGICOURT;02240;AISNE;2124
BRUMETZ;02810;AISNE;2125
BRUNEHAMEL;02360;AISNE;2126
BRUYERES SUR FERE;02130;AISNE;2127
BRUYERES ET MONTBERAULT;02860;AISNE;2128
BRUYS;02220;AISNE;2129
BUCILLY;02500;AISNE;2130
BUCY LE LONG;02880;AISNE;2131
BUCY LES CERNY;02870;AISNE;2132
BUCY LES PIERREPONT;02350;AISNE;2133
BUIRE;02500;AISNE;2134
BUIRONFOSSE;02620;AISNE;2135
BURELLES;02140;AISNE;2136
BUSSIARES;02810;AISNE;2137
BUZANCY;02200;AISNE;2138
CAILLOUEL CREPIGNY;02300;AISNE;2139
CAMELIN;02300;AISNE;2140
LA CAPELLE;02260;AISNE;2141
CASTRES;02680;AISNE;2142
LE CATELET;02420;AISNE;2143
CAULAINCOURT;02490;AISNE;2144
CAUMONT;02300;AISNE;2145
CELLES LES CONDE;02330;AISNE;2146
CELLE SOUS MONTMIRAIL;02540;AISNE;2147
CELLES SUR AISNE;02370;AISNE;2148
CERIZY;02240;AISNE;2149
CERNY EN LAONNOIS;02860;AISNE;2150
CERNY LES BUCY;02870;AISNE;2151
CERSEUIL;02220;AISNE;2152
CESSIERES;02320;AISNE;2153
CHACRISE;02200;AISNE;2154
CHAILLEVOIS;02000;AISNE;2155
CHALANDRY;02270;AISNE;2156
CHAMBRY;02000;AISNE;2157
CHAMOUILLE;02860;AISNE;2158
CHAMPS;02670;AISNE;2159
CHAOURSE;02340;AISNE;2160
LA CHAPELLE MONTHODON;02330;AISNE;2161
LA CHAPELLE SUR CHEZY;02570;AISNE;2162
CHARLY;02310;AISNE;2163
LE CHARMEL;02850;AISNE;2164
CHARMES;02800;AISNE;2165
CHARTEVES;02400;AISNE;2166
CHASSEMY;02370;AISNE;2167
CHATEAU THIERRY;02400;AISNE;2168
CHATILLON LES SONS;02270;AISNE;2169
CHATILLON SUR OISE;02240;AISNE;2170
CHAUDARDES;02160;AISNE;2171
CHAUDUN;02200;AISNE;2172
CHAUNY;02300;AISNE;2173
CHAVIGNON;02000;AISNE;2174
CHAVIGNY;02880;AISNE;2175
CHAVONNE;02370;AISNE;2176
CHERET;02860;AISNE;2177
CHERMIZY AILLES;02860;AISNE;2178
CHERY CHARTREUVE;02220;AISNE;2179
CHERY LES POUILLY;02000;AISNE;2180
CHERY LES ROZOY;02360;AISNE;2181
CHEVENNES;02250;AISNE;2182
CHEVREGNY;02000;AISNE;2183
CHEVRESIS MONCEAU;02270;AISNE;2184
CHEZY EN ORXOIS;02810;AISNE;2185
CHEZY SUR MARNE;02570;AISNE;2186
CHIERRY;02400;AISNE;2187
CHIGNY;02120;AISNE;2188
CHIVRES EN LAONNOIS;02350;AISNE;2189
CHIVRES VAL;02880;AISNE;2190
CHIVY LES ETOUVELLES;02000;AISNE;2191
CHOUY;02210;AISNE;2192
CIERGES;02130;AISNE;2193
CILLY;02250;AISNE;2194
CIRY SALSOGNE;02220;AISNE;2195
CLACY ET THIERRET;02000;AISNE;2196
CLAIRFONTAINE;02260;AISNE;2197
CLAMECY;02880;AISNE;2198
CLASTRES;02440;AISNE;2199
CLERMONT LES FERMES;02340;AISNE;2200
COEUVRES ET VALSERY;02600;AISNE;2201
COHAN;02130;AISNE;2202
COINCY;02210;AISNE;2203
COINGT;02360;AISNE;2204
COLLIGIS CRANDELAIN;02860;AISNE;2205
COLONFAY;02120;AISNE;2206
COMMENCHON;02300;AISNE;2207
CONCEVREUX;02160;AISNE;2208
CONDE EN BRIE;02330;AISNE;2209
CONDE SUR AISNE;02370;AISNE;2210
CONDE SUR SUIPPE;02190;AISNE;2211
CONDREN;02700;AISNE;2212
CONNIGIS;02330;AISNE;2213
CONTESCOURT;02680;AISNE;2214
CORBENY;02820;AISNE;2215
CORCY;02600;AISNE;2216
COUCY LE CHATEAU AUFFRIQU;02380;AISNE;2217
COUCY LES EPPES;02840;AISNE;2218
COUCY LA VILLE;02380;AISNE;2219
COULONGES COHAN;02130;AISNE;2220
COUPRU;02310;AISNE;2221
COURBES;02800;AISNE;2222
COURBOIN;02330;AISNE;2223
COURCELLES SUR VESLES;02220;AISNE;2224
COURCHAMPS;02810;AISNE;2225
COURMELLES;02200;AISNE;2226
COURMONT;02130;AISNE;2227
COURTEMONT VARENNES;02850;AISNE;2228
COURTRIZY ET FUSSIGNY;02820;AISNE;2229
COUVRELLES;02220;AISNE;2230
COUVRON ET AUMENCOURT;02270;AISNE;2231
COYOLLES;02600;AISNE;2232
CRAMAILLE;02130;AISNE;2233
CRAONNE;02160;AISNE;2234
CRAONNELLE;02160;AISNE;2235
CRECY AU MONT;02380;AISNE;2236
CRECY SUR SERRE;02270;AISNE;2237
CREPY;02870;AISNE;2238
CREZANCY;02650;AISNE;2239
CROIX FONSOMMES;02110;AISNE;2240
LA CROIX SUR OURCQ;02210;AISNE;2241
CROUTTES SUR MARNE;02310;AISNE;2242
CROUY;02880;AISNE;2243
CRUPILLY;02120;AISNE;2244
CUFFIES;02880;AISNE;2245
CUGNY;02480;AISNE;2246
CUGNY LES CROUTTES;02210;AISNE;2247
