 Nom Ville 	MAJ   	 Code Postal 	 Code INSEE 	Code Région	 Latitude 	 Longitude 	 Eloignement 
 Bourg-Saint-Christophe 	BOURG SAINT CHRISTOPHE 	1800	1054	82	45.883333	5.166667	1.21
 Bouvent 	BOUVENT   	1100	1055	82	46.283333	5.633333	1.21
 Boyeux-Saint-Jérôme 	BOYEUX SAINT JEROME 	1640	1056	82	46.033333	5.466667	1.27
 Boz 	BOZ   	1190	1057	82	46.4	4.9	1.91
 Brégnier-Cordon 	BREGNIER CORDON  	1300	1058	82	45.65	5.616667	2.61
 Brénaz 	BRENAZ   	1260	1059	82	45.95	5.716667	1.27
 Brénod 	BRENOD   	1110	1060	82	46.066667	5.6	1.36
 Bressolles 	BRESSOLLES   	1360	1062	82	45.866667	5.1	1.31
 Briord 	BRIORD   	1470	1064	82	45.783333	5.466667	1.81
 Buellas 	BUELLAS   	1310	1065	82	46.2	5.133333	0.73
 La Burbanche 	LA BURBANCHE  	1510	1066	82	45.85	5.566667	1.41
 Ceignes 	CEIGNES   	1430	1067	82	46.116667	5.5	1.08
 Cerdon 	CERDON   	1450	1068	82	46.083333	5.466667	0.87
 Certines 	CERTINES   	1240	1069	82	46.133333	5.266667	1.97
 Cesseins 	CESSEINS   	1090	1070	82	46.066667	4.833333	1.85
 Cessy 	CESSY   	1170	1071	82	46.316667	6.066667	2.46
 Ceyzériat 	CEYZERIAT   	1250	1072	82	46.166667	5.316667	1.15
 Ceyzérieu 	CEYZERIEU   	1350	1073	82	45.833333	5.733333	1.51
 Chalamont 	CHALAMONT   	1320	1074	82	46	5.166667	0.65
 Chaleins 	CHALEINS   	1480	1075	82	46.033333	4.8	1.85
 Chaley 	CHALEY   	1230	1076	82	45.95	5.533333	1.58
 Challes 	CHALLES   	1450	1077	82	46.133333	5.466667	0.42
 Challex 	CHALLEX   	1630	1078	82	46.183333	5.966667	2.12
 Champagne-en-Valromey 	CHAMPAGNE EN VALROMEY 	1260	1079	82	45.9	5.683333	1.17
 Champdor 	CHAMPDOR   	1110	1080	82	46.016667	5.6	0.87
 Champfromier 	CHAMPFROMIER   	1410	1081	82	46.2	5.816667	1.61
 Chanay 	CHANAY   	1420	1082	82	46	5.783333	1.5
 Chaneins 	CHANEINS   	1990	1083	82	46.1	4.85	1.68
 Chanoz-Châtenay 	CHANOZ CHATENAY  	1400	1084	82	46.183333	5.033333	1.06
 La Chapelle-du-Châtelard 	LA CHAPELLE DU CHATELARD	1240	1085	82	46.066667	5.033333	1.38
 Charancin 	CHARANCIN   	1260	1086	82	45.933333	5.633333	1.09
 Charix 	CHARIX   	1130	1087	82	46.183333	5.683333	1.16
 Charnoz-sur-Ain 	CHARNOZ SUR AIN 	1800	1088	82	45.866667	5.216667	1.31
 Château-Gaillard 	CHATEAU GAILLARD  	1500	1089	82	45.966667	5.3	1.1
 Châtenay 	CHATENAY   	1320	1090	82	46.033333	5.2	0.65
 Châtillon-en-Michaille 	CHATILLON EN MICHAILLE 	1200	1091	82	46.133333	5.783333	1.5
 Châtillon-la-Palud 	CHATILLON LA PALUD 	1320	1092	82	45.966667	5.25	1.39
 Châtillon-sur-Chalaronne 	CHATILLON SUR CHALARONNE 	1400	1093	82	46.116667	4.966667	1.29
 Chavannes-sur-Reyssouze 	CHAVANNES SUR REYSSOUZE 	1190	1094	82	46.433333	5	2.11
 Chavannes-sur-Suran 	CHAVANNES SUR SURAN 	1250	1095	82	46.266667	5.416667	1.14
 Chaveyriat 	CHAVEYRIAT   	1660	1096	82	46.183333	5.066667	0.98
 Chavornay 	CHAVORNAY   	1510	1097	82	45.883333	5.7	1.31
 Chazey-Bons 	CHAZEY BONS  	1300	1098	82	45.8	5.683333	1.71
 Chazey-sur-Ain 	CHAZEY SUR AIN 	1150	1099	82	45.9	5.25	1.36
 Cheignieu-La-Balme 	CHEIGNIEU LA BALME 	1510	1100	82	45.833333	5.616667	1.51
 Chevillard 	CHEVILLARD   	1430	1101	82	46.116667	5.583333	1.08
 Chevroux 	CHEVROUX   	1190	1102	82	46.383333	4.95	1.81
 Chevry 	CHEVRY   	1170	1103	82	46.283333	6.033333	2.35
 Chézery-Forens 	CHEZERY FORENS  	1200	1104	82	46.216667	5.883333	2.48
 Civrieux 	CIVRIEUX   	1390	1105	82	45.916667	4.883333	1.57
 Cize 	CIZE   	1250	1106	82	46.2	5.433333	0.72
 Cleyzieu 	CLEYZIEU   	1230	1107	82	45.9	5.433333	1.11
 Coligny 	COLIGNY   	1270	1108	82	46.383333	5.35	1.81
 Collonges 	COLLONGES   	1550	1109	82	46.133333	5.9	1.89
 Colomieu 	COLOMIEU   	1300	1110	82	45.733333	5.616667	2.11
 Conand 	CONAND   	1230	1111	82	45.883333	5.466667	1.21
 Condamine 	CONDAMINE   	1430	1112	82	46.116667	5.566667	0.76
 Condeissiat 	CONDEISSIAT   	1400	1113	82	46.166667	5.083333	1.6
 Confort 	CONFORT   	1200	1114	82	46.15	5.816667	1.61
 Confrançon 	CONFRANCON   	1310	1115	82	46.266667	5.066667	1.35
 Contrevoz 	CONTREVOZ   	1300	1116	82	45.8	5.633333	1.71
 Conzieu 	CONZIEU   	1300	1117	82	45.733333	5.6	2.11
 Corbonod 	CORBONOD   	1420	1118	82	45.95	5.816667	1.61
 Corcelles 	CORCELLES   	1110	1119	82	46.033333	5.583333	0.87
 Cordieux 	CORDIEUX   	1120	1120	82	45.916667	5.033333	1.66
 Corlier 	CORLIER   	1110	1121	82	46.033333	5.5	1.25
 Cormaranche-en-Bugey 	CORMARANCHE EN BUGEY 	1110	1122	82	45.95	5.6	0.87
 Cormoranche-sur-Saône 	CORMORANCHE SUR SAONE 	1290	1123	82	46.233333	4.833333	1.74
 Cormoz 	CORMOZ   	1560	1124	82	46.45	5.233333	2.27
 Corveissiat 	CORVEISSIAT   	1250	1125	82	46.233333	5.483333	1.58
 Courmangoux 	COURMANGOUX   	1370	1127	82	46.333333	5.366667	1.51
 Courtes 	COURTES   	1560	1128	82	46.466667	5.1	2.31
 Crans 	CRANS   	1320	1129	82	45.966667	5.216667	0.9
 Cras-sur-Reyssouze 	CRAS SUR REYSSOUZE 	1340	1130	82	46.3	5.166667	1.31
 Craz-en-Michaille 	CRAZ EN MICHAILLE 	1200	1131	82	46.033333	5.766667	1.66
 Cressin-Rochefort 	CRESSIN ROCHEFORT  	1350	1133	82	45.766667	5.766667	1.91
 Crottet 	CROTTET   	1620	1134	82	46.283333	4.9	1.51
 Cruzilles-lès-Mépillat 	CRUZILLES LES MEPILLAT 	1290	1136	82	46.216667	4.883333	1.57
 Cuisiat 	CUISIAT   	1370	1137	82	46.3	5.383333	1.31
 Culoz 	CULOZ   	1350	1138	82	45.85	5.783333	1.5
 Curciat-Dongalon 	CURCIAT DONGALON  	1560	1139	82	46.466667	5.15	2.31
 Curtafond 	CURTAFOND   	1310	1140	82	46.266667	5.083333	1.11
 Dagneux 	DAGNEUX   	1120	1142	82	45.85	5.066667	1.41
 Divonne-les-Bains 	DIVONNE LES BAINS 	1220	1143	82	46.366667	6.133333	2.69
 Dommartin 	DOMMARTIN   	1380	1144	82	46.341667	4.991667	1.56
 Dompierre-sur-Veyle 	DOMPIERRE SUR VEYLE 	1240	1145	82	46.066667	5.2	1.13
 Dompierre-sur-Chalaronne 	DOMPIERRE SUR CHALARONNE 	1400	1146	82	46.133333	4.9	1.53
 Domsure 	DOMSURE   	1270	1147	82	46.416667	5.3	2.01
 Dortan 	DORTAN   	1590	1148	82	46.316667	5.666667	1.41
 Douvres 	DOUVRES   	1500	1149	82	45.983333	5.366667	1.21
 Drom 	DROM   	1250	1150	82	46.216667	5.366667	0.8
 Druillat 	DRUILLAT   	1160	1151	82	46.066667	5.316667	0.1
 Échenevex 	ECHENEVEX   	1170	1153	82	46.316667	6.033333	2.35
 Étrez 	ETREZ   	1340	1154	82	46.333333	5.183333	1.51
 Évosges 	EVOSGES   	1230	1155	82	45.958333	5.5	-1
 Faramans 	FARAMANS   	1800	1156	82	45.9	5.116667	1.11
 Fareins 	FAREINS   	1480	1157	82	46.016667	4.766667	1.97
 Farges 	FARGES   	1550	1158	82	46.166667	5.916667	1.95
 Feillens 	FEILLENS   	1570	1159	82	46.333333	4.883333	1.57
 Ferney-Voltaire 	FERNEY VOLTAIRE  	1210	1160	82	46.25	6.116667	2.63
 Fitignieu 	FITIGNIEU   	1260	1161	82	45.933333	5.666667	1.1
 Flaxieu 	FLAXIEU   	1350	1162	82	45.816667	5.733333	1.61
 Foissiat 	FOISSIAT   	1340	1163	82	46.366667	5.183333	1.71
 Amareins Francheleins Ces 	AMAREINS FRANCHELEINS CES 	1090	1165	82	46.066667	4.8	1.85
 Frans 	FRANS   	1480	1166	82	45.983333	4.783333	1.91
 Garnerans 	GARNERANS   	1140	1167	82	46.2	4.833333	1.74
 Genouilleux 	GENOUILLEUX   	1090	1169	82	46.116667	4.783333	1.91
 Géovreissiat 	GEOVREISSIAT   	1460	1170	82	46.2	5.566667	0.76
 Géovreisset 	GEOVREISSET   	1100	1171	82	46.25	5.6	1.24
 Germagnat 	GERMAGNAT   	1250	1172	82	46.316667	5.45	2.05
 Gex 	GEX   	1170	1173	82	46.333333	6.066667	2.46
 Giron 	GIRON   	1130	1174	82	46.233333	5.766667	1.46
 Gorrevod 	GORREVOD   	1190	1175	82	46.416667	4.95	2.01
 Le Grand-Abergement 	LE GRAND ABERGEMENT 	1260	1176	82	46.033333	5.666667	1.84
 Grand-Corent 	GRAND CORENT  	1250	1177	82	46.2	5.433333	0.72
 Granges 	GRANGES   	1580	1178	82	46.233333	5.5	1.13
 Grièges 	GRIEGES   	1290	1179	82	46.25	4.85	1.68
 Grilly 	GRILLY   	1220	1180	82	46.333333	6.116667	2.63
 Groissiat 	GROISSIAT   	1810	1181	82	46.216667	5.6	0.87
 Groslée 	GROSLEE   	1680	1182	82	45.716667	5.566667	2.21
 Guéreins 	GUEREINS   	1090	1183	82	46.1	4.783333	1.91
 Hautecourt Romanèche 	HAUTECOURT ROMANECHE  	1250	1184	82	46.158333	5.416667	-1
 Hauteville-Lompnes 	HAUTEVILLE LOMPNES  	1110	1185	82	45.966667	5.6	0.87
 Hostias 	HOSTIAS   	1110	1186	82	45.9	5.533333	1.11
 Hotonnes 	HOTONNES   	1260	1187	82	46	5.683333	1.16
 Illiat 	ILLIAT   	1140	1188	82	46.183333	4.883333	1.57
 Injoux Génissiat 	INJOUX GENISSIAT  	1200	1189	82	46.05	5.783333	1.5
 Innimond 	INNIMOND   	1680	1190	82	45.783333	5.566667	1.81
 Izenave 	IZENAVE   	1430	1191	82	46.033333	5.533333	1.62
 Izernore 	IZERNORE   	1580	1192	82	46.216667	5.55	0.8
 Izieu 	IZIEU   	1300	1193	82	45.65	5.633333	2.61
 Jassans-Riottier 	JASSANS RIOTTIER  	1480	1194	82	45.983333	4.75	2.03
 Jasseron 	JASSERON   	1250	1195	82	46.216667	5.333333	0.84
 Jayat 	JAYAT   	1340	1196	82	46.366667	5.116667	1.71
 Journans 	JOURNANS   	1250	1197	82	46.15	5.333333	1.08
 Joyeux 	JOYEUX   	1800	1198	82	45.95	5.1	1.55
 Jujurieux 	JUJURIEUX   	1640	1199	82	46.033333	5.416667	0.72
 Labalme 	LABALME   	1450	1200	82	46.1	5.483333	0.78
 Lagnieu 	LAGNIEU   	1150	1202	82	45.9	5.35	1.11
 Laiz 	LAIZ   	1290	1203	82	46.25	4.883333	1.57
 Lalleyriat 	LALLEYRIAT   	1130	1204	82	46.15	5.716667	1.27
 Lancrans 	LANCRANS   	1200	1205	82	46.133333	5.833333	1.67
 Lantenay 	LANTENAY   	1430	1206	82	46.05	5.533333	1.22
 Lapeyrouse 	LAPEYROUSE   	1330	1207	82	45.983333	4.966667	1.29
 Lavours 	LAVOURS   	1350	1208	82	45.8	5.766667	1.71
 Léaz 	LEAZ   	1200	1209	82	46.1	5.883333	1.84
 Lélex 	LELEX   	1410	1210	82	46.3	5.95	2.06
 Lent 	LENT   	1240	1211	82	46.116667	5.2	1.02
 Lescheroux 	LESCHEROUX   	1560	1212	82	46.4	5.15	1.91
 Leyment 	LEYMENT   	1150	1213	82	45.916667	5.3	1
 Leyssard 	LEYSSARD   	1450	1214	82	46.166667	5.466667	1.08
 Lhuis 	LHUIS   	1680	1216	82	45.75	5.533333	2.01
 Lilignod 	LILIGNOD   	1260	1217	82	45.95	5.683333	1.16
 Lochieu 	LOCHIEU   	1260	1218	82	45.933333	5.716667	1.27
 Lompnas 	LOMPNAS   	1680	1219	82	45.8	5.516667	1.71
 Lompnieu 	LOMPNIEU   	1260	1221	82	45.966667	5.65	1.04
 Loyes 	LOYES   	1800	1223	82	45.933333	5.233333	1.19
 Loyettes 	LOYETTES   	1360	1224	82	45.766667	5.2	2.27
 Lurcy 	LURCY   	1090	1225	82	46.066667	4.766667	1.97
 Luthézieu 	LUTHEZIEU   	1260	1226	82	45.9	5.666667	1.19
 Magnieu 	MAGNIEU   	1300	1227	82	45.783333	5.716667	1.81
 Maillat 	MAILLAT   	1430	1228	82	46.133333	5.55	0.83
 Malafretaz 	MALAFRETAZ   	1340	1229	82	46.316667	5.15	1.41
 Mantenay-Montlin 	MANTENAY MONTLIN  	1560	1230	82	46.416667	5.083333	2.01
 Manziat 	MANZIAT   	1570	1231	82	46.35	4.9	1.61
 Marboz 	MARBOZ   	1851	1232	82	46.333333	5.25	1.51
 Marchamp 	MARCHAMP   	1680	1233	82	45.783333	5.55	1.81
 Marignieu 	MARIGNIEU   	1300	1234	82	45.8	5.716667	1.71
 Marlieux 	MARLIEUX   	1240	1235	82	46.066667	5.066667	0.97
 Marsonnas 	MARSONNAS   	1340	1236	82	46.333333	5.066667	1.51
 Martignat 	MARTIGNAT   	1810	1237	82	46.216667	5.6	0.87
 Massieux 	MASSIEUX   	1600	1238	82	45.916667	4.833333	1.74
 Massignieu-de-Rives 	MASSIGNIEU DE RIVES 	1300	1239	82	45.75	5.766667	2.01
 Matafelon-Granges 	MATAFELON GRANGES  	1580	1240	82	46.266667	5.566667	1.26
 Meillonnas 	MEILLONNAS   	1370	1241	82	46.25	5.35	1.08
 Mérignat 	MERIGNAT   	1450	1242	82	46.066667	5.433333	1.31
 Meximieux 	MEXIMIEUX   	1800	1244	82	45.9	5.2	1.11
 Bohas-Meyriat-Rignat 	BOHAS MEYRIAT RIGNAT 	1250	1245	82	46.133333	5.4	1.01
 Mézériat 	MEZERIAT   	1660	1246	82	46.233333	5.033333	1.23
 Mijoux 	MIJOUX   	1170	1247	82	46.366667	6	2.23
 Mionnay 	MIONNAY   	1390	1248	82	45.9	4.933333	1.4
 Misérieux 	MISERIEUX   	1600	1250	82	45.983333	4.816667	1.8
 Moëns 	MOENS   	1280	1251	82	46.266667	6.1	2.58
 Mogneneins 	MOGNENEINS   	1140	1252	82	46.133333	4.816667	1.8
 Mollon 	MOLLON   	1800	1253	82	45.95	5.25	1.59
 Montagnat 	MONTAGNAT   	1250	1254	82	46.166667	5.283333	1.62
 Montagnieu 	MONTAGNIEU   	1470	1255	82	45.8	5.466667	1.71
 Montanges 	MONTANGES   	1200	1257	82	46.166667	5.8	1.55
 Montceaux 	MONTCEAUX   	1090	1258	82	46.1	4.8	1.85
 Montcet 	MONTCET   	1310	1259	82	46.2	5.116667	0.78
 Le Montellier 	LE MONTELLIER  	1800	1260	82	45.933333	5.066667	1.96
 Monthieux 	MONTHIEUX   	1390	1261	82	45.95	4.933333	1.4
 Montluel 	MONTLUEL   	1120	1262	82	45.85	5.05	1.41
 Montmerle-sur-Saône 	MONTMERLE SUR SAONE 	1090	1263	82	46.083333	4.766667	1.97
 Montracol 	MONTRACOL   	1310	1264	82	46.183333	5.116667	0.99
 Montrevel-en-Bresse 	MONTREVEL EN BRESSE 	1340	1266	82	46.333333	5.133333	1.51
 Murs-et-Gélignieux 	MURS ET GELIGNIEUX 	1300	1268	82	45.633333	5.666667	2.71
 Nantua 	NANTUA   	1460	1269	82	46.15	5.616667	1.6
 Napt 	NAPT   	1580	1270	82	46.2	5.5	1.49
 Nattages 	NATTAGES   	1300	1271	82	45.733333	5.766667	2.11
 Neuville-les-Dames 	NEUVILLE LES DAMES 	1400	1272	82	46.166667	5	1.17
 Neuville-sur-Ain 	NEUVILLE SUR AIN 	1160	1273	82	46.083333	5.366667	1.28
 Les Neyrolles 	LES NEYROLLES  	1130	1274	82	46.133333	5.633333	2
 Nièvroz 	NIEVROZ   	1120	1276	82	45.833333	5.066667	1.51
 Nivollet-Montgriffon 	NIVOLLET MONTGRIFFON  	1230	1277	82	45.983333	5.433333	1.42
 Ochiaz 	OCHIAZ   	1200	1278	82	46.116667	5.783333	1.5
 Oncieu 	ONCIEU   	1230	1279	82	45.95	5.466667	0.8
 Ordonnaz 	ORDONNAZ   	1510	1280	82	45.833333	5.533333	1.89
 Ornex 	ORNEX   	1210	1281	82	46.283333	6.1	2.58
 Outriaz 	OUTRIAZ   	1430	1282	82	46.066667	5.55	0.83
 Oyonnax 	OYONNAX   	1100	1283	82	46.25	5.666667	1.1
 Ozan 	OZAN   	1190	1284	82	46.383333	4.916667	1.81
 Parcieux 	PARCIEUX   	1600	1285	82	45.916667	4.816667	1.8
 Parves 	PARVES   	1300	1286	82	45.75	5.75	2.01
 Passin 	PASSIN   	1260	1287	82	45.933333	5.7	1.21
 Péron 	PERON   	1630	1288	82	46.2	5.933333	2.01
 Péronnas 	PERONNAS   	1960	1289	82	46.183333	5.2	0.6
 Pérouges 	PEROUGES   	1800	1290	82	45.9	5.183333	1.11
 Perrex 	PERREX   	1540	1291	82	46.233333	4.983333	1.23
 Le Petit-Abergement 	LE PETIT ABERGEMENT 	1260	1292	82	46.033333	5.65	1.93
 Peyriat 	PEYRIAT   	1430	1293	82	46.15	5.516667	1.35
 Peyzieux-sur-Saône 	PEYZIEUX SUR SAONE 	1140	1295	82	46.116667	4.816667	1.8
 Pirajoux 	PIRAJOUX   	1270	1296	82	46.383333	5.3	1.81
 Pizay 	PIZAY   	1120	1297	82	45.883333	5.083333	1.21
 Plagne 	PLAGNE   	1130	1298	82	46.183333	5.733333	1.33
 Le Plantay 	LE PLANTAY  	1330	1299	82	46.016667	5.083333	1.35
 Le Poizat 	LE POIZAT  	1130	1300	82	46.15	5.7	1.21
 Polliat 	POLLIAT   	1310	1301	82	46.25	5.133333	1.01
 Pollieu 	POLLIEU   	1350	1302	82	45.8	5.75	1.71
 Poncin 	PONCIN   	1450	1303	82	46.083333	5.4	1.51
 Pont-d'Ain 	PONT D AIN 	1160	1304	82	46.05	5.333333	0.52
 Pont-de-Vaux 	PONT DE VAUX 	1190	1305	82	46.433333	4.933333	2.11
 Pont-de-Veyle 	PONT DE VEYLE 	1290	1306	82	46.266667	4.883333	1.57
 Port 	PORT   	1460	1307	82	46.166667	5.566667	0.76
 Pougny 	POUGNY   	1550	1308	82	46.133333	5.95	2.06
 Pouillat 	POUILLAT   	1250	1309	82	46.333333	5.433333	2.18
 Prémeyzel 	PREMEYZEL   	1300	1310	82	45.683333	5.65	2.41
 Prémillieu 	PREMILLIEU   	1110	1311	82	45.866667	5.566667	1.43
 Pressiat 	PRESSIAT   	1370	1312	82	46.333333	5.383333	1.51
 Prévessin-Moens 	PREVESSIN MOENS  	1280	1313	82	46.25	6.083333	2.52
 Priay 	PRIAY   	1160	1314	82	46	5.283333	1.73
 Pugieu 	PUGIEU   	1510	1316	82	45.816667	5.65	1.61
 Ramasse 	RAMASSE   	1250	1317	82	46.2	5.35	0.7
 Rancé 	RANCE   	1390	1318	82	45.966667	4.866667	1.63
 Relevant 	RELEVANT   	1990	1319	82	46.083333	4.95	1.34
 Replonges 	REPLONGES   	1620	1320	82	46.3	4.883333	1.57
 Revonnas 	REVONNAS   	1250	1321	82	46.166667	5.333333	0.93
 Reyrieux 	REYRIEUX   	1600	1322	82	45.933333	4.816667	1.8
 Reyssouze 	REYSSOUZE   	1190	1323	82	46.433333	4.916667	2.11
 Rignat 	RIGNAT   	1250	1324	82	46.15	5.366667	0.78
 Rignieux-le-Franc 	RIGNIEUX LE FRANC 	1800	1325	82	45.933333	5.183333	0.9
 Romanèche 	ROMANECHE   	1250	1327	82	46.183333	5.433333	0.76
 Romans 	ROMANS   	1400	1328	82	46.116667	5.033333	1.06
 Rossillon 	ROSSILLON   	1510	1329	82	45.833333	5.6	1.51
 Ruffieu 	RUFFIEU   	1260	1330	82	46	5.666667	1.11
 Saint-Alban 	SAINT ALBAN  	1450	1331	82	46.1	5.45	0.48
 Saint-André-de-Bâgé 	SAINT ANDRE DE BAGE	1380	1332	82	46.3	4.916667	1.46
 Saint-André-de-Corcy 	SAINT ANDRE DE CORCY	1390	1333	82	45.916667	4.95	1.34
 Saint-André-d'Huiriat 	SAINT ANDRE D HUIRIAT	1290	1334	82	46.216667	4.916667	1.46
 Saint-André-le-Bouchoux 	SAINT ANDRE LE BOUCHOUX	1240	1335	82	46.116667	5.083333	0.89
 Saint-André-sur-Vieux-Jonc 	SAINT ANDRE SUR VIEUX	1240	1336	82	46.15	5.066667	1.04
 Saint-Bénigne 	SAINT BENIGNE  	1190	1337	82	46.433333	4.966667	2.11
 Saint-Benoît 	SAINT BENOIT  	1300	1338	82	45.7	5.583333	2.31
 Saint-Bois 	SAINT BOIS  	1300	1340	82	45.7	5.633333	2.31
 Saint-Champ-Chatonod 	SAINT CHAMP CHATONOD 	1300	1341	82	45.783333	5.733333	1.81
 Saint-Cyr-sur-Menthon 	SAINT CYR SUR MENTHON	1380	1343	82	46.266667	4.983333	1.23
 Saint-Denis-lès-Bourg 	SAINT DENIS LES BOURG	1000	1344	82	46.2	5.2	1
 Saint-Denis-en-Bugey 	SAINT DENIS EN BUGEY	1500	1345	82	45.95	5.333333	0.8
 Saint-Didier-d'Aussiat 	SAINT DIDIER D AUSSIAT	1340	1346	82	46.3	5.066667	1.33
 Saint-Didier-de-Formans 	SAINT DIDIER DE FORMANS	1600	1347	82	45.95	4.783333	1.91
 Saint-Didier-sur-Chalaronne 	SAINT DIDIER SUR CHALARONNE	1140	1348	82	46.166667	4.816667	1.8
 Saint-Éloi 	SAINT ELOI  	1800	1349	82	45.933333	5.15	0.9
 Saint-Étienne-du-Bois 	SAINT ETIENNE DU BOIS	1370	1350	82	46.283333	5.283333	1.21
 Saint-Étienne-sur-Chalaronne 	SAINT ETIENNE SUR CHALARONNE	1140	1351	82	46.15	4.866667	1.63
 Saint-Étienne-sur-Reyssouze 	SAINT ETIENNE SUR REYSSOUZE	1190	1352	82	46.4	5	1.91
 Sainte-Euphémie 	SAINTE EUPHEMIE  	1600	1353	82	45.966667	4.783333	1.91
 Saint-Genis-Pouilly 	SAINT GENIS POUILLY 	1630	1354	82	46.25	6.016667	2.29
 Saint-Genis-sur-Menthon 	SAINT GENIS SUR MENTHON	1380	1355	82	46.283333	5.016667	1.34
 Saint-Georges-sur-Renon 	SAINT GEORGES SUR RENON	1400	1356	82	46.1	5.033333	1.06
 Saint-Germain-de-Joux 	SAINT GERMAIN DE JOUX	1130	1357	82	46.183333	5.733333	1.33
 Saint-Germain-les-Paroisses 	SAINT GERMAIN LES PAROISSES	1300	1358	82	45.766667	5.616667	1.91
 Saint-Germain-sur-Renon 	SAINT GERMAIN SUR RENON	1240	1359	82	46.083333	5.05	1.09
 Saint-Jean-de-Gonville 	SAINT JEAN DE GONVILLE	1630	1360	82	46.216667	5.95	2.06
 Saint-Jean-de Niost 	SAINT JEAN DE NIOST	1800	1361	82	45.833333	5.216667	1.51
 Saint-Jean-de-Thurigneux 	SAINT JEAN DE THURIGNEUX	1390	1362	82	45.95	4.883333	1.57
 Saint-Jean-sur-Reyssouze 	SAINT JEAN SUR REYSSOUZE	1560	1364	82	46.4	5.066667	1.91
